date,value
2000-03-14,110.6868
2000-03-15,110.905
2000-03-16,111.3228
2000-03-17,111.8592
2000-03-20,112.2961
2000-03-21,113.1841
2000-03-22,114.4
2000-03-23,115.4553
2000-03-24,116.3664
2000-03-27,117.276
2000-03-28,118.133
2000-03-29,118.8313
2000-03-30,119.1026
2000-03-31,119.7578
2000-04-03,120.2893
2000-04-04,120.5646
2000-04-05,120.9495
2000-04-06,121.1158
2000-04-07,121.5329
2000-04-10,121.6688
2000-04-11,121.5814
2000-04-12,121.0978
2000-04-13,120.812
2000-04-14,120.4614
2000-04-17,120.595
2000-04-18,120.8411
2000-04-19,120.8521
2000-04-20,120.7743
2000-04-24,120.7636
2000-04-25,121.0595
2000-04-26,121.0693
2000-04-27,121.2921
2000-04-28,121.4006
2000-05-01,121.5147
2000-05-02,121.3718
2000-05-03,121.1243
2000-05-04,120.7151
2000-05-05,120.4172
2000-05-08,120.0134
2000-05-09,119.4419
2000-05-10,118.6524
2000-05-11,118.0312
2000-05-12,117.6229
2000-05-15,116.971
2000-05-16,116.5286
2000-05-17,115.9342
2000-05-18,115.3387
2000-05-19,114.5019
2000-05-22,113.5387
2000-05-23,112.4513
2000-05-24,111.4803
2000-05-25,110.5308
2000-05-26,109.5833
2000-05-30,108.7197
2000-05-31,107.7503
2000-06-01,107.0197
2000-06-02,106.4526
2000-06-05,105.8588
2000-06-06,105.3494
2000-06-07,105.0048
2000-06-08,104.605
2000-06-09,104.2577
2000-06-12,103.7453
2000-06-13,103.3827
2000-06-14,102.8751
2000-06-15,102.4632
2000-06-16,102.0211
2000-06-19,101.8093
2000-06-20,101.7873
2000-06-21,99.9773
2000-06-22,98.1644
2000-06-23,96.3419
2000-06-26,94.6865
2000-06-27,93.0027
2000-06-28,91.4905
2000-06-29,89.9124
2000-06-30,88.4406
2000-07-03,87.0629
2000-07-05,85.6734
2000-07-06,84.3454
2000-07-07,83.1726
2000-07-10,82.1514
2000-07-11,81.1627
2000-07-12,80.2888
2000-07-13,79.3559
2000-07-14,78.5063
2000-07-17,77.7143
2000-07-18,76.9118
2000-07-19,75.9619
2000-07-20,75.145
2000-07-21,74.2985
