date,value
2000-02-18,3.4566
2000-02-22,3.3438
2000-02-23,3.412
2000-02-24,3.3428
2000-02-25,2.8651
2000-02-28,2.688
2000-02-29,2.6279
2000-03-01,3.8025
2000-03-02,4.0165
2000-03-03,4.617
2000-03-06,4.8506
2000-03-07,4.7534
2000-03-08,4.5537
2000-03-09,4.3653
2000-03-10,4.4471
2000-03-13,4.1063
2000-03-14,3.2294
2000-03-15,2.665
2000-03-16,2.6161
2000-03-17,2.8224
2000-03-20,2.7923
2000-03-21,3.6893
2000-03-22,5.088
2000-03-23,5.8961
2000-03-24,6.2531
2000-03-27,6.5309
2000-03-28,6.6398
2000-03-29,6.395
2000-03-30,5.3174
2000-03-31,5.2151
2000-04-03,4.8761
2000-04-04,4.0762
2000-04-05,3.648
2000-04-06,2.857
2000-04-07,2.7279
2000-04-10,2.0573
2000-04-11,1.0649
2000-04-12,-0.5377
2000-04-13,-1.4233
2000-04-14,-2.2558
2000-04-17,-1.925
2000-04-18,-1.4046
2000-04-19,-1.4395
2000-04-20,-1.63
2000-04-24,-1.6306
2000-04-25,-0.9895
2000-04-26,-1.0343
2000-04-27,-0.6237
2000-04-28,-0.5095
2000-05-01,-0.3942
2000-05-02,-0.8132
2000-05-03,-1.3563
2000-05-04,-2.115
2000-05-05,-2.4914
2000-05-08,-2.9973
2000-05-09,-3.7328
2000-05-10,-4.7555
2000-05-11,-5.2234
2000-05-12,-5.1467
2000-05-15,-5.5561
2000-05-16,-5.4394
2000-05-17,-5.6306
2000-05-18,-5.7657
2000-05-19,-6.3443
2000-05-22,-7.0492
2000-05-23,-7.8506
2000-05-24,-8.239
2000-05-25,-8.4829
2000-05-26,-8.6492
2000-05-30,-8.5859
2000-05-31,-8.7225
2000-06-01,-8.3217
2000-06-02,-7.6384
2000-06-05,-7.1157
2000-06-06,-6.5007
2000-06-07,-5.6504
2000-06-08,-5.0594
2000-06-09,-4.4638
2000-06-12,-4.31
2000-06-13,-3.8763
2000-06-14,-3.8162
2000-06-15,-3.5717
2000-06-16,-3.4336
2000-06-19,-2.8531
2000-06-20,-1.9964
2000-06-21,-4.9417
2000-06-22,-7.3429
2000-06-23,-9.3048
2000-06-26,-10.5412
2000-06-27,-11.5797
2000-06-28,-12.0467
2000-06-29,-12.5299
2000-06-30,-12.6754
2000-07-03,-12.5709
2000-07-05,-12.4797
2000-07-06,-12.2517
2000-07-07,-11.7236
2000-07-10,-10.9617
2000-07-11,-10.255
2000-07-12,-9.4297
2000-07-13,-8.8655
2000-07-14,-8.2274
2000-07-17,-7.5844
2000-07-18,-7.0787
2000-07-19,-6.9655
2000-07-20,-6.6029
2000-07-21,-6.3688
2000-07-24,-6.5012
2000-07-25,-6.4216
2000-07-26,-6.2861
2000-07-27,-5.9535
2000-07-28,-5.9195
2000-07-31,-5.6259
2000-08-01,-5.4514
2000-08-02,-5.417
2000-08-03,-5.2684
2000-08-04,-5.1414
2000-08-07,-4.9386
