date,value
2000-02-18,0.0398
2000-02-22,-0.0584
2000-02-23,0.0078
2000-02-24,-0.0492
2000-02-25,-0.4214
2000-02-28,-0.4788
2000-02-29,-0.4312
2000-03-01,0.5947
2000-03-02,0.647
2000-03-03,0.998
2000-03-06,0.9853
2000-03-07,0.7105
2000-03-08,0.4086
2000-03-09,0.1761
2000-03-10,0.2064
2000-03-13,-0.1075
2000-03-14,-0.7876
2000-03-15,-1.0815
2000-03-16,-0.9044
2000-03-17,-0.5585
2000-03-20,-0.4709
2000-03-21,0.341
2000-03-22,1.3917
2000-03-23,1.7599
2000-03-24,1.6934
2000-03-27,1.577
2000-03-28,1.3487
2000-03-29,0.8831
2000-03-30,-0.1555
2000-03-31,-0.2063
2000-04-03,-0.4363
2000-04-04,-0.9889
2000-04-05,-1.1336
2000-04-06,-1.5398
2000-04-07,-1.3351
2000-04-10,-1.6046
2000-04-11,-2.0776
2000-04-12,-2.9441
2000-04-13,-3.0638
2000-04-14,-3.117
2000-04-17,-2.229
2000-04-18,-1.3669
2000-04-19,-1.1214
2000-04-20,-1.0495
2000-04-24,-0.8401
2000-04-25,-0.1592
2000-04-26,-0.1632
2000-04-27,0.1979
2000-04-28,0.2497
2000-05-01,0.292
2000-05-02,-0.1016
2000-05-03,-0.5158
2000-05-04,-1.0195
2000-05-05,-1.1168
2000-05-08,-1.2981
2000-05-09,-1.6269
2000-05-10,-2.1197
2000-05-11,-2.0701
2000-05-12,-1.5947
2000-05-15,-1.6033
2000-05-16,-1.1893
2000-05-17,-1.1044
2000-05-18,-0.9916
2000-05-19,-1.2561
2000-05-22,-1.5688
2000-05-23,-1.8962
2000-05-24,-1.8277
2000-05-25,-1.6573
2000-05-26,-1.4588
2000-05-30,-1.1165
2000-05-31,-1.0024
2000-06-01,-0.4813
2000-06-02,0.1616
2000-06-05,0.5474
2000-06-06,0.9299
2000-06-07,1.4242
2000-06-08,1.6121
2000-06-09,1.7663
2000-06-12,1.536
2000-06-13,1.5758
2000-06-14,1.3087
2000-06-15,1.2425
2000-06-16,1.1045
2000-06-19,1.348
2000-06-20,1.7638
2000-06-21,-0.9452
2000-06-22,-2.6771
2000-06-23,-3.7112
2000-06-26,-3.9581
2000-06-27,-3.9973
2000-06-28,-3.5715
2000-06-29,-3.2437
2000-06-30,-2.7114
2000-07-03,-2.0854
2000-07-05,-1.5954
2000-07-06,-1.0939
2000-07-07,-0.4527
2000-07-10,0.2474
2000-07-11,0.7633
2000-07-12,1.2709
2000-07-13,1.4681
2000-07-14,1.6849
2000-07-17,1.8623
2000-07-18,1.8944
2000-07-19,1.6061
2000-07-20,1.575
2000-07-21,1.4473
2000-07-24,1.0518
2000-07-25,0.9051
2000-07-26,0.8325
2000-07-27,0.9321
2000-07-28,0.7729
2000-07-31,0.8532
2000-08-01,0.8221
2000-08-02,0.6853
2000-08-03,0.6671
2000-08-04,0.6353
2000-08-07,0.6704
2000-08-08,0.6325
2000-08-09,0.6731
2000-08-10,0.7153
2000-08-11,0.7591
2000-08-14,0.7513
2000-08-15,0.7265
2000-08-16,0.8298
2000-08-17,1.0783
2000-08-18,1.1226
2000-08-21,1.158
2000-08-22,1.2273
2000-08-23,1.4027
2000-08-24,1.5799
2000-08-25,1.6751
2000-08-28,1.7452
2000-08-29,1.7842
2000-08-30,1.7454
2000-08-31,1.7279
2000-09-01,1.7884
2000-09-05,1.6672
2000-09-06,1.2432
2000-09-07,1.1313
2000-09-08,0.7919
2000-09-11,0.497
2000-09-12,0.2284
2000-09-13,0.0498
2000-09-14,-0.1519
2000-09-15,-0.3883
2000-09-18,-0.1828
2000-09-19,-0.103
2000-09-20,0.0108
2000-09-21,-0.2092
2000-09-22,-0.6353
2000-09-25,-0.7961
2000-09-26,-0.9953
2000-09-27,-1.234
2000-09-28,-1.0316
2000-09-29,-2.6229
2000-10-02,-3.5739
2000-10-03,-4.0936
2000-10-04,-4.099
2000-10-05,-3.9556
2000-10-06,-3.6096
2000-10-09,-3.1828
2000-10-10,-2.7487
2000-10-11,-2.35
2000-10-12,-1.8851
2000-10-13,-1.2915
2000-10-16,-0.8127
2000-10-17,-0.4813
2000-10-18,-0.1706
2000-10-19,0.0359
2000-10-20,0.2773
2000-10-23,0.5471
2000-10-24,0.668
2000-10-25,0.7598
2000-10-26,0.8505
2000-10-27,0.9376
2000-10-30,1.0598
2000-10-31,1.1633
2000-11-01,1.2909
2000-11-02,1.4797
2000-11-03,1.5741
2000-11-06,1.5529
2000-11-07,1.5004
2000-11-08,1.3559
2000-11-09,1.2465
2000-11-10,1.0815
2000-11-13,0.9797
2000-11-14,0.957
2000-11-15,0.9025
2000-11-16,0.7976
2000-11-17,0.6884
2000-11-20,0.6407
2000-11-21,0.5961
2000-11-22,0.543
2000-11-24,0.5576
2000-11-27,0.5213
2000-11-28,0.4513
2000-11-29,0.375
2000-11-30,0.2601
2000-12-01,0.2299
2000-12-04,0.1945
2000-12-05,0.2006
2000-12-06,0.0406
2000-12-07,-0.0437
2000-12-08,-0.028
2000-12-11,0.0099
2000-12-12,0.0636
2000-12-13,0.0879
2000-12-14,0.0807
2000-12-15,0.0656
2000-12-18,0.0824
2000-12-19,0.0901
2000-12-20,0.1318
2000-12-21,0.1475
2000-12-22,0.2263
2000-12-26,0.2601
2000-12-27,0.2908
2000-12-28,0.3097
2000-12-29,0.3239
2001-01-02,0.3292
2001-01-03,0.4231
2001-01-04,0.5154
2001-01-05,0.5128
2001-01-08,0.5057
2001-01-09,0.5232
2001-01-10,0.4735
2001-01-11,0.5154
2001-01-12,0.4677
2001-01-16,0.4124
2001-01-17,0.3392
2001-01-18,0.3974
2001-01-19,0.4659
2001-01-22,0.4684
2001-01-23,0.5241
2001-01-24,0.5293
2001-01-25,0.4656
2001-01-26,0.3725
2001-01-29,0.4252
2001-01-30,0.4334
2001-01-31,0.4002
2001-02-01,0.3183
2001-02-02,0.2094
2001-02-05,0.0932
2001-02-06,0.0652
2001-02-07,0.0109
2001-02-08,-0.0336
2001-02-09,-0.1735
2001-02-12,-0.2251
2001-02-13,-0.2908
2001-02-14,-0.3007
2001-02-15,-0.2629
2001-02-16,-0.3
2001-02-20,-0.3578
2001-02-21,-0.3449
2001-02-22,-0.3272
2001-02-23,-0.3028
2001-02-26,-0.2308
2001-02-27,-0.1845
2001-02-28,-0.2195
2001-03-01,-0.1998
2001-03-02,-0.1463
2001-03-05,-0.0346
2001-03-06,0.1085
2001-03-07,0.1754
2001-03-08,0.1786
2001-03-09,0.1336
2001-03-12,-0.0079
2001-03-13,-0.0384
2001-03-14,-0.0014
2001-03-15,-0.0282
2001-03-16,-0.05
2001-03-19,-0.003
2001-03-20,-0.0308
2001-03-21,-0.021
2001-03-22,0.0801
2001-03-23,0.2254
2001-03-26,0.2242
2001-03-27,0.2783
2001-03-28,0.2493
2001-03-29,0.2368
2001-03-30,0.1824
2001-04-02,0.103
2001-04-03,-0.0438
2001-04-04,-0.186
2001-04-05,-0.1829
2001-04-06,-0.1936
2001-04-09,-0.1975
2001-04-10,-0.0974
2001-04-11,-0.0482
2001-04-12,0.0215
2001-04-16,-0.0018
2001-04-17,-0.086
2001-04-18,0.0152
2001-04-19,0.2617
2001-04-20,0.3553
2001-04-23,0.3404
2001-04-24,0.2939
2001-04-25,0.2874
2001-04-26,0.2597
2001-04-27,0.3178
2001-04-30,0.2844
2001-05-01,0.268
2001-05-02,0.2765
2001-05-03,0.1535
2001-05-04,0.1086
2001-05-07,0.0139
2001-05-08,-0.0815
2001-05-09,-0.185
2001-05-10,-0.3126
2001-05-11,-0.3949
2001-05-14,-0.4059
2001-05-15,-0.4059
2001-05-16,-0.3323
2001-05-17,-0.3095
2001-05-18,-0.2852
2001-05-21,-0.2574
2001-05-22,-0.234
2001-05-23,-0.2275
2001-05-24,-0.216
2001-05-25,-0.2278
2001-05-29,-0.3072
2001-05-30,-0.4496
2001-05-31,-0.5044
2001-06-01,-0.451
2001-06-04,-0.4064
2001-06-05,-0.336
2001-06-06,-0.2838
2001-06-07,-0.1722
2001-06-08,-0.1099
2001-06-11,-0.1416
2001-06-12,-0.1312
2001-06-13,-0.1017
2001-06-14,-0.1095
2001-06-15,-0.0665
2001-06-18,-0.0366
2001-06-19,-0.0183
2001-06-20,0.0952
2001-06-21,0.2201
2001-06-22,0.2781
2001-06-25,0.4155
2001-06-26,0.4689
2001-06-27,0.4548
2001-06-28,0.4372
2001-06-29,0.3859
2001-07-02,0.3754
2001-07-03,0.3448
2001-07-05,0.2647
2001-07-06,0.1247
2001-07-09,0.071
2001-07-10,-0.0682
2001-07-11,-0.0648
2001-07-12,0.0548
2001-07-13,0.1561
2001-07-16,0.152
2001-07-17,0.2114
2001-07-18,-0.0409
2001-07-19,-0.2531
2001-07-20,-0.3742
2001-07-23,-0.4605
2001-07-24,-0.5199
2001-07-25,-0.569
2001-07-26,-0.5606
2001-07-27,-0.4994
2001-07-30,-0.4326
2001-07-31,-0.3719
2001-08-01,-0.2912
2001-08-02,-0.1702
2001-08-03,-0.0989
2001-08-06,-0.0654
2001-08-07,-0.0259
2001-08-08,-0.0147
2001-08-09,0.0101
2001-08-10,0.0307
2001-08-13,0.0538
2001-08-14,0.0498
2001-08-15,0.0333
2001-08-16,0.0416
2001-08-17,0.0147
2001-08-20,0.0071
2001-08-21,-0.0038
2001-08-22,0.0149
2001-08-23,0.0073
2001-08-24,0.0575
2001-08-27,0.115
2001-08-28,0.1184
2001-08-29,0.0841
2001-08-30,0.0642
2001-08-31,0.1002
2001-09-04,0.1041
2001-09-05,0.1256
2001-09-06,0.0846
2001-09-07,0.0314
2001-09-10,0.0069
2001-09-17,-0.0281
2001-09-18,-0.089
2001-09-19,-0.0702
2001-09-20,-0.135
2001-09-21,-0.1597
2001-09-24,-0.1149
2001-09-25,-0.1327
2001-09-26,-0.1553
2001-09-27,-0.1315
2001-09-28,-0.1025
2001-10-01,-0.0696
2001-10-02,-0.0691
2001-10-03,-0.0619
2001-10-04,0.0111
2001-10-05,0.0808
2001-10-08,0.1316
2001-10-09,0.1512
2001-10-10,0.2149
2001-10-11,0.3087
2001-10-12,0.3744
2001-10-15,0.3996
2001-10-16,0.3998
2001-10-17,0.317
2001-10-18,0.3153
2001-10-19,0.3186
2001-10-22,0.3509
2001-10-23,0.2967
2001-10-24,0.2984
2001-10-25,0.2979
2001-10-26,0.2469
2001-10-29,0.1332
2001-10-30,0.0503
2001-10-31,-0.0097
2001-11-01,0.0161
2001-11-02,0.0273
2001-11-05,0.0619
2001-11-06,0.1091
2001-11-07,0.131
2001-11-08,0.078
2001-11-09,0.037
2001-11-12,0.0079
2001-11-13,0.025
2001-11-14,0.0458
2001-11-15,0.0421
2001-11-16,0.0028
2001-11-19,0.0396
2001-11-20,0.0263
2001-11-21,0.0219
2001-11-23,0.0238
2001-11-26,0.117
2001-11-27,0.141
2001-11-28,0.1136
2001-11-29,0.0782
2001-11-30,0.1027
2001-12-03,0.091
2001-12-04,0.1591
2001-12-05,0.2741
2001-12-06,0.2623
2001-12-07,0.2184
2001-12-10,0.1715
2001-12-11,0.0762
2001-12-12,-0.0145
2001-12-13,-0.1104
2001-12-14,-0.2119
2001-12-17,-0.2575
2001-12-18,-0.2548
2001-12-19,-0.2075
2001-12-20,-0.2337
2001-12-21,-0.2224
2001-12-24,-0.1858
2001-12-26,-0.1494
2001-12-27,-0.0861
2001-12-28,-0.0231
2001-12-31,-0.0203
2002-01-02,0.0679
2002-01-03,0.1333
2002-01-04,0.1698
2002-01-07,0.1285
2002-01-08,0.0722
2002-01-09,-0.0334
2002-01-10,-0.1299
2002-01-11,-0.2001
2002-01-14,-0.2317
2002-01-15,-0.2082
2002-01-16,-0.2448
2002-01-17,-0.1493
2002-01-18,-0.104
2002-01-22,-0.0949
2002-01-23,-0.0098
2002-01-24,0.0541
2002-01-25,0.0916
2002-01-28,0.1091
2002-01-29,0.0989
2002-01-30,0.1495
2002-01-31,0.2103
2002-02-01,0.2139
2002-02-04,0.2606
2002-02-05,0.2778
2002-02-06,0.2188
2002-02-07,0.1408
2002-02-08,0.061
2002-02-11,0.0619
2002-02-12,0.0355
2002-02-13,0.0296
2002-02-14,-0.0085
2002-02-15,-0.0834
2002-02-19,-0.2141
2002-02-20,-0.2583
2002-02-21,-0.3819
2002-02-22,-0.3647
2002-02-25,-0.2703
2002-02-26,-0.209
2002-02-27,-0.2714
2002-02-28,-0.3149
2002-03-01,-0.2152
2002-03-04,-0.0887
2002-03-05,-0.0538
2002-03-06,0.0048
2002-03-07,0.0606
2002-03-08,0.1097
2002-03-11,0.1593
2002-03-12,0.1591
2002-03-13,0.1344
2002-03-14,0.1061
2002-03-15,0.1138
2002-03-18,0.0969
2002-03-19,0.0856
2002-03-20,0.0757
2002-03-21,0.021
2002-03-22,-0.0289
2002-03-25,-0.1089
2002-03-26,-0.149
2002-03-27,-0.1681
2002-03-28,-0.1605
2002-04-01,-0.0986
2002-04-02,-0.0809
2002-04-03,-0.0872
2002-04-04,-0.0143
2002-04-05,0.021
2002-04-08,0.0294
2002-04-09,0.0027
2002-04-10,0.0204
2002-04-11,0.0421
2002-04-12,0.0649
2002-04-15,0.0706
2002-04-16,0.1161
2002-04-17,0.1603
2002-04-18,0.1327
2002-04-19,0.0785
2002-04-22,0.009
2002-04-23,-0.0556
2002-04-24,-0.1264
2002-04-25,-0.1441
2002-04-26,-0.2204
2002-04-29,-0.1976
2002-04-30,-0.1541
2002-05-01,-0.138
2002-05-02,-0.1395
