date,value
2000-02-18,3.4169
2000-02-22,3.4023
2000-02-23,3.4042
2000-02-24,3.3919
2000-02-25,3.2866
2000-02-28,3.1669
2000-02-29,3.0591
2000-03-01,3.2077
2000-03-02,3.3695
2000-03-03,3.619
2000-03-06,3.8653
2000-03-07,4.0429
2000-03-08,4.1451
2000-03-09,4.1891
2000-03-10,4.2407
2000-03-13,4.2138
2000-03-14,4.0169
2000-03-15,3.7466
2000-03-16,3.5205
2000-03-17,3.3808
2000-03-20,3.2631
2000-03-21,3.3484
2000-03-22,3.6963
2000-03-23,4.1363
2000-03-24,4.5596
2000-03-27,4.9539
2000-03-28,5.2911
2000-03-29,5.5118
2000-03-30,5.473
2000-03-31,5.4214
2000-04-03,5.3123
2000-04-04,5.0651
2000-04-05,4.7817
2000-04-06,4.3968
2000-04-07,4.063
2000-04-10,3.6618
2000-04-11,3.1425
2000-04-12,2.4064
2000-04-13,1.6405
2000-04-14,0.8612
2000-04-17,0.304
2000-04-18,-0.0377
2000-04-19,-0.3181
2000-04-20,-0.5805
2000-04-24,-0.7905
2000-04-25,-0.8303
2000-04-26,-0.8711
2000-04-27,-0.8216
2000-04-28,-0.7592
2000-05-01,-0.6862
2000-05-02,-0.7116
2000-05-03,-0.8405
2000-05-04,-1.0954
2000-05-05,-1.3746
2000-05-08,-1.6992
2000-05-09,-2.1059
2000-05-10,-2.6358
2000-05-11,-3.1533
2000-05-12,-3.552
2000-05-15,-3.9528
2000-05-16,-4.2502
2000-05-17,-4.5262
2000-05-18,-4.7741
2000-05-19,-5.0882
2000-05-22,-5.4804
2000-05-23,-5.9544
2000-05-24,-6.4113
2000-05-25,-6.8256
2000-05-26,-7.1903
2000-05-30,-7.4695
2000-05-31,-7.7201
2000-06-01,-7.8404
2000-06-02,-7.8
2000-06-05,-7.6631
2000-06-06,-7.4307
2000-06-07,-7.0746
2000-06-08,-6.6716
2000-06-09,-6.23
2000-06-12,-5.846
2000-06-13,-5.4521
2000-06-14,-5.1249
2000-06-15,-4.8143
2000-06-16,-4.5381
2000-06-19,-4.2011
2000-06-20,-3.7602
2000-06-21,-3.9965
2000-06-22,-4.6658
2000-06-23,-5.5936
2000-06-26,-6.5831
2000-06-27,-7.5824
2000-06-28,-8.4753
2000-06-29,-9.2862
2000-06-30,-9.964
2000-07-03,-10.4854
2000-07-05,-10.8843
2000-07-06,-11.1577
2000-07-07,-11.2709
2000-07-10,-11.2091
2000-07-11,-11.0182
2000-07-12,-10.7005
2000-07-13,-10.3335
2000-07-14,-9.9123
2000-07-17,-9.4467
2000-07-18,-8.9731
2000-07-19,-8.5716
2000-07-20,-8.1778
2000-07-21,-7.816
2000-07-24,-7.5531
2000-07-25,-7.3268
2000-07-26,-7.1186
2000-07-27,-6.8856
2000-07-28,-6.6924
2000-07-31,-6.4791
2000-08-01,-6.2736
2000-08-02,-6.1022
2000-08-03,-5.9355
2000-08-04,-5.7767
2000-08-07,-5.6091
2000-08-08,-5.4509
2000-08-09,-5.2826
2000-08-10,-5.1038
2000-08-11,-4.9141
2000-08-14,-4.7262
2000-08-15,-4.5446
2000-08-16,-4.3371
2000-08-17,-4.0676
2000-08-18,-3.7869
2000-08-21,-3.4974
2000-08-22,-3.1906
2000-08-23,-2.8399
2000-08-24,-2.4449
2000-08-25,-2.0261
2000-08-28,-1.5898
2000-08-29,-1.1438
2000-08-30,-0.7074
2000-08-31,-0.2755
2000-09-01,0.1716
2000-09-05,0.5884
2000-09-06,0.8992
2000-09-07,1.182
2000-09-08,1.38
2000-09-11,1.5043
2000-09-12,1.5614
2000-09-13,1.5738
2000-09-14,1.5359
2000-09-15,1.4388
2000-09-18,1.3931
2000-09-19,1.3673
2000-09-20,1.37
2000-09-21,1.3177
2000-09-22,1.1589
2000-09-25,0.9599
2000-09-26,0.711
2000-09-27,0.4025
2000-09-28,0.1446
2000-09-29,-0.5111
2000-10-02,-1.4046
2000-10-03,-2.428
2000-10-04,-3.4528
2000-10-05,-4.4417
2000-10-06,-5.3441
2000-10-09,-6.1398
2000-10-10,-6.8269
2000-10-11,-7.4144
2000-10-12,-7.8857
2000-10-13,-8.2086
2000-10-16,-8.4118
2000-10-17,-8.5321
2000-10-18,-8.5748
2000-10-19,-8.5658
2000-10-20,-8.4964
2000-10-23,-8.3597
2000-10-24,-8.1927
2000-10-25,-8.0027
2000-10-26,-7.7901
2000-10-27,-7.5557
2000-10-30,-7.2907
2000-10-31,-6.9999
2000-11-01,-6.6772
2000-11-02,-6.3073
2000-11-03,-5.9138
2000-11-06,-5.5255
2000-11-07,-5.1504
2000-11-08,-4.8114
2000-11-09,-4.4998
2000-11-10,-4.2294
2000-11-13,-3.9845
2000-11-14,-3.7453
2000-11-15,-3.5196
2000-11-16,-3.3202
2000-11-17,-3.1481
2000-11-20,-2.9879
2000-11-21,-2.8389
2000-11-22,-2.7031
2000-11-24,-2.5637
2000-11-27,-2.4334
2000-11-28,-2.3206
2000-11-29,-2.2268
2000-11-30,-2.1618
2000-12-01,-2.1043
2000-12-04,-2.0557
2000-12-05,-2.0055
2000-12-06,-1.9954
2000-12-07,-2.0063
2000-12-08,-2.0133
2000-12-11,-2.0108
2000-12-12,-1.9949
2000-12-13,-1.973
2000-12-14,-1.9528
2000-12-15,-1.9364
2000-12-18,-1.9158
2000-12-19,-1.8933
2000-12-20,-1.8603
2000-12-21,-1.8234
2000-12-22,-1.7669
2000-12-26,-1.7019
2000-12-27,-1.6292
2000-12-28,-1.5517
2000-12-29,-1.4708
2001-01-02,-1.3885
2001-01-03,-1.2827
2001-01-04,-1.1538
2001-01-05,-1.0256
2001-01-08,-0.8992
2001-01-09,-0.7684
2001-01-10,-0.65
2001-01-11,-0.5212
2001-01-12,-0.4043
2001-01-16,-0.3012
2001-01-17,-0.2164
2001-01-18,-0.117
2001-01-19,-0.0005
2001-01-22,0.1166
2001-01-23,0.2476
2001-01-24,0.3799
2001-01-25,0.4963
2001-01-26,0.5895
2001-01-29,0.6958
2001-01-30,0.8041
2001-01-31,0.9042
2001-02-01,0.9837
2001-02-02,1.0361
2001-02-05,1.0594
2001-02-06,1.0757
2001-02-07,1.0784
2001-02-08,1.07
2001-02-09,1.0266
2001-02-12,0.9704
2001-02-13,0.8976
2001-02-14,0.8225
2001-02-15,0.7567
2001-02-16,0.6817
2001-02-20,0.5923
2001-02-21,0.5061
2001-02-22,0.4243
2001-02-23,0.3486
2001-02-26,0.2909
2001-02-27,0.2448
2001-02-28,0.1899
2001-03-01,0.14
2001-03-02,0.1034
2001-03-05,0.0947
2001-03-06,0.1219
2001-03-07,0.1657
2001-03-08,0.2104
2001-03-09,0.2438
2001-03-12,0.2418
2001-03-13,0.2322
2001-03-14,0.2318
2001-03-15,0.2248
2001-03-16,0.2123
2001-03-19,0.2116
2001-03-20,0.2039
2001-03-21,0.1986
2001-03-22,0.2186
2001-03-23,0.275
2001-03-26,0.331
2001-03-27,0.4006
2001-03-28,0.4629
2001-03-29,0.5221
2001-03-30,0.5677
2001-04-02,0.5935
2001-04-03,0.5825
2001-04-04,0.536
2001-04-05,0.4903
2001-04-06,0.4419
2001-04-09,0.3925
2001-04-10,0.3682
2001-04-11,0.3562
2001-04-12,0.3615
2001-04-16,0.3611
2001-04-17,0.3396
2001-04-18,0.3434
2001-04-19,0.4088
2001-04-20,0.4976
2001-04-23,0.5827
2001-04-24,0.6562
2001-04-25,0.728
2001-04-26,0.793
2001-04-27,0.8724
2001-04-30,0.9435
2001-05-01,1.0105
2001-05-02,1.0796
2001-05-03,1.118
2001-05-04,1.1452
2001-05-07,1.1487
2001-05-08,1.1283
2001-05-09,1.082
2001-05-10,1.0039
2001-05-11,0.9052
2001-05-14,0.8037
2001-05-15,0.7022
2001-05-16,0.6191
2001-05-17,0.5417
2001-05-18,0.4704
2001-05-21,0.4061
2001-05-22,0.3476
2001-05-23,0.2907
2001-05-24,0.2367
2001-05-25,0.1797
2001-05-29,0.103
2001-05-30,-0.0094
2001-05-31,-0.1355
2001-06-01,-0.2483
2001-06-04,-0.3499
2001-06-05,-0.4339
2001-06-06,-0.5048
2001-06-07,-0.5479
2001-06-08,-0.5754
2001-06-11,-0.6107
2001-06-12,-0.6435
2001-06-13,-0.669
2001-06-14,-0.6963
2001-06-15,-0.713
2001-06-18,-0.7221
2001-06-19,-0.7267
2001-06-20,-0.7029
2001-06-21,-0.6479
2001-06-22,-0.5784
2001-06-25,-0.4745
2001-06-26,-0.3573
2001-06-27,-0.2436
2001-06-28,-0.1343
2001-06-29,-0.0378
2001-07-02,0.056
2001-07-03,0.1422
2001-07-05,0.2084
2001-07-06,0.2396
2001-07-09,0.2574
2001-07-10,0.2403
2001-07-11,0.2241
2001-07-12,0.2378
2001-07-13,0.2768
2001-07-16,0.3148
2001-07-17,0.3677
2001-07-18,0.3574
2001-07-19,0.2942
2001-07-20,0.2006
2001-07-23,0.0855
2001-07-24,-0.0445
2001-07-25,-0.1867
2001-07-26,-0.3269
2001-07-27,-0.4517
2001-07-30,-0.5599
2001-07-31,-0.6529
2001-08-01,-0.7257
2001-08-02,-0.7682
2001-08-03,-0.7929
2001-08-06,-0.8093
2001-08-07,-0.8158
2001-08-08,-0.8194
2001-08-09,-0.8169
2001-08-10,-0.8092
2001-08-13,-0.7958
2001-08-14,-0.7833
2001-08-15,-0.775
2001-08-16,-0.7646
2001-08-17,-0.761
2001-08-20,-0.7592
2001-08-21,-0.7601
2001-08-22,-0.7564
2001-08-23,-0.7546
2001-08-24,-0.7402
2001-08-27,-0.7114
2001-08-28,-0.6818
2001-08-29,-0.6608
2001-08-30,-0.6448
2001-08-31,-0.6197
2001-09-04,-0.5937
2001-09-05,-0.5623
2001-09-06,-0.5411
2001-09-07,-0.5333
2001-09-10,-0.5316
2001-09-17,-0.5386
2001-09-18,-0.5609
2001-09-19,-0.5784
2001-09-20,-0.6122
2001-09-21,-0.6521
2001-09-24,-0.6808
2001-09-25,-0.714
2001-09-26,-0.7528
2001-09-27,-0.7857
2001-09-28,-0.8113
2001-10-01,-0.8287
2001-10-02,-0.846
2001-10-03,-0.8615
2001-10-04,-0.8587
2001-10-05,-0.8385
2001-10-08,-0.8056
2001-10-09,-0.7678
2001-10-10,-0.7141
2001-10-11,-0.6369
2001-10-12,-0.5433
2001-10-15,-0.4434
2001-10-16,-0.3434
2001-10-17,-0.2642
2001-10-18,-0.1853
2001-10-19,-0.1057
2001-10-22,-0.0179
2001-10-23,0.0562
2001-10-24,0.1308
2001-10-25,0.2053
2001-10-26,0.267
2001-10-29,0.3003
2001-10-30,0.3129
2001-10-31,0.3105
2001-11-01,0.3145
2001-11-02,0.3214
2001-11-05,0.3368
2001-11-06,0.3641
2001-11-07,0.3969
2001-11-08,0.4164
2001-11-09,0.4256
2001-11-12,0.4276
2001-11-13,0.4338
2001-11-14,0.4453
2001-11-15,0.4558
2001-11-16,0.4565
2001-11-19,0.4664
2001-11-20,0.473
2001-11-21,0.4785
2001-11-23,0.4844
2001-11-26,0.5137
2001-11-27,0.5489
2001-11-28,0.5774
2001-11-29,0.5969
2001-11-30,0.6226
2001-12-03,0.6453
2001-12-04,0.6851
2001-12-05,0.7536
2001-12-06,0.8192
2001-12-07,0.8738
2001-12-10,0.9167
2001-12-11,0.9357
2001-12-12,0.9321
2001-12-13,0.9045
2001-12-14,0.8516
2001-12-17,0.7872
2001-12-18,0.7235
2001-12-19,0.6716
2001-12-20,0.6132
2001-12-21,0.5576
2001-12-24,0.5111
2001-12-26,0.4738
2001-12-27,0.4523
2001-12-28,0.4465
2001-12-31,0.4414
2002-01-02,0.4584
2002-01-03,0.4917
2002-01-04,0.5342
2002-01-07,0.5663
2002-01-08,0.5844
2002-01-09,0.576
2002-01-10,0.5435
2002-01-11,0.4935
2002-01-14,0.4356
2002-01-15,0.3835
2002-01-16,0.3224
2002-01-17,0.285
2002-01-18,0.259
2002-01-22,0.2353
2002-01-23,0.2328
2002-01-24,0.2464
2002-01-25,0.2693
2002-01-28,0.2966
2002-01-29,0.3213
2002-01-30,0.3587
2002-01-31,0.4112
2002-02-01,0.4647
2002-02-04,0.5299
2002-02-05,0.5993
2002-02-06,0.654
2002-02-07,0.6892
2002-02-08,0.7045
2002-02-11,0.72
2002-02-12,0.7288
2002-02-13,0.7362
2002-02-14,0.7341
2002-02-15,0.7133
2002-02-19,0.6597
2002-02-20,0.5952
2002-02-21,0.4997
2002-02-22,0.4085
2002-02-25,0.3409
2002-02-26,0.2887
2002-02-27,0.2208
2002-02-28,0.1421
2002-03-01,0.0883
2002-03-04,0.0662
2002-03-05,0.0527
2002-03-06,0.0539
2002-03-07,0.0691
2002-03-08,0.0965
2002-03-11,0.1363
2002-03-12,0.1761
2002-03-13,0.2097
2002-03-14,0.2362
2002-03-15,0.2646
2002-03-18,0.2889
2002-03-19,0.3102
2002-03-20,0.3292
2002-03-21,0.3344
2002-03-22,0.3272
2002-03-25,0.3
2002-03-26,0.2627
2002-03-27,0.2207
2002-03-28,0.1805
2002-04-01,0.1559
2002-04-02,0.1357
2002-04-03,0.1139
2002-04-04,0.1103
2002-04-05,0.1155
2002-04-08,0.1229
2002-04-09,0.1236
2002-04-10,0.1287
2002-04-11,0.1392
2002-04-12,0.1554
2002-04-15,0.1731
2002-04-16,0.2021
2002-04-17,0.2422
2002-04-18,0.2754
2002-04-19,0.295
2002-04-22,0.2972
2002-04-23,0.2833
2002-04-24,0.2517
2002-04-25,0.2157
2002-04-26,0.1606
2002-04-29,0.1112
2002-04-30,0.0727
2002-05-01,0.0382
2002-05-02,0.0033
2002-05-03,-0.0328
2002-05-06,-0.0815
2002-05-07,-0.1382
2002-05-08,-0.1664
2002-05-09,-0.1776
2002-05-10,-0.1911
2002-05-13,-0.1951
2002-05-14,-0.1657
2002-05-15,-0.1218
2002-05-16,-0.0721
2002-05-17,-0.0243
2002-05-20,0.0156
2002-05-21,0.0279
2002-05-22,0.036
2002-05-23,0.0546
2002-05-24,0.0623
2002-05-28,0.0599
2002-05-29,0.0512
2002-05-30,0.0423
2002-05-31,0.0194
2002-06-03,-0.0174
2002-06-04,-0.063
2002-06-05,-0.1126
2002-06-06,-0.1707
2002-06-07,-0.2429
2002-06-10,-0.3182
2002-06-11,-0.4072
2002-06-12,-0.505
2002-06-13,-0.6108
2002-06-14,-0.7058
2002-06-17,-0.7804
2002-06-18,-0.8427
2002-06-19,-0.9405
2002-06-20,-1.0534
2002-06-21,-1.1717
2002-06-24,-1.2777
2002-06-25,-1.3696
2002-06-26,-1.4542
2002-06-27,-1.5183
2002-06-28,-1.5522
2002-07-01,-1.5724
2002-07-02,-1.5812
2002-07-03,-1.5692
2002-07-05,-1.5221
2002-07-08,-1.4638
2002-07-09,-1.4057
2002-07-10,-1.351
2002-07-11,-1.2826
2002-07-12,-1.2189
2002-07-15,-1.1473
2002-07-16,-1.0776
2002-07-17,-1.0459
2002-07-18,-1.0476
2002-07-19,-1.0681
2002-07-22,-1.0976
2002-07-23,-1.1358
2002-07-24,-1.1633
2002-07-25,-1.1934
2002-07-26,-1.2211
2002-07-29,-1.2322
2002-07-30,-1.223
2002-07-31,-1.2015
2002-08-01,-1.178
2002-08-02,-1.1574
2002-08-05,-1.1443
2002-08-06,-1.1221
2002-08-07,-1.0882
2002-08-08,-1.0419
2002-08-09,-0.9927
2002-08-12,-0.9421
2002-08-13,-0.8976
2002-08-14,-0.8479
2002-08-15,-0.7886
2002-08-16,-0.7214
2002-08-19,-0.6484
2002-08-20,-0.5753
2002-08-21,-0.5012
2002-08-22,-0.4317
2002-08-23,-0.3715
2002-08-26,-0.3227
2002-08-27,-0.2937
2002-08-28,-0.2803
2002-08-29,-0.2768
2002-08-30,-0.2782
2002-09-03,-0.2932
2002-09-04,-0.3084
2002-09-05,-0.327
2002-09-06,-0.3428
2002-09-09,-0.3554
2002-09-10,-0.3652
2002-09-11,-0.3725
2002-09-12,-0.3794
2002-09-13,-0.3843
2002-09-16,-0.3816
2002-09-17,-0.3687
2002-09-18,-0.3456
2002-09-19,-0.3236
2002-09-20,-0.2981
2002-09-23,-0.2713
2002-09-24,-0.2479
2002-09-25,-0.2227
2002-09-26,-0.2008
2002-09-27,-0.1813
2002-09-30,-0.1675
2002-10-01,-0.1574
2002-10-02,-0.1552
2002-10-03,-0.1557
2002-10-04,-0.1618
2002-10-07,-0.1749
2002-10-08,-0.1925
2002-10-09,-0.213
2002-10-10,-0.2256
2002-10-11,-0.2257
