date,value
2000-03-15,51.047
2000-03-16,52.3026
2000-03-17,53.0978
2000-03-20,52.5778
2000-03-21,55.248
2000-03-22,57.1551
2000-03-23,56.3916
2000-03-24,55.7009
2000-03-27,55.884
2000-03-28,55.7677
2000-03-29,54.9032
2000-03-30,52.2624
2000-03-31,54.4686
2000-04-03,53.8377
2000-04-04,52.3525
2000-04-05,53.029
2000-04-06,51.7612
2000-04-07,53.2042
2000-04-10,51.5841
2000-04-11,50.2968
2000-04-12,48.0541
2000-04-13,49.0906
2000-04-14,48.669
2000-04-17,51.3085
2000-04-18,51.9389
2000-04-19,50.6562
2000-04-20,50.1615
2000-04-24,50.5187
2000-04-25,52.1938
2000-04-26,50.6263
2000-04-27,51.7748
2000-04-28,51.1742
2000-05-01,51.2279
2000-05-02,49.7896
2000-05-03,49.1749
2000-05-04,48.2299
2000-05-05,48.7883
2000-05-08,48.1343
2000-05-09,47.1286
2000-05-10,45.8483
2000-05-11,46.692
2000-05-12,47.8319
2000-05-15,46.4374
2000-05-16,47.543
2000-05-17,46.6382
2000-05-18,46.5086
2000-05-19,45.1156
2000-05-22,44.3012
2000-05-23,43.4864
2000-05-24,43.9651
2000-05-25,43.8804
2000-05-26,43.6962
2000-05-30,44.0132
2000-05-31,43.2696
2000-06-01,44.6422
2000-06-02,45.5456
2000-06-05,45.2716
2000-06-06,45.6876
2000-06-07,46.666
2000-06-08,46.2627
2000-06-09,46.5161
2000-06-12,45.4552
2000-06-13,46.3613
2000-06-14,45.417
2000-06-15,45.951
2000-06-16,45.6723
2000-06-19,47.177
2000-06-20,48.42
2000-06-21,39.1561
2000-06-22,38.8436
2000-06-23,38.5
2000-06-26,39.1505
2000-06-27,38.7427
2000-06-28,39.4699
2000-06-29,38.9109
2000-06-30,39.2221
2000-07-03,39.4809
2000-07-05,39.1734
2000-07-06,39.2251
2000-07-07,39.9865
2000-07-10,40.7611
2000-07-11,40.7232
2000-07-12,41.2917
2000-07-13,40.8018
2000-07-14,41.158
2000-07-17,41.3456
2000-07-18,41.1169
2000-07-19,40.1422
2000-07-20,40.9071
2000-07-21,40.5667
2000-07-24,39.5259
2000-07-25,39.968
2000-07-26,39.968
2000-07-27,40.6083
2000-07-28,39.7847
2000-07-31,40.6173
2000-08-01,40.2764
2000-08-02,39.8081
2000-08-03,40.067
2000-08-04,39.9221
2000-08-07,40.1216
2000-08-08,39.8348
2000-08-09,40.1101
2000-08-10,40.1325
2000-08-11,40.1819
2000-08-14,40.0186
2000-08-15,39.9214
2000-08-16,40.6411
2000-08-17,41.7967
2000-08-18,41.394
2000-08-21,41.5934
2000-08-22,42.0721
2000-08-23,43.1194
2000-08-24,43.8313
2000-08-25,44.1089
2000-08-28,44.6077
2000-08-29,45.06
2000-08-30,45.1853
2000-08-31,45.7715
2000-09-01,46.7798
2000-09-05,46.4275
2000-09-06,45.0428
2000-09-07,46.4921
2000-09-08,45.4209
2000-09-11,45.2708
2000-09-12,45.0326
2000-09-13,45.1393
2000-09-14,44.7353
2000-09-15,44.1586
2000-09-18,46.5029
2000-09-19,46.2402
2000-09-20,46.7137
2000-09-21,45.121
2000-09-22,43.5569
2000-09-25,44.1322
2000-09-26,43.422
2000-09-27,42.5737
2000-09-28,44.5886
2000-09-29,36.6116
2000-10-02,36.2539
2000-10-03,35.7923
2000-10-04,36.3507
2000-10-05,35.9706
2000-10-06,36.0274
2000-10-09,35.9172
2000-10-10,35.6944
2000-10-11,35.3763
2000-10-12,35.5545
2000-10-13,36.5225
2000-10-16,36.371
2000-10-17,35.9954
