date,value
2000-03-14,110.6868
2000-03-15,110.773
2000-03-16,111.1542
2000-03-17,111.5742
2000-03-20,112.1342
2000-03-21,112.843
2000-03-22,113.7718
2000-03-23,114.743
2000-03-24,115.773
2000-03-27,116.6292
2000-03-28,117.403
2000-03-29,118.043
2000-03-30,118.4268
2000-03-31,118.873
2000-04-03,119.313
2000-04-04,119.7342
2000-04-05,120.0968
2000-04-06,120.3968
2000-04-07,120.8318
2000-04-10,121.2994
2000-04-11,121.6132
2000-04-12,121.7932
2000-04-13,122.0932
2000-04-14,122.2644
2000-04-17,122.5818
2000-04-18,122.838
2000-04-19,122.963
2000-04-20,123.088
2000-04-24,123.228
2000-04-25,123.6192
2000-04-26,123.7292
2000-04-27,123.8842
2000-04-28,124.083
2000-05-01,124.2718
2000-05-02,124.4042
2000-05-03,124.4292
2000-05-04,124.318
2000-05-05,124.2764
2000-05-08,124.2714
2000-05-09,124.1152
2000-05-10,123.809
2000-05-11,123.259
2000-05-12,122.9714
2000-05-15,122.4314
2000-05-16,122.0314
2000-05-17,121.6014
2000-05-18,121.1764
2000-05-19,120.6114
2000-05-22,119.8952
2000-05-23,119.1852
2000-05-24,118.654
2000-05-25,118.0744
2000-05-26,117.3706
2000-05-30,116.6218
2000-05-31,115.8418
2000-06-01,114.9254
2000-06-02,113.8928
2000-06-05,112.8928
2000-06-06,111.9764
2000-06-07,111.1164
2000-06-08,110.23
2000-06-09,109.4262
2000-06-12,108.735
2000-06-13,107.9088
2000-06-14,107.0514
2000-06-15,106.3526
2000-06-16,105.5688
2000-06-19,104.9974
2000-06-20,104.3874
2000-06-21,103.0
2000-06-22,101.6862
2000-06-23,100.535
2000-06-26,99.3414
2000-06-27,98.139
2000-06-28,96.7504
2000-06-29,95.238
2000-06-30,93.8632
2000-07-03,92.552
2000-07-05,91.1746
2000-07-06,89.6446
2000-07-07,88.3072
2000-07-10,86.9148
2000-07-11,85.5724
2000-07-12,84.2638
2000-07-13,83.0364
2000-07-14,81.889
2000-07-17,80.8414
2000-07-18,79.724
2000-07-19,78.5754
2000-07-20,77.5692
2000-07-21,76.6542
2000-07-24,75.5718
2000-07-25,74.4206
2000-07-26,73.4018
2000-07-27,72.328
2000-07-28,71.2668
2000-07-31,70.268
2000-08-01,69.3742
2000-08-02,68.5204
2000-08-03,67.7642
2000-08-04,66.958
2000-08-07,66.1714
2000-08-08,65.379
2000-08-09,64.5778
2000-08-10,63.849
2000-08-11,63.0204
2000-08-14,62.1104
2000-08-15,61.218
2000-08-16,60.3306
2000-08-17,59.4282
2000-08-18,58.532
2000-08-21,57.627
2000-08-22,56.837
2000-08-23,56.0332
2000-08-24,55.3466
2000-08-25,54.6354
2000-08-28,53.9728
2000-08-29,53.2242
2000-08-30,52.3892
2000-08-31,52.4954
2000-09-01,52.6892
2000-09-05,52.9042
2000-09-06,52.9904
2000-09-07,53.1954
2000-09-08,53.2842
2000-09-11,53.428
2000-09-12,53.5354
2000-09-13,53.6292
2000-09-14,53.7338
2000-09-15,53.8022
2000-09-18,53.9266
2000-09-19,53.9828
2000-09-20,54.065
2000-09-21,54.0212
2000-09-22,53.935
2000-09-25,53.8512
2000-09-26,53.7138
2000-09-27,53.5476
2000-09-28,53.5638
2000-09-29,52.9762
2000-10-02,52.39
2000-10-03,51.8624
2000-10-04,51.3336
2000-10-05,50.7736
2000-10-06,50.1774
2000-10-09,49.6462
2000-10-10,49.0474
2000-10-11,48.4536
2000-10-12,47.9086
2000-10-13,47.3898
2000-10-16,46.8722
2000-10-17,46.3158
2000-10-18,45.7832
2000-10-19,45.212
2000-10-20,44.6508
2000-10-23,44.1044
2000-10-24,43.5406
2000-10-25,42.9768
2000-10-26,42.3768
2000-10-27,41.7192
2000-10-30,41.1054
2000-10-31,40.4866
2000-11-01,39.8628
2000-11-02,39.2228
2000-11-03,38.5456
2000-11-06,37.8382
2000-11-07,37.1032
2000-11-08,36.3206
2000-11-09,35.5344
2000-11-10,34.6968
2000-11-13,33.8154
2000-11-14,32.9716
2000-11-15,32.2002
2000-11-16,31.3402
2000-11-17,30.5326
2000-11-20,29.7426
2000-11-21,28.9638
2000-11-22,28.1738
2000-11-24,27.4228
2000-11-27,26.692
2000-11-28,25.8394
2000-11-29,24.9918
2000-11-30,24.1008
2000-12-01,23.3082
2000-12-04,22.5982
2000-12-05,21.8682
2000-12-06,21.1256
2000-12-07,20.433
2000-12-08,19.6642
2000-12-11,19.453
2000-12-12,19.2756
2000-12-13,19.1294
2000-12-14,18.9458
2000-12-15,18.7858
2000-12-18,18.627
2000-12-19,18.472
2000-12-20,18.3422
2000-12-21,18.231
2000-12-22,18.131
2000-12-26,17.9836
2000-12-27,17.8498
2000-12-28,17.7436
2000-12-29,17.6388
2001-01-02,17.5576
2001-01-03,17.495
2001-01-04,17.4288
2001-01-05,17.3788
2001-01-08,17.34
2001-01-09,17.3138
2001-01-10,17.2738
2001-01-11,17.2476
2001-01-12,17.2002
2001-01-16,17.1326
2001-01-17,17.0226
2001-01-18,16.9514
2001-01-19,16.9126
2001-01-22,16.8714
2001-01-23,16.8802
2001-01-24,16.8864
2001-01-25,16.904
2001-01-26,16.9078
2001-01-29,16.9366
2001-01-30,16.9742
2001-01-31,17.0266
2001-02-01,17.079
2001-02-02,17.1126
2001-02-05,17.1402
2001-02-06,17.1926
2001-02-07,17.2214
2001-02-08,17.2626
2001-02-09,17.2844
2001-02-12,17.327
2001-02-13,17.3794
2001-02-14,17.4282
2001-02-15,17.4956
2001-02-16,17.5356
2001-02-20,17.6156
2001-02-21,17.7068
2001-02-22,17.7818
2001-02-23,17.8542
2001-02-26,17.9366
2001-02-27,18.024
2001-02-28,18.1002
2001-03-01,18.194
2001-03-02,18.294
2001-03-05,18.4214
2001-03-06,18.5638
2001-03-07,18.7076
2001-03-08,18.8238
2001-03-09,18.935
2001-03-12,19.0112
2001-03-13,19.1062
2001-03-14,19.2174
2001-03-15,19.3136
2001-03-16,19.3786
2001-03-19,19.4486
2001-03-20,19.515
2001-03-21,19.5862
2001-03-22,19.6748
2001-03-23,19.8036
2001-03-26,19.8792
2001-03-27,19.9928
2001-03-28,20.0938
2001-03-29,20.2082
2001-03-30,20.2758
2001-04-02,20.3176
2001-04-03,20.3374
2001-04-04,20.3174
2001-04-05,20.3248
2001-04-06,20.3378
2001-04-09,20.3574
2001-04-10,20.3644
2001-04-11,20.3654
2001-04-12,20.3814
2001-04-16,20.3878
2001-04-17,20.3834
2001-04-18,20.4354
2001-04-19,20.5274
2001-04-20,20.6132
2001-04-23,20.6832
2001-04-24,20.7814
2001-04-25,20.882
2001-04-26,20.9934
2001-04-27,21.1274
2001-04-30,21.236
2001-05-01,21.3746
2001-05-02,21.5402
2001-05-03,21.662
2001-05-04,21.8008
2001-05-07,21.9238
2001-05-08,22.0252
2001-05-09,22.1174
2001-05-10,22.2124
2001-05-11,22.2944
2001-05-14,22.3752
2001-05-15,22.4314
2001-05-16,22.4834
2001-05-17,22.5294
2001-05-18,22.5838
2001-05-21,22.65
2001-05-22,22.7476
2001-05-23,22.821
2001-05-24,22.8762
2001-05-25,22.9376
2001-05-29,22.9746
2001-05-30,22.959
2001-05-31,22.9642
2001-06-01,22.9796
2001-06-04,22.9604
2001-06-05,22.9192
2001-06-06,22.8982
2001-06-07,22.874
2001-06-08,22.857
2001-06-11,22.8072
2001-06-12,22.772
2001-06-13,22.7496
2001-06-14,22.7424
2001-06-15,22.7612
2001-06-18,22.7504
2001-06-19,22.7424
2001-06-20,22.765
2001-06-21,22.774
2001-06-22,22.7832
2001-06-25,22.8146
2001-06-26,22.8608
2001-06-27,22.9196
2001-06-28,22.9346
2001-06-29,22.8852
2001-07-02,22.8624
2001-07-03,22.8542
2001-07-05,22.8374
2001-07-06,22.7836
2001-07-09,22.7438
2001-07-10,22.6426
2001-07-11,22.5836
2001-07-12,22.5522
2001-07-13,22.5174
2001-07-16,22.4974
2001-07-17,22.4844
2001-07-18,22.401
2001-07-19,22.3088
2001-07-20,22.2288
2001-07-23,22.1596
2001-07-24,22.0844
2001-07-25,21.988
2001-07-26,21.8962
2001-07-27,21.7934
2001-07-30,21.701
2001-07-31,21.6062
2001-08-01,21.5162
2001-08-02,21.4426
2001-08-03,21.368
2001-08-06,21.2866
2001-08-07,21.2164
2001-08-08,21.165
2001-08-09,21.1504
2001-08-10,21.1318
2001-08-13,21.0958
2001-08-14,21.0572
2001-08-15,21.0072
2001-08-16,20.9656
2001-08-17,20.8938
2001-08-20,20.8298
2001-08-21,20.7874
2001-08-22,20.7454
2001-08-23,20.6922
2001-08-24,20.666
2001-08-27,20.6356
2001-08-28,20.597
2001-08-29,20.5498
2001-08-30,20.473
2001-08-31,20.3942
2001-09-04,20.314
2001-09-05,20.2052
2001-09-06,20.0846
2001-09-07,19.9634
2001-09-10,19.84
2001-09-17,19.7148
2001-09-18,19.5624
2001-09-19,19.426
2001-09-20,19.2758
2001-09-21,19.1498
2001-09-24,19.0248
2001-09-25,18.9128
2001-09-26,18.765
2001-09-27,18.588
2001-09-28,18.4012
2001-10-01,18.2328
2001-10-02,18.0318
2001-10-03,17.9156
2001-10-04,17.834
2001-10-05,17.7572
2001-10-08,17.6904
2001-10-09,17.6286
2001-10-10,17.5956
2001-10-11,17.5786
2001-10-12,17.5596
2001-10-15,17.5408
2001-10-16,17.5252
2001-10-17,17.4838
2001-10-18,17.4474
2001-10-19,17.4234
2001-10-22,17.4212
2001-10-23,17.399
2001-10-24,17.4
2001-10-25,17.4028
2001-10-26,17.3958
2001-10-29,17.3666
2001-10-30,17.344
2001-10-31,17.3264
2001-11-01,17.3252
2001-11-02,17.3352
2001-11-05,17.3542
2001-11-06,17.3872
2001-11-07,17.4148
2001-11-08,17.4328
2001-11-09,17.4356
2001-11-12,17.4322
2001-11-13,17.4516
2001-11-14,17.4872
2001-11-15,17.5196
2001-11-16,17.528
2001-11-19,17.563
2001-11-20,17.5826
2001-11-21,17.6218
2001-11-23,17.673
2001-11-26,17.753
2001-11-27,17.8332
2001-11-28,17.9182
2001-11-29,17.9862
2001-11-30,18.0986
2001-12-03,18.205
2001-12-04,18.324
2001-12-05,18.4884
2001-12-06,18.641
2001-12-07,18.7816
2001-12-10,18.9222
2001-12-11,19.047
2001-12-12,19.1758
2001-12-13,19.2962
2001-12-14,19.3864
2001-12-17,19.476
2001-12-18,19.5722
2001-12-19,19.6846
2001-12-20,19.7616
2001-12-21,19.8268
2001-12-24,19.8938
2001-12-26,19.9638
2001-12-27,20.045
2001-12-28,20.1538
2001-12-31,20.2318
2002-01-02,20.3318
2002-01-03,20.423
2002-01-04,20.534
2002-01-07,20.613
2002-01-08,20.6814
2002-01-09,20.741
2002-01-10,20.813
2002-01-11,20.882
2002-01-14,20.9538
2002-01-15,21.016
2002-01-16,21.0602
2002-01-17,21.1284
2002-01-18,21.1804
2002-01-22,21.225
2002-01-23,21.3112
2002-01-24,21.4012
2002-01-25,21.4912
2002-01-28,21.5692
2002-01-29,21.6384
2002-01-30,21.7312
2002-01-31,21.8462
2002-02-01,21.9344
2002-02-04,22.0508
2002-02-05,22.1662
2002-02-06,22.2628
2002-02-07,22.3214
2002-02-08,22.382
2002-02-11,22.471
2002-02-12,22.5568
2002-02-13,22.631
2002-02-14,22.702
2002-02-15,22.732
2002-02-19,22.7092
2002-02-20,22.7162
2002-02-21,22.6954
2002-02-22,22.6994
2002-02-25,22.74
2002-02-26,22.7836
2002-02-27,22.8028
2002-02-28,22.829
2002-03-01,22.8856
2002-03-04,22.9512
2002-03-05,22.9894
2002-03-06,23.0574
2002-03-07,23.125
2002-03-08,23.191
2002-03-11,23.2624
2002-03-12,23.3154
2002-03-13,23.3566
2002-03-14,23.4072
2002-03-15,23.4402
2002-03-18,23.4634
2002-03-19,23.4866
2002-03-20,23.527
2002-03-21,23.5602
2002-03-22,23.609
2002-03-25,23.6514
2002-03-26,23.6996
2002-03-27,23.746
2002-03-28,23.7854
2002-04-01,23.859
2002-04-02,23.8908
2002-04-03,23.9224
2002-04-04,23.984
2002-04-05,24.0184
2002-04-08,24.0454
2002-04-09,24.0624
2002-04-10,24.0902
2002-04-11,24.126
2002-04-12,24.1454
2002-04-15,24.151
2002-04-16,24.1776
2002-04-17,24.1928
2002-04-18,24.192
2002-04-19,24.1982
2002-04-22,24.2028
2002-04-23,24.2072
2002-04-24,24.183
2002-04-25,24.1712
2002-04-26,24.1312
2002-04-29,24.1184
2002-04-30,24.1258
2002-05-01,24.153
2002-05-02,24.1642
2002-05-03,24.2044
2002-05-06,24.2026
2002-05-07,24.1758
2002-05-08,24.1898
2002-05-09,24.2344
2002-05-10,24.2668
2002-05-13,24.2766
2002-05-14,24.303
2002-05-15,24.338
2002-05-16,24.3608
2002-05-17,24.3734
2002-05-20,24.375
2002-05-21,24.343
2002-05-22,24.335
2002-05-23,24.3488
2002-05-24,24.3432
2002-05-28,24.3238
2002-05-29,24.3086
2002-05-30,24.2956
2002-05-31,24.2632
2002-06-03,24.236
2002-06-04,24.2098
2002-06-05,24.1972
2002-06-06,24.1712
2002-06-07,24.1298
2002-06-10,24.086
2002-06-11,24.006
2002-06-12,23.9264
2002-06-13,23.8422
