date,value
2000-01-13,18.7757
2000-01-14,30.0112
2000-01-18,53.2931
2000-01-19,74.2308
2000-01-20,84.7924
2000-01-21,81.8481
2000-01-24,69.1653
2000-01-25,55.9632
2000-01-26,45.2507
2000-01-27,45.5613
2000-01-28,43.2596
2000-01-31,43.0885
2000-02-01,34.9551
2000-02-02,33.5112
2000-02-03,32.1496
2000-02-04,41.112
2000-02-07,56.7048
2000-02-08,75.9426
2000-02-09,87.2175
2000-02-10,87.2352
2000-02-11,75.256
2000-02-14,66.1298
2000-02-15,61.9466
2000-02-16,68.1421
2000-02-17,69.8367
2000-02-18,61.8092
2000-02-22,51.3864
2000-02-23,46.4783
2000-02-24,54.232
2000-02-25,58.9132
2000-02-28,58.4927
2000-02-29,51.8995
2000-03-01,54.9882
2000-03-02,61.3707
2000-03-03,71.6472
2000-03-06,72.1141
2000-03-07,69.2403
2000-03-08,58.0287
2000-03-09,46.2294
2000-03-10,41.3206
2000-03-13,41.8953
2000-03-14,41.9808
2000-03-15,32.1218
2000-03-16,24.8873
2000-03-17,31.1169
2000-03-20,49.5824
2000-03-21,69.7273
2000-03-22,81.5565
2000-03-23,86.6873
2000-03-24,83.994
2000-03-27,75.9284
2000-03-28,64.8257
2000-03-29,52.1723
2000-03-30,36.8759
2000-03-31,26.4429
2000-04-03,25.0519
2000-04-04,35.3927
2000-04-05,44.9256
2000-04-06,49.4363
2000-04-07,51.1364
2000-04-10,50.6539
2000-04-11,48.1404
2000-04-12,37.7749
2000-04-13,27.3005
2000-04-14,21.8726
2000-04-17,31.0413
2000-04-18,49.3597
2000-04-19,69.4782
2000-04-20,75.289
2000-04-24,68.439
2000-04-25,61.2052
2000-04-26,58.9078
2000-04-27,65.2482
2000-04-28,65.9835
2000-05-01,69.5321
2000-05-02,61.2868
2000-05-03,50.391
2000-05-04,30.1682
2000-05-05,18.7719
2000-05-08,10.0327
2000-05-09,8.5669
2000-05-10,5.1076
2000-05-11,6.7106
2000-05-12,14.2223
2000-05-15,24.7927
2000-05-16,36.3689
2000-05-17,37.4281
2000-05-18,35.5388
2000-05-19,23.7898
2000-05-22,15.9562
2000-05-23,8.8832
