date,value
2000-01-13,26.5539
2000-01-14,52.3177
2000-01-18,81.0077
2000-01-19,89.367
2000-01-20,84.0023
2000-01-21,72.175
2000-01-24,51.3185
2000-01-25,44.3961
2000-01-26,40.0376
2000-01-27,52.2501
2000-01-28,37.491
2000-01-31,39.5243
2000-02-01,27.85
2000-02-02,33.1594
2000-02-03,35.4393
2000-02-04,54.7373
2000-02-07,79.9378
2000-02-08,93.1526
2000-02-09,88.5621
2000-02-10,79.991
2000-02-11,57.2149
2000-02-14,61.1835
2000-02-15,67.4414
2000-02-16,75.8013
2000-02-17,66.2675
2000-02-18,43.3589
2000-02-22,44.5329
2000-02-23,51.5432
2000-02-24,66.6199
2000-02-25,58.5765
2000-02-28,50.2816
2000-02-29,46.8403
2000-03-01,67.8427
2000-03-02,69.4291
2000-03-03,77.6699
2000-03-06,69.2434
2000-03-07,60.8075
2000-03-08,44.0351
2000-03-09,33.8456
2000-03-10,46.0812
2000-03-13,45.7592
2000-03-14,34.1021
2000-03-15,16.5043
2000-03-16,24.0555
2000-03-17,52.791
2000-03-20,71.9006
2000-03-21,84.4904
2000-03-22,88.2784
2000-03-23,87.2932
2000-03-24,76.4103
2000-03-27,64.0817
2000-03-28,53.9849
2000-03-29,38.4502
2000-03-30,18.1926
2000-03-31,22.6858
2000-04-03,34.2774
2000-04-04,49.2148
2000-04-05,51.2846
2000-04-06,47.8095
2000-04-07,54.315
2000-04-10,49.8373
2000-04-11,40.269
2000-04-12,23.2184
2000-04-13,18.4142
2000-04-14,23.9853
2000-04-17,50.7245
2000-04-18,73.3692
2000-04-19,84.341
2000-04-20,68.1567
2000-04-24,52.8193
2000-04-25,62.6396
2000-04-26,61.2647
2000-04-27,71.8402
2000-04-28,64.8456
2000-05-01,71.9104
2000-05-02,47.1043
2000-05-03,32.1584
2000-05-04,11.242
2000-05-05,12.9153
2000-05-08,5.9407
2000-05-09,6.8448
2000-05-10,2.5374
2000-05-11,10.7496
2000-05-12,29.3799
2000-05-15,34.2486
2000-05-16,45.4782
2000-05-17,32.5575
2000-05-18,28.5806
2000-05-19,10.2311
2000-05-22,9.0568
2000-05-23,7.3615
2000-05-24,13.1486
2000-05-25,16.2123
2000-05-26,26.3341
2000-05-30,35.8753
2000-05-31,33.9907
2000-06-01,47.2731
2000-06-02,51.5731
2000-06-05,63.5153
2000-06-06,61.2831
2000-06-07,68.1631
2000-06-08,67.3619
2000-06-09,68.7906
2000-06-12,44.5256
2000-06-13,46.911
2000-06-14,31.257
2000-06-15,41.966
2000-06-16,33.6863
2000-06-19,55.4407
2000-06-20,68.4817
2000-06-21,59.6671
2000-06-22,32.7763
2000-06-23,6.3024
2000-06-26,5.3701
2000-06-27,9.7894
2000-06-28,26.6736
2000-06-29,27.4265
2000-06-30,30.7791
2000-07-03,29.929
2000-07-05,33.1373
2000-07-06,36.2969
2000-07-07,48.242
2000-07-10,70.9088
2000-07-11,83.1684
2000-07-12,86.3828
2000-07-13,74.5177
2000-07-14,68.2777
2000-07-17,56.4078
2000-07-18,53.4429
2000-07-19,37.8823
2000-07-20,33.2411
2000-07-21,27.5307
2000-07-24,27.4878
2000-07-25,20.8736
2000-07-26,21.3378
2000-07-27,36.3023
2000-07-28,34.8593
2000-07-31,46.4983
2000-08-01,40.764
2000-08-02,35.2172
2000-08-03,29.8035
2000-08-04,31.225
2000-08-07,46.8603
2000-08-08,43.6135
2000-08-09,44.9524
2000-08-10,35.8155
2000-08-11,44.1965
2000-08-14,46.0814
2000-08-15,50.7255
2000-08-16,58.9282
2000-08-17,70.0554
2000-08-18,77.042
2000-08-21,71.0003
2000-08-22,69.6231
2000-08-23,80.6137
2000-08-24,89.0242
2000-08-25,92.3239
2000-08-28,90.9664
2000-08-29,92.4481
2000-08-30,92.853
2000-08-31,92.8421
2000-09-01,92.8726
2000-09-05,86.681
2000-09-06,60.6042
2000-09-07,50.4745
2000-09-08,31.7635
2000-09-11,31.7635
2000-09-12,14.0202
2000-09-13,15.2786
2000-09-14,12.4193
2000-09-15,13.2519
2000-09-18,38.9521
2000-09-19,67.3803
2000-09-20,93.5765
2000-09-21,72.0168
2000-09-22,49.2184
2000-09-25,27.8913
2000-09-26,20.7751
2000-09-27,16.415
2000-09-28,30.5045
2000-09-29,26.7291
2000-10-02,25.5081
2000-10-03,1.3469
2000-10-04,2.7528
2000-10-05,2.8411
2000-10-06,9.6132
2000-10-09,14.0368
2000-10-10,16.2319
2000-10-11,12.4312
2000-10-12,13.8601
2000-10-13,36.9101
2000-10-16,53.0213
2000-10-17,53.4134
2000-10-18,37.4282
2000-10-19,22.4702
2000-10-20,22.4288
2000-10-23,31.1971
2000-10-24,33.734
2000-10-25,28.1783
2000-10-26,19.153
2000-10-27,22.8498
2000-10-30,38.2789
2000-10-31,53.3574
2000-11-01,72.5464
2000-11-02,87.0284
2000-11-03,89.5097
2000-11-06,79.3028
2000-11-07,64.427
2000-11-08,39.5884
2000-11-09,29.6818
2000-11-10,12.1724
2000-11-13,20.047
2000-11-14,31.3855
2000-11-15,55.3855
2000-11-16,56.0098
2000-11-17,38.8148
2000-11-20,25.037
2000-11-21,23.5479
2000-11-22,25.1861
2000-11-24,43.2305
2000-11-27,42.287
2000-11-28,38.4452
2000-11-29,14.0199
2000-11-30,8.6573
2000-12-01,15.3597
2000-12-04,18.1155
2000-12-05,28.1939
2000-12-06,22.9438
2000-12-07,19.299
2000-12-08,16.1761
2000-12-11,24.7547
2000-12-12,44.8023
2000-12-13,51.1977
2000-12-14,39.6667
2000-12-15,17.6667
2000-12-18,6.0162
2000-12-19,7.2507
2000-12-20,21.6828
2000-12-21,25.5144
2000-12-22,52.4691
2000-12-26,58.8477
2000-12-27,78.7105
2000-12-28,78.1997
2000-12-29,85.1247
2001-01-02,78.1123
2001-01-03,79.5004
2001-01-04,72.6423
2001-01-05,66.7898
2001-01-08,55.1287
2001-01-09,55.8292
2001-01-10,48.0565
2001-01-11,57.4738
2001-01-12,51.1719
2001-01-16,57.5798
2001-01-17,41.0028
2001-01-18,57.2601
2001-01-19,75.459
2001-01-22,94.5934
2001-01-23,92.0901
2001-01-24,88.326
2001-01-25,78.9457
2001-01-26,63.849
2001-01-29,67.5232
2001-01-30,78.022
2001-01-31,87.8949
2001-02-01,75.2663
2001-02-02,56.7856
2001-02-05,37.3127
2001-02-06,33.9575
2001-02-07,37.1601
2001-02-08,47.0475
2001-02-09,35.75
2001-02-12,32.875
2001-02-13,23.7021
2001-02-14,31.4143
2001-02-15,41.5795
2001-02-16,43.6223
2001-02-20,32.2892
2001-02-21,19.3424
2001-02-22,21.7986
2001-02-23,34.0284
2001-02-26,50.2376
2001-02-27,63.2302
2001-02-28,54.2437
2001-03-01,49.2705
2001-03-02,46.8592
2001-03-05,73.9524
2001-03-06,82.6527
2001-03-07,89.3137
2001-03-08,79.6867
2001-03-09,62.0488
2001-03-12,38.4897
2001-03-13,29.8068
2001-03-14,43.7222
