date,value
2000-01-03,104.87
2000-01-04,108.25
2000-01-05,103.75
2000-01-06,106.12
2000-01-07,96.5
2000-01-10,102.0
2000-01-11,95.94
2000-01-12,95.0
2000-01-13,94.48
2000-01-14,100.0
2000-01-18,101.0
2000-01-19,105.62
2000-01-20,115.5
2000-01-21,114.25
2000-01-24,108.44
2000-01-25,105.0
2000-01-26,110.0
2000-01-27,108.81
2000-01-28,108.19
2000-01-31,101.0
2000-02-01,104.0
2000-02-02,100.75
2000-02-03,100.31
2000-02-04,103.94
2000-02-07,108.0
2000-02-08,114.0
2000-02-09,114.12
2000-02-10,112.87
2000-02-11,113.62
2000-02-14,109.31
2000-02-15,115.25
2000-02-16,117.75
2000-02-17,115.19
2000-02-18,114.62
2000-02-22,110.12
2000-02-23,113.23
2000-02-24,117.31
2000-02-25,114.81
2000-02-28,110.12
2000-02-29,113.56
2000-03-01,118.56
2000-03-02,127.0
2000-03-03,124.87
2000-03-06,126.0
2000-03-07,126.44
2000-03-08,122.87
2000-03-09,120.87
2000-03-10,121.69
2000-03-13,122.12
2000-03-14,121.22
2000-03-15,115.62
2000-03-16,117.31
2000-03-17,120.12
2000-03-20,123.5
2000-03-21,122.56
2000-03-22,132.78
2000-03-23,142.0
2000-03-24,142.44
2000-03-27,137.63
2000-03-28,137.25
2000-03-29,139.38
2000-03-30,133.56
2000-03-31,127.44
2000-04-03,135.5
2000-04-04,132.63
2000-04-05,126.47
2000-04-06,130.63
2000-04-07,127.25
2000-04-10,131.69
2000-04-11,123.5
2000-04-12,119.0
2000-04-13,111.5
2000-04-14,109.31
2000-04-17,109.5
2000-04-18,123.5
2000-04-19,126.19
2000-04-20,123.69
2000-04-24,115.0
2000-04-25,122.12
2000-04-26,126.62
2000-04-27,117.19
2000-04-28,127.12
2000-05-01,124.87
2000-05-02,123.25
2000-05-03,118.94
2000-05-04,115.12
2000-05-05,110.81
2000-05-08,112.09
2000-05-09,110.31
2000-05-10,104.06
2000-05-11,101.37
2000-05-12,106.0
2000-05-15,108.06
2000-05-16,104.52
2000-05-17,103.62
2000-05-18,103.0
2000-05-19,99.25
2000-05-22,93.75
2000-05-23,90.5
2000-05-24,86.19
2000-05-25,88.5
2000-05-26,88.0
2000-05-30,87.62
2000-05-31,86.87
2000-06-01,81.75
2000-06-02,93.75
2000-06-05,93.31
2000-06-06,91.97
2000-06-07,93.62
2000-06-08,97.62
2000-06-09,96.75
2000-06-12,96.37
2000-06-13,91.19
2000-06-14,94.69
2000-06-15,91.25
2000-06-16,93.5
2000-06-19,90.56
2000-06-20,98.5
2000-06-21,50.5
2000-06-22,55.75
2000-06-23,53.78
2000-06-26,52.5
2000-06-27,53.78
2000-06-28,53.31
2000-06-29,53.06
2000-06-30,52.81
2000-07-03,52.13
2000-07-05,53.25
2000-07-06,52.5
2000-07-07,52.59
2000-07-10,54.09
2000-07-11,57.0
2000-07-12,58.13
2000-07-13,58.5
2000-07-14,57.13
2000-07-17,58.25
2000-07-18,58.5
2000-07-19,55.19
2000-07-20,55.0
2000-07-21,54.36
2000-07-24,52.56
2000-07-25,50.31
2000-07-26,49.84
2000-07-27,50.0
2000-07-28,52.28
2000-07-31,49.16
2000-08-01,50.31
2000-08-02,49.0
2000-08-03,45.56
2000-08-04,49.47
2000-08-07,47.88
2000-08-08,47.94
2000-08-09,48.13
2000-08-10,48.0
2000-08-11,46.84
2000-08-14,47.59
2000-08-15,47.25
2000-08-16,46.88
2000-08-17,48.38
2000-08-18,51.38
2000-08-21,50.25
2000-08-22,50.63
2000-08-23,51.47
2000-08-24,54.67
2000-08-25,56.5
