date,value
2000-01-03,4783900.0
2000-01-04,4574800.0
2000-01-05,6949300.0
2000-01-06,6856900.0
2000-01-07,4113700.0
2000-01-10,4509500.0
2000-01-11,3942400.0
2000-01-12,8714900.0
2000-01-13,9220400.0
2000-01-14,3485500.0
2000-01-18,4099800.0
2000-01-19,5336100.0
2000-01-20,16349400.0
2000-01-21,4427900.0
2000-01-24,3936400.0
2000-01-25,4438800.0
2000-01-26,3278200.0
2000-01-27,3037000.0
2000-01-28,3779900.0
2000-01-31,6265000.0
2000-02-01,2839600.0
2000-02-02,4144600.0
2000-02-03,4242800.0
2000-02-04,3797500.0
2000-02-07,3938100.0
2000-02-08,3648600.0
2000-02-09,2672900.0
2000-02-10,2705200.0
2000-02-11,1895100.0
2000-02-14,3281600.0
2000-02-15,4337000.0
2000-02-16,3377200.0
2000-02-17,2584800.0
2000-02-18,2084300.0
2000-02-22,3770500.0
2000-02-23,4224100.0
2000-02-24,3361000.0
2000-02-25,2224500.0
2000-02-28,2931500.0
2000-02-29,3294300.0
2000-03-01,9616100.0
2000-03-02,2779100.0
2000-03-03,2887200.0
2000-03-06,1880000.0
2000-03-07,2437600.0
2000-03-08,2421700.0
2000-03-09,2470700.0
2000-03-10,2219700.0
2000-03-13,2713900.0
2000-03-14,3826600.0
2000-03-15,3960800.0
2000-03-16,3375900.0
2000-03-17,2723600.0
2000-03-20,1825800.0
2000-03-21,4681500.0
2000-03-22,5071400.0
2000-03-23,5022900.0
2000-03-24,3990300.0
2000-03-27,2492700.0
2000-03-28,1812200.0
2000-03-29,2141400.0
2000-03-30,3700000.0
2000-03-31,3612800.0
2000-04-03,2933600.0
2000-04-04,5895800.0
2000-04-05,4086300.0
2000-04-06,2318100.0
2000-04-07,2164600.0
2000-04-10,1895200.0
2000-04-11,4837700.0
2000-04-12,8403000.0
2000-04-13,4730600.0
2000-04-14,5960900.0
2000-04-17,3656800.0
2000-04-18,3490400.0
2000-04-19,4644200.0
2000-04-20,6447500.0
2000-04-24,3960900.0
2000-04-25,3496800.0
2000-04-26,3276000.0
2000-04-27,2916100.0
2000-04-28,2228400.0
2000-05-01,2019600.0
2000-05-02,2111000.0
2000-05-03,4373200.0
2000-05-04,3567100.0
2000-05-05,2536400.0
2000-05-08,1650900.0
2000-05-09,2920900.0
2000-05-10,4777600.0
2000-05-11,4462000.0
2000-05-12,2740300.0
2000-05-15,6061900.0
2000-05-16,3932600.0
2000-05-17,3554400.0
2000-05-18,3337300.0
2000-05-19,6613100.0
2000-05-22,6745600.0
2000-05-23,4621300.0
2000-05-24,6057700.0
2000-05-25,3631700.0
2000-05-26,1617400.0
2000-05-30,6366600.0
2000-05-31,3870600.0
2000-06-01,8070000.0
2000-06-02,7079000.0
2000-06-05,2889900.0
2000-06-06,4691800.0
2000-06-07,3009100.0
2000-06-08,2129700.0
2000-06-09,2253200.0
2000-06-12,2592300.0
2000-06-13,3138000.0
2000-06-14,2477200.0
2000-06-15,2219400.0
2000-06-16,2710400.0
2000-06-19,3517900.0
2000-06-20,4476700.0
2000-06-21,4375000.0
2000-06-22,8352000.0
2000-06-23,3660100.0
2000-06-26,3309900.0
2000-06-27,3633400.0
2000-06-28,5114800.0
2000-06-29,3636800.0
2000-06-30,5769600.0
2000-07-03,1264800.0
2000-07-05,4736000.0
2000-07-06,5527600.0
2000-07-07,4707200.0
2000-07-10,7103500.0
2000-07-11,6391000.0
2000-07-12,4025600.0
2000-07-13,7958200.0
2000-07-14,3397800.0
2000-07-17,4642900.0
2000-07-18,5685800.0
2000-07-19,8176300.0
2000-07-20,8313800.0
2000-07-21,3504200.0
2000-07-24,7360200.0
2000-07-25,3778700.0
2000-07-26,3758400.0
2000-07-27,5267600.0
2000-07-28,4248100.0
2000-07-31,2773200.0
2000-08-01,2451500.0
2000-08-02,2899200.0
2000-08-03,6069600.0
2000-08-04,4698600.0
2000-08-07,3345500.0
2000-08-08,3154900.0
2000-08-09,6779300.0
2000-08-10,4494900.0
2000-08-11,4251000.0
2000-08-14,2797500.0
2000-08-15,2039300.0
2000-08-16,2565600.0
2000-08-17,4837500.0
2000-08-18,3396000.0
2000-08-21,2401200.0
2000-08-22,4942900.0
2000-08-23,4229700.0
2000-08-24,5549400.0
2000-08-25,5972500.0
2000-08-28,6410800.0
2000-08-29,4768400.0
2000-08-30,5096300.0
2000-08-31,7492800.0
2000-09-01,4587000.0
2000-09-05,5332900.0
2000-09-06,6346500.0
2000-09-07,3883300.0
2000-09-08,3491400.0
2000-09-11,3346100.0
2000-09-12,3357100.0
2000-09-13,5464000.0
2000-09-14,7617000.0
2000-09-15,7044900.0
2000-09-18,7581000.0
2000-09-19,4848400.0
2000-09-20,4060500.0
2000-09-21,9115900.0
2000-09-22,12976800.0
2000-09-25,7777700.0
2000-09-26,5195300.0
2000-09-27,7183200.0
2000-09-28,17492600.0
2000-09-29,132529300.0
2000-10-02,43299800.0
2000-10-03,36395000.0
2000-10-04,26179000.0
2000-10-05,15589400.0
2000-10-06,10940300.0
2000-10-09,10670800.0
2000-10-10,12341100.0
2000-10-11,21400400.0
2000-10-12,21269000.0
2000-10-13,22281300.0
2000-10-16,14646000.0
2000-10-17,10745000.0
2000-10-18,14897600.0
2000-10-19,26905800.0
2000-10-20,14129700.0
2000-10-23,9844500.0
2000-10-24,14365200.0
2000-10-25,11856600.0
