date,value
2016-09-28,15.0628
2016-09-29,15.1862
2016-09-30,15.2891
2016-10-03,15.3923
2016-10-04,15.4502
2016-10-05,15.5177
2016-10-06,15.6193
2016-10-07,15.7296
2016-10-10,15.8319
2016-10-11,15.9546
2016-10-12,16.0838
2016-10-13,16.2507
2016-10-14,16.3276
2016-10-17,16.4328
2016-10-18,16.5421
2016-10-19,16.5855
2016-10-20,16.6182
2016-10-21,16.623
2016-10-24,16.6476
2016-10-25,16.6704
2016-10-26,16.6669
2016-10-27,16.616
2016-10-28,16.564
2016-10-31,16.5415
2016-11-01,16.4885
2016-11-02,16.4486
2016-11-03,16.3737
2016-11-04,16.325
2016-11-07,16.2746
2016-11-08,16.2144
2016-11-09,16.2056
2016-11-10,16.243
2016-11-11,16.3382
2016-11-14,16.4038
2016-11-15,16.4722
2016-11-16,16.5059
2016-11-17,16.5598
2016-11-18,16.6033
2016-11-21,16.6432
2016-11-22,16.6956
2016-11-23,16.746
2016-11-25,16.7948
2016-11-28,16.8146
2016-11-29,16.8363
2016-11-30,16.8204
2016-12-01,16.7973
2016-12-02,16.7911
2016-12-05,16.7244
2016-12-06,16.6728
2016-12-07,16.6045
2016-12-08,16.5725
2016-12-09,16.5823
2016-12-12,16.6379
2016-12-13,16.6952
2016-12-14,16.7475
2016-12-15,16.7931
2016-12-16,16.8334
2016-12-19,16.8756
2016-12-20,16.9209
2016-12-21,16.953
2016-12-22,16.9933
2016-12-23,17.0441
2016-12-27,17.0797
2016-12-28,17.1228
2016-12-29,17.1607
2016-12-30,17.2042
2017-01-03,17.2296
2017-01-04,17.2413
2017-01-05,17.2742
2017-01-06,17.2827
2017-01-09,17.3022
2017-01-10,17.3354
2017-01-11,17.3552
2017-01-12,17.3691
2017-01-13,17.3896
2017-01-17,17.3261
2017-01-18,17.256
2017-01-19,17.1824
2017-01-20,17.1102
2017-01-23,17.018
2017-01-24,16.9428
2017-01-25,16.8768
2017-01-26,16.8213
2017-01-27,16.78
2017-01-30,16.7432
2017-01-31,16.7266
2017-02-01,16.7204
2017-02-02,16.7263
2017-02-03,16.7045
2017-02-06,16.6702
2017-02-07,16.6263
2017-02-08,16.588
2017-02-09,16.5798
2017-02-10,16.572
2017-02-13,16.6025
2017-02-14,16.6153
2017-02-15,16.6194
2017-02-16,16.6206
2017-02-17,16.6257
2017-02-21,16.6247
2017-02-22,16.5767
2017-02-23,16.5643
2017-02-24,16.5343
2017-02-27,16.5196
2017-02-28,16.48
2017-03-01,16.4475
2017-03-02,16.4005
2017-03-03,16.364
2017-03-06,16.3274
2017-03-07,16.2796
2017-03-08,16.233
2017-03-09,16.2043
2017-03-10,16.1774
2017-03-13,16.1587
2017-03-14,16.1262
2017-03-15,16.1016
2017-03-16,16.0788
2017-03-17,16.0506
2017-03-20,16.0134
2017-03-21,15.965
2017-03-22,15.9468
2017-03-23,15.9277
2017-03-24,15.9623
2017-03-27,15.9834
2017-03-28,16.0071
2017-03-29,16.0426
2017-03-30,16.093
2017-03-31,16.1302
2017-04-03,16.1576
2017-04-04,16.1746
2017-04-05,16.1842
2017-04-06,16.1813
2017-04-07,16.1805
2017-04-10,16.1753
2017-04-11,16.1704
2017-04-12,16.1543
2017-04-13,16.1349
2017-04-17,16.1418
2017-04-18,16.1045
2017-04-19,16.0376
2017-04-20,15.9656
2017-04-21,15.8983
2017-04-24,15.8407
2017-04-25,15.8003
2017-04-26,15.7873
2017-04-27,15.7753
2017-04-28,15.741
2017-05-01,15.7217
2017-05-02,15.7013
2017-05-03,15.6745
2017-05-04,15.6477
2017-05-05,15.6039
2017-05-08,15.5602
2017-05-09,15.5249
2017-05-10,15.5078
2017-05-11,15.493
2017-05-12,15.4737
2017-05-15,15.4539
2017-05-16,15.433
2017-05-17,15.4352
2017-05-18,15.495
2017-05-19,15.5709
2017-05-22,15.623
2017-05-23,15.6833
2017-05-24,15.7259
2017-05-25,15.7261
2017-05-26,15.7101
2017-05-30,15.6678
2017-05-31,15.613
2017-06-01,15.5721
2017-06-02,15.5398
2017-06-05,15.521
2017-06-06,15.51
2017-06-07,15.4825
2017-06-08,15.4636
2017-06-09,15.4462
2017-06-12,15.417
2017-06-13,15.4292
2017-06-14,15.4575
2017-06-15,15.4737
2017-06-16,15.5226
2017-06-19,15.6001
2017-06-20,15.6609
2017-06-21,15.7436
2017-06-22,15.8493
2017-06-23,15.958
2017-06-26,16.133
