date,value
2016-09-06,-0.0157
2016-09-07,-0.0012
2016-09-08,-0.0146
2016-09-09,-0.0257
2016-09-12,-0.0477
2016-09-13,-0.0995
2016-09-14,-0.1477
2016-09-15,-0.171
2016-09-16,-0.1865
2016-09-19,-0.1319
2016-09-20,-0.0342
2016-09-21,0.0347
2016-09-22,0.1075
2016-09-23,0.1426
2016-09-26,0.2219
2016-09-27,0.2559
2016-09-28,0.4033
2016-09-29,0.5677
2016-09-30,0.6581
2016-10-03,0.7302
2016-10-04,0.6946
2016-10-05,0.6827
2016-10-06,0.7406
2016-10-07,0.8031
2016-10-10,0.8357
2016-10-11,0.9011
2016-10-12,0.9653
2016-10-13,1.0915
2016-10-14,1.008
2016-10-17,0.995
2016-10-18,0.9902
2016-10-19,0.8499
2016-10-20,0.7119
2016-10-21,0.5415
2016-10-24,0.4424
2016-10-25,0.3582
2016-10-26,0.2363
2016-10-27,0.0416
2016-10-28,-0.1179
2016-10-31,-0.1856
2016-11-01,-0.3004
2016-11-02,-0.3645
2016-11-03,-0.4848
2016-11-04,-0.5265
2016-11-07,-0.5603
2016-11-08,-0.6043
2016-11-09,-0.5322
2016-11-10,-0.3763
2016-11-11,-0.1295
2016-11-14,0.0128
2016-11-15,0.1352
2016-11-16,0.1642
2016-11-17,0.229
2016-11-18,0.2603
2016-11-21,0.2779
2016-11-22,0.3173
2016-11-23,0.3445
2016-11-25,0.3627
2016-11-28,0.3177
2016-11-29,0.2845
2016-11-30,0.1802
2016-12-01,0.0805
2016-12-02,0.0342
2016-12-05,-0.1261
2016-12-06,-0.2248
2016-12-07,-0.3378
2016-12-08,-0.3539
2016-12-09,-0.2803
2016-12-12,-0.1253
2016-12-13,0.0055
2016-12-14,0.1024
2016-12-15,0.1675
2016-12-16,0.2095
2016-12-19,0.2471
2016-12-20,0.2834
2016-12-21,0.2854
2016-12-22,0.3029
2016-12-23,0.3379
2016-12-27,0.3343
2016-12-28,0.3461
2016-12-29,0.3442
2016-12-30,0.3531
2017-01-03,0.3226
2017-01-04,0.2695
2017-01-05,0.2686
2017-01-06,0.2179
2017-01-09,0.1987
2017-01-10,0.211
2017-01-11,0.1935
2017-01-12,0.1672
2017-01-13,0.159
2017-01-17,-0.0183
2017-01-18,-0.1754
2017-01-19,-0.3092
2017-01-20,-0.4137
2017-01-23,-0.5371
2017-01-24,-0.6006
2017-01-25,-0.6307
2017-01-26,-0.6312
2017-01-27,-0.5996
2017-01-30,-0.5624
2017-01-31,-0.4886
2017-02-01,-0.4053
2017-02-02,-0.3115
2017-02-03,-0.2902
2017-02-06,-0.2974
2017-02-07,-0.322
2017-02-08,-0.3296
