date,value
2016-09-06,0.0079
2016-09-07,0.0179
2016-09-08,0.0036
2016-09-09,-0.006
2016-09-12,-0.0224
2016-09-13,-0.0593
2016-09-14,-0.086
2016-09-15,-0.0875
2016-09-16,-0.0824
2016-09-19,-0.0223
2016-09-20,0.0604
2016-09-21,0.1035
2016-09-22,0.141
2016-09-23,0.1408
2016-09-26,0.1761
2016-09-27,0.1681
2016-09-28,0.2524
2016-09-29,0.3334
2016-09-30,0.3391
2016-10-03,0.3289
2016-10-04,0.2347
2016-10-05,0.1782
2016-10-06,0.1889
2016-10-07,0.2011
2016-10-10,0.1869
2016-10-11,0.2019
2016-10-12,0.2129
2016-10-13,0.2713
2016-10-14,0.1503
2016-10-17,0.1098
2016-10-18,0.0839
2016-10-19,-0.0451
2016-10-20,-0.1464
2016-10-21,-0.2535
2016-10-24,-0.282
2016-10-25,-0.293
2016-10-26,-0.3319
2016-10-27,-0.4213
2016-10-28,-0.4646
2016-10-31,-0.4259
2016-11-01,-0.4325
2016-11-02,-0.3973
2016-11-03,-0.4141
2016-11-04,-0.3646
2016-11-07,-0.3187
2016-11-08,-0.2902
2016-11-09,-0.1745
2016-11-10,-0.0149
2016-11-11,0.1856
2016-11-14,0.2623
2016-11-15,0.3078
2016-11-16,0.2694
2016-11-17,0.2673
2016-11-18,0.2389
2016-11-21,0.2052
2016-11-22,0.1957
2016-11-23,0.1783
2016-11-25,0.1572
2016-11-28,0.0898
2016-11-29,0.0453
2016-11-30,-0.0472
2016-12-01,-0.1175
2016-12-02,-0.1311
2016-12-05,-0.2331
2016-12-06,-0.2654
2016-12-07,-0.3027
2016-12-08,-0.2551
2016-12-09,-0.1452
2016-12-12,0.0078
2016-12-13,0.1109
2016-12-14,0.1662
2016-12-15,0.1851
2016-12-16,0.1816
2016-12-19,0.1754
2016-12-20,0.1694
2016-12-21,0.1371
2016-12-22,0.1237
2016-12-23,0.1269
2016-12-27,0.0987
2016-12-28,0.0884
2016-12-29,0.0692
2016-12-30,0.0625
2017-01-03,0.0255
2017-01-04,-0.0221
2017-01-05,-0.0183
2017-01-06,-0.0553
2017-01-09,-0.0595
2017-01-10,-0.0378
2017-01-11,-0.0442
2017-01-12,-0.0564
2017-01-13,-0.0517
2017-01-17,-0.1832
2017-01-18,-0.2722
2017-01-19,-0.3248
2017-01-20,-0.3435
2017-01-23,-0.3735
2017-01-24,-0.3496
2017-01-25,-0.3038
2017-01-26,-0.2434
2017-01-27,-0.1694
2017-01-30,-0.1058
2017-01-31,-0.0256
2017-02-01,0.0462
2017-02-02,0.112
2017-02-03,0.1066
2017-02-06,0.0795
2017-02-07,0.044
2017-02-08,0.0291
2017-02-09,0.0681
2017-02-10,0.0921
2017-02-13,0.1671
2017-02-14,0.1811
