date,value
2016-09-06,-0.0236
2016-09-07,-0.0191
2016-09-08,-0.0182
2016-09-09,-0.0197
2016-09-12,-0.0253
2016-09-13,-0.0401
2016-09-14,-0.0616
2016-09-15,-0.0835
2016-09-16,-0.1041
2016-09-19,-0.1097
2016-09-20,-0.0946
2016-09-21,-0.0687
2016-09-22,-0.0335
2016-09-23,0.0017
2016-09-26,0.0458
2016-09-27,0.0878
2016-09-28,0.1509
2016-09-29,0.2343
2016-09-30,0.319
2016-10-03,0.4013
2016-10-04,0.4599
2016-10-05,0.5045
2016-10-06,0.5517
2016-10-07,0.602
2016-10-10,0.6487
2016-10-11,0.6992
2016-10-12,0.7524
2016-10-13,0.8202
2016-10-14,0.8578
2016-10-17,0.8852
2016-10-18,0.9062
2016-10-19,0.8949
2016-10-20,0.8583
2016-10-21,0.795
2016-10-24,0.7245
2016-10-25,0.6512
2016-10-26,0.5682
2016-10-27,0.4629
2016-10-28,0.3467
2016-10-31,0.2403
2016-11-01,0.1322
2016-11-02,0.0328
2016-11-03,-0.0707
2016-11-04,-0.1619
2016-11-07,-0.2415
2016-11-08,-0.3141
2016-11-09,-0.3577
2016-11-10,-0.3614
2016-11-11,-0.3151
2016-11-14,-0.2495
2016-11-15,-0.1725
2016-11-16,-0.1052
2016-11-17,-0.0384
2016-11-18,0.0214
2016-11-21,0.0727
2016-11-22,0.1216
2016-11-23,0.1662
2016-11-25,0.2055
2016-11-28,0.2279
2016-11-29,0.2392
2016-11-30,0.2274
2016-12-01,0.1981
2016-12-02,0.1653
2016-12-05,0.107
2016-12-06,0.0407
2016-12-07,-0.035
2016-12-08,-0.0988
2016-12-09,-0.1351
2016-12-12,-0.1331
2016-12-13,-0.1054
2016-12-14,-0.0639
2016-12-15,-0.0176
2016-12-16,0.0278
2016-12-19,0.0717
2016-12-20,0.114
2016-12-21,0.1483
2016-12-22,0.1792
2016-12-23,0.211
2016-12-27,0.2356
2016-12-28,0.2577
2016-12-29,0.275
2016-12-30,0.2906
2017-01-03,0.297
2017-01-04,0.2915
2017-01-05,0.2869
2017-01-06,0.2731
2017-01-09,0.2582
2017-01-10,0.2488
2017-01-11,0.2377
2017-01-12,0.2236
2017-01-13,0.2107
2017-01-17,0.1649
2017-01-18,0.0969
2017-01-19,0.0157
2017-01-20,-0.0702
