date,value
2016-09-29,61.7917
2016-09-30,59.9191
2016-10-03,60.2571
2016-10-04,55.6835
2016-10-05,56.643
2016-10-06,59.4498
2016-10-07,60.3416
2016-10-10,59.9632
2016-10-11,61.6539
2016-10-12,62.4115
2016-10-13,65.0592
2016-10-14,57.0467
2016-10-17,58.9827
2016-10-18,59.472
2016-10-19,54.5113
2016-10-20,53.84
2016-10-21,51.9112
2016-10-24,53.1944
2016-10-25,53.1377
2016-10-26,51.3222
2016-10-27,48.1945
2016-10-28,47.9972
2016-10-31,49.8313
2016-11-01,47.8627
2016-11-02,48.5881
2016-11-03,46.4001
2016-11-04,47.9183
2016-11-07,47.708
2016-11-08,47.0062
2016-11-09,50.1257
2016-11-10,52.7805
2016-11-11,55.8737
2016-11-14,54.2876
2016-11-15,54.5668
2016-11-16,52.6452
2016-11-17,53.7597
2016-11-18,53.2712
2016-11-21,53.1539
2016-11-22,53.8999
2016-11-23,53.8999
2016-11-25,53.9211
2016-11-28,52.2282
2016-11-29,52.383
2016-11-30,50.1565
2016-12-01,49.6978
2016-12-02,50.6419
2016-12-05,47.2229
2016-12-06,47.963
2016-12-07,46.9552
2016-12-08,48.9176
2016-12-09,51.1273
2016-12-12,53.4797
2016-12-13,53.6725
2016-12-14,53.5141
2016-12-15,53.2392
2016-12-16,53.0307
2016-12-19,53.2176
2016-12-20,53.4696
2016-12-21,52.7687
2016-12-22,53.2858
2016-12-23,53.9503
2016-12-27,53.1049
2016-12-28,53.6067
2016-12-29,53.3786
2016-12-30,53.78
2017-01-03,52.6998
2017-01-04,51.8896
2017-01-05,53.1528
2017-01-06,51.6678
2017-01-09,52.3357
2017-01-10,53.1781
2017-01-11,52.3866
2017-01-12,52.055
2017-01-13,52.4799
2017-01-17,47.4282
2017-01-18,46.9282
2017-01-19,46.5795
2017-01-20,46.4914
2017-01-23,45.2257
2017-01-24,46.1034
2017-01-25,46.515
2017-01-26,47.0309
2017-01-27,47.8269
2017-01-30,48.0069
2017-01-31,49.2326
2017-02-01,49.8608
2017-02-02,50.6091
2017-02-03,48.8724
2017-02-06,48.055
2017-02-07,47.389
2017-02-08,47.6534
2017-02-09,49.5422
2017-02-10,49.5422
2017-02-13,51.9414
2017-02-14,50.8727
2017-02-15,50.3442
2017-02-16,50.1669
2017-02-17,50.4214
2017-02-21,50.0303
2017-02-22,47.0513
2017-02-23,49.2607
2017-02-24,48.1638
2017-02-27,49.0695
2017-02-28,47.5392
2017-03-01,47.8963
2017-03-02,46.9642
2017-03-03,47.5372
2017-03-06,47.4421
2017-03-07,46.6799
2017-03-08,46.6321
2017-03-09,47.7509
2017-03-10,47.8054
2017-03-13,48.3003
2017-03-14,47.3584
2017-03-15,47.8353
2017-03-16,47.892
2017-03-17,47.471
2017-03-20,46.7889
2017-03-21,45.9596
2017-03-22,48.0727
2017-03-23,47.9664
2017-03-24,51.6494
2017-03-27,50.8067
2017-03-28,51.0434
2017-03-29,51.883
2017-03-30,52.9635
2017-03-31,52.1386
2017-04-03,51.5454
2017-04-04,50.8705
2017-04-05,50.3935
2017-04-06,49.5294
2017-04-07,49.6715
2017-04-10,49.3596
2017-04-11,49.3596
2017-04-12,48.5234
2017-04-13,48.2359
2017-04-17,50.1934
2017-04-18,47.0641
2017-04-19,45.043
2017-04-20,44.5487
2017-04-21,44.7035
2017-04-24,45.2647
2017-04-25,46.4359
2017-04-26,48.3928
2017-04-27,48.422
2017-04-28,46.8564
2017-05-01,47.8938
2017-05-02,47.7579
2017-05-03,47.2652
2017-05-04,47.1825
2017-05-05,45.9241
2017-05-08,45.8157
2017-05-09,46.3648
2017-05-10,47.7321
2017-05-11,47.8582
2017-05-12,47.4782
2017-05-15,47.3895
2017-05-16,47.2396
2017-05-17,49.1127
2017-05-18,53.4609
2017-05-19,54.7231
2017-05-22,53.067
2017-05-23,53.7674
2017-05-24,52.5667
2017-05-25,49.5554
2017-05-26,48.4392
2017-05-30,46.6353
2017-05-31,45.7286
2017-06-01,46.6112
2017-06-02,47.1376
2017-06-05,48.0378
2017-06-06,48.5569
2017-06-07,47.4026
2017-06-08,47.9604
2017-06-09,48.0196
2017-06-12,47.1439
2017-06-13,50.1309
2017-06-14,51.2766
2017-06-15,50.4876
2017-06-16,52.7403
2017-06-19,54.6715
2017-06-20,53.6674
2017-06-21,55.1561
2017-06-22,56.6907
2017-06-23,57.0932
2017-06-26,60.8098
2017-06-27,57.4259
2017-06-28,58.885
2017-06-29,57.7012
2017-06-30,56.6448
2017-07-03,57.3225
2017-07-05,57.9343
2017-07-06,57.2055
2017-07-07,56.9348
2017-07-10,56.8251
2017-07-11,57.2663
2017-07-12,57.3722
2017-07-13,58.6067
2017-07-14,59.1389
2017-07-17,58.6653
2017-07-18,59.2686
2017-07-19,59.2381
2017-07-20,59.7857
2017-07-21,60.2676
2017-07-24,61.4559
2017-07-25,62.3087
2017-07-26,58.2416
2017-07-27,55.517
2017-07-28,57.1653
2017-07-31,55.8554
2017-08-01,57.0243
2017-08-02,54.9408
2017-08-03,54.5593
2017-08-04,55.0476
2017-08-07,54.7605
2017-08-08,56.4465
2017-08-09,53.7143
2017-08-10,47.1807
2017-08-11,49.1579
2017-08-14,50.1506
2017-08-15,49.8667
2017-08-16,50.2566
2017-08-17,51.1943
2017-08-18,51.2554
2017-08-21,51.3797
2017-08-22,51.5897
2017-08-23,51.4763
2017-08-24,55.6183
2017-08-25,56.7414
2017-08-28,58.1532
2017-08-29,55.923
2017-08-30,55.994
2017-08-31,55.4697
2017-09-01,57.2288
2017-09-05,57.6599
2017-09-06,58.3114
2017-09-07,58.3459
2017-09-08,59.5392
2017-09-11,61.1923
2017-09-12,61.0177
2017-09-13,61.0501
2017-09-14,60.9467
2017-09-15,62.0292
2017-09-18,63.3333
2017-09-19,62.7504
2017-09-20,64.3339
2017-09-21,65.5412
2017-09-22,65.2728
