date,value
2016-09-28,15.0628
2016-09-29,15.1244
2016-09-30,15.1774
2016-10-03,15.2358
2016-10-04,15.2756
2016-10-05,15.3196
2016-10-06,15.3828
2016-10-07,15.4524
2016-10-10,15.5248
2016-10-11,15.6006
2016-10-12,15.6824
2016-10-13,15.7882
2016-10-14,15.8516
2016-10-17,15.9318
2016-10-18,16.0108
2016-10-19,16.0622
2016-10-20,16.1076
2016-10-21,16.143
2016-10-24,16.194
2016-10-25,16.2426
2016-10-26,16.284
2016-10-27,16.3014
2016-10-28,16.3154
2016-10-31,16.3472
2016-11-01,16.3524
2016-11-02,16.3658
2016-11-03,16.356
2016-11-04,16.3538
2016-11-07,16.3526
2016-11-08,16.3406
2016-11-09,16.3572
2016-11-10,16.3876
2016-11-11,16.4612
2016-11-14,16.5242
2016-11-15,16.5942
2016-11-16,16.6378
2016-11-17,16.6986
2016-11-18,16.7554
2016-11-21,16.8146
2016-11-22,16.8898
2016-11-23,16.9672
2016-11-25,17.0416
2016-11-28,17.102
2016-11-29,17.1476
2016-11-30,17.161
2016-12-01,17.1724
2016-12-02,17.1872
2016-12-05,17.1762
2016-12-06,17.1582
2016-12-07,17.137
2016-12-08,17.102
2016-12-09,17.0742
2016-12-12,17.078
2016-12-13,17.0816
2016-12-14,17.1048
2016-12-15,17.1196
2016-12-16,17.1138
2016-12-19,17.1034
2016-12-20,17.0972
2016-12-21,17.0728
2016-12-22,17.0474
2016-12-23,17.0064
2016-12-27,17.0012
2016-12-28,16.9846
2016-12-29,16.962
2016-12-30,16.9744
2017-01-03,16.983
2017-01-04,16.9988
2017-01-05,17.0154
2017-01-06,17.0206
2017-01-09,17.0446
2017-01-10,17.1002
2017-01-11,17.1512
2017-01-12,17.1856
2017-01-13,17.2396
2017-01-17,17.2456
2017-01-18,17.2656
2017-01-19,17.2706
2017-01-20,17.2766
2017-01-23,17.277
2017-01-24,17.2592
2017-01-25,17.2212
2017-01-26,17.157
2017-01-27,17.1122
2017-01-30,17.066
2017-01-31,17.0458
2017-02-01,17.0196
2017-02-02,17.0036
2017-02-03,16.9746
2017-02-06,16.9316
2017-02-07,16.883
2017-02-08,16.8362
2017-02-09,16.8178
2017-02-10,16.798
2017-02-13,16.8164
2017-02-14,16.8304
2017-02-15,16.832
2017-02-16,16.8632
2017-02-17,16.89
2017-02-21,16.9234
2017-02-22,16.9156
2017-02-23,16.9044
2017-02-24,16.8604
2017-02-27,16.8216
2017-02-28,16.7712
2017-03-01,16.726
2017-03-02,16.6746
2017-03-03,16.6258
2017-03-06,16.5738
2017-03-07,16.5212
2017-03-08,16.4634
2017-03-09,16.4076
2017-03-10,16.359
2017-03-13,16.3094
2017-03-14,16.2542
2017-03-15,16.1988
2017-03-16,16.1522
2017-03-17,16.1088
2017-03-20,16.0492
2017-03-21,15.995
2017-03-22,15.9494
2017-03-23,15.8956
2017-03-24,15.875
2017-03-27,15.8508
2017-03-28,15.8248
2017-03-29,15.8476
2017-03-30,15.8834
2017-03-31,15.9166
2017-04-03,15.9464
2017-04-04,15.983
2017-04-05,16.0094
2017-04-06,16.0264
2017-04-07,16.0404
2017-04-10,16.046
2017-04-11,16.0502
2017-04-12,16.039
2017-04-13,16.0208
2017-04-17,16.0096
2017-04-18,15.99
2017-04-19,15.9614
2017-04-20,15.9344
2017-04-21,15.9064
2017-04-24,15.8674
2017-04-25,15.836
2017-04-26,15.7984
2017-04-27,15.7694
2017-04-28,15.733
2017-05-01,15.705
2017-05-02,15.674
2017-05-03,15.6424
