date,value
2016-08-01,45.7349
2016-08-02,50.3869
2016-08-03,58.5275
2016-08-04,55.5601
2016-08-05,51.1527
2016-08-08,45.9034
2016-08-09,46.6402
2016-08-10,51.4592
2016-08-11,49.3484
2016-08-12,49.9412
2016-08-15,50.7656
2016-08-16,59.7742
2016-08-17,65.55
2016-08-18,68.6574
2016-08-19,62.7846
2016-08-22,60.8149
2016-08-23,59.1909
2016-08-24,69.4683
2016-08-25,74.8268
2016-08-26,79.9995
2016-08-29,78.2848
2016-08-30,75.4075
2016-08-31,69.9691
2016-09-01,57.2005
2016-09-02,41.5918
2016-09-06,25.1264
2016-09-07,16.6188
2016-09-08,14.2059
2016-09-09,17.4865
2016-09-12,18.7049
2016-09-13,19.8366
2016-09-14,19.1022
2016-09-15,22.5767
2016-09-16,27.8913
2016-09-19,40.9554
2016-09-20,58.2007
2016-09-21,78.1903
2016-09-22,87.8789
2016-09-23,86.2847
2016-09-26,78.3581
2016-09-27,72.0103
2016-09-28,70.5961
2016-09-29,70.153
2016-09-30,71.5932
2016-10-03,72.9057
2016-10-04,69.6493
2016-10-05,60.825
2016-10-06,50.1237
2016-10-07,47.5642
2016-10-10,53.5434
2016-10-11,63.951
2016-10-12,70.7956
2016-10-13,76.1181
2016-10-14,71.1947
2016-10-17,63.938
2016-10-18,50.0749
2016-10-19,43.3856
2016-10-20,36.1566
2016-10-21,28.1428
2016-10-24,20.0382
2016-10-25,16.1401
2016-10-26,18.287
2016-10-27,19.6663
2016-10-28,19.3748
2016-10-31,21.1656
2016-11-01,24.9461
2016-11-02,30.1651
2016-11-03,30.0532
2016-11-04,33.4937
2016-11-07,40.023
2016-11-08,52.5051
2016-11-09,63.473
2016-11-10,72.5787
2016-11-11,82.4558
2016-11-14,87.3617
2016-11-15,88.8011
2016-11-16,80.1914
2016-11-17,72.2508
2016-11-18,63.6693
2016-11-21,58.5446
2016-11-22,53.4878
2016-11-23,51.3172
2016-11-25,55.7553
2016-11-28,56.0708
2016-11-29,50.834
2016-11-30,34.5073
2016-12-01,25.7258
2016-12-02,23.1695
2016-12-05,25.7377
2016-12-06,24.597
2016-12-07,17.7654
2016-12-08,15.1587
2016-12-09,18.1104
2016-12-12,34.2286
2016-12-13,54.3486
2016-12-14,73.74
2016-12-15,83.3273
2016-12-16,80.8606
2016-12-19,70.1312
2016-12-20,57.2804
2016-12-21,49.2166
2016-12-22,46.6265
2016-12-23,47.8083
2016-12-27,50.4721
2016-12-28,53.4659
2016-12-29,55.5539
2016-12-30,59.9678
2017-01-03,61.4975
2017-01-04,57.7979
2017-01-05,49.5771
2017-01-06,42.2906
2017-01-09,43.8976
2017-01-10,49.5898
2017-01-11,60.3949
2017-01-12,67.834
2017-01-13,69.5361
2017-01-17,59.3066
2017-01-18,43.2357
2017-01-19,22.7375
2017-01-20,10.3177
2017-01-23,3.4831
2017-01-24,7.2106
2017-01-25,15.6105
2017-01-26,32.0183
2017-01-27,51.3273
2017-01-30,69.7764
2017-01-31,81.9374
2017-02-01,88.6269
2017-02-02,91.5254
2017-02-03,86.9431
2017-02-06,73.1297
2017-02-07,50.7158
2017-02-08,31.4473
2017-02-09,25.4125
2017-02-10,34.8789
2017-02-13,53.6095
2017-02-14,67.3591
2017-02-15,70.2568
2017-02-16,60.7632
2017-02-17,48.7814
2017-02-21,40.3849
2017-02-22,34.9468
2017-02-23,33.8218
2017-02-24,30.8179
2017-02-27,35.9367
2017-02-28,35.065
2017-03-01,36.0353
2017-03-02,26.5191
2017-03-03,23.1145
2017-03-06,20.5651
2017-03-07,22.3109
2017-03-08,19.9979
2017-03-09,18.4485
2017-03-10,23.291
2017-03-13,39.6527
2017-03-14,53.6892
2017-03-15,63.595
2017-03-16,61.6722
2017-03-17,60.5428
2017-03-20,53.2772
2017-03-21,42.5001
2017-03-22,35.5976
2017-03-23,39.0142
2017-03-24,55.3963
2017-03-27,66.2695
2017-03-28,70.5202
2017-03-29,67.7948
2017-03-30,69.4851
2017-03-31,71.951
2017-04-03,71.1436
2017-04-04,58.5121
2017-04-05,40.9864
2017-04-06,23.4772
2017-04-07,15.6849
2017-04-10,13.0922
2017-04-11,14.9191
2017-04-12,15.2148
2017-04-13,14.7605
2017-04-17,17.9752
2017-04-18,23.8212
2017-04-19,28.8087
2017-04-20,22.77
2017-04-21,13.7168
2017-04-24,8.9555
2017-04-25,17.2022
2017-04-26,32.9392
