date,value
2016-08-01,56.3606
2016-08-02,54.2452
2016-08-03,64.9768
2016-08-04,47.4582
2016-08-05,41.0232
2016-08-08,49.2289
2016-08-09,49.6684
2016-08-10,55.4802
2016-08-11,42.8967
2016-08-12,51.4467
2016-08-15,57.9534
2016-08-16,69.9224
2016-08-17,68.7741
2016-08-18,67.2755
2016-08-19,52.3042
2016-08-22,62.8651
2016-08-23,62.4035
2016-08-24,83.1364
2016-08-25,78.9406
2016-08-26,77.9214
2016-08-29,77.9923
2016-08-30,70.3087
2016-08-31,61.6062
2016-09-01,39.6865
2016-09-02,23.4828
2016-09-06,12.21
2016-09-07,14.1636
2016-09-08,16.2442
2016-09-09,22.0516
2016-09-12,17.8188
2016-09-13,19.6395
2016-09-14,19.8483
2016-09-15,28.2422
2016-09-16,35.5833
2016-09-19,59.0408
2016-09-20,79.978
2016-09-21,95.5521
2016-09-22,88.1066
2016-09-23,75.1952
2016-09-26,71.7724
2016-09-27,69.0634
2016-09-28,70.9525
2016-09-29,70.443
2016-09-30,73.3841
2016-10-03,74.89
2016-10-04,60.6739
2016-10-05,46.9109
2016-10-06,42.7864
2016-10-07,52.9953
2016-10-10,64.8485
2016-10-11,74.0093
2016-10-12,73.5291
2016-10-13,80.8158
2016-10-14,59.2393
2016-10-17,51.7588
2016-10-18,39.2266
2016-10-19,39.1714
2016-10-20,30.0717
2016-10-21,15.1853
2016-10-24,14.8576
2016-10-25,18.3775
2016-10-26,21.626
2016-10-27,18.9954
2016-10-28,17.5029
2016-10-31,26.9985
2016-11-01,30.3371
2016-11-02,33.1598
2016-11-03,26.6627
2016-11-04,40.6586
2016-11-07,52.7477
2016-11-08,64.1089
2016-11-09,73.5623
2016-11-10,80.065
2016-11-11,93.7402
2016-11-14,88.2799
2016-11-15,84.3833
2016-11-16,67.9112
2016-11-17,64.4579
2016-11-18,58.6388
2016-11-21,52.537
2016-11-22,49.2877
2016-11-23,52.127
2016-11-25,65.8513
2016-11-28,50.234
2016-11-29,36.4167
2016-11-30,16.8712
2016-12-01,23.8895
2016-12-02,28.7478
2016-12-05,24.5758
2016-12-06,20.4675
2016-12-07,8.2529
2016-12-08,16.7558
2016-12-09,29.3226
2016-12-12,56.6072
2016-12-13,77.1159
2016-12-14,87.4968
2016-12-15,85.3692
2016-12-16,69.7158
2016-12-19,55.3087
2016-12-20,46.8166
2016-12-21,45.5246
2016-12-22,47.5384
2016-12-23,50.362
2016-12-27,53.516
2016-12-28,56.5198
2016-12-29,56.6258
2016-12-30,66.7578
2017-01-03,61.1088
2017-01-04,45.5272
2017-01-05,42.0955
2017-01-06,39.2491
2017-01-09,50.3483
2017-01-10,59.1721
2017-01-11,71.6643
2017-01-12,72.6656
2017-01-13,64.2783
2017-01-17,40.9758
2017-01-18,24.4528
2017-01-19,2.7838
2017-01-20,3.7165
2017-01-23,3.9489
2017-01-24,13.9665
2017-01-25,28.9162
2017-01-26,53.1721
2017-01-27,71.8936
2017-01-30,84.2634
2017-01-31,89.6553
2017-02-01,91.9621
2017-02-02,92.9589
2017-02-03,75.9083
2017-02-06,50.5221
2017-02-07,25.717
2017-02-08,18.1028
2017-02-09,32.4176
2017-02-10,54.1162
2017-02-13,74.2948
2017-02-14,73.6662
2017-02-15,62.8094
2017-02-16,45.8139
2017-02-17,37.721
2017-02-21,37.6196
2017-02-22,29.4996
2017-02-23,34.3461
2017-02-24,28.6078
2017-02-27,44.856
2017-02-28,31.7313
2017-03-01,31.5186
2017-03-02,16.3076
2017-03-03,21.5172
2017-03-06,23.8706
2017-03-07,21.5447
2017-03-08,14.5782
2017-03-09,19.2226
2017-03-10,36.0721
2017-03-13,63.6633
2017-03-14,61.3323
2017-03-15,65.7895
2017-03-16,57.8947
2017-03-17,57.9442
2017-03-20,43.9926
2017-03-21,25.5636
2017-03-22,37.2367
2017-03-23,54.2424
2017-03-24,74.7098
2017-03-27,69.8562
2017-03-28,66.9947
2017-03-29,66.5335
2017-03-30,74.927
2017-03-31,74.3925
2017-04-03,64.1112
2017-04-04,37.0327
2017-04-05,21.8152
2017-04-06,11.5837
2017-04-07,13.6559
2017-04-10,14.0371
2017-04-11,17.0642
2017-04-12,14.543
2017-04-13,12.6743
2017-04-17,26.7082
2017-04-18,32.0811
2017-04-19,27.6367
2017-04-20,8.5921
2017-04-21,4.9215
2017-04-24,13.3529
2017-04-25,33.3322
2017-04-26,52.1327
2017-04-27,63.8374
2017-04-28,52.7792
2017-05-01,45.4066
2017-05-02,37.2363
2017-05-03,35.7549
2017-05-04,34.4658
2017-05-05,25.8333
2017-05-08,22.8028
2017-05-09,19.7752
2017-05-10,40.7203
2017-05-11,60.2723
2017-05-12,61.6068
2017-05-15,47.3944
2017-05-16,29.4309
2017-05-17,35.066
2017-05-18,55.0945
2017-05-19,75.1706
2017-05-22,79.7377
2017-05-23,74.4139
2017-05-24,64.5154
2017-05-25,44.7176
2017-05-26,20.8478
2017-05-30,5.1377
2017-05-31,3.1498
2017-06-01,9.6124
2017-06-02,22.7884
2017-06-05,36.9499
2017-06-06,46.3279
2017-06-07,42.6148
2017-06-08,40.6022
2017-06-09,34.3326
2017-06-12,35.2841
2017-06-13,52.7055
2017-06-14,72.5227
2017-06-15,83.7477
2017-06-16,85.9231
2017-06-19,82.0047
2017-06-20,79.7298
2017-06-21,75.4274
2017-06-22,74.9658
2017-06-23,78.4498
2017-06-26,79.4941
2017-06-27,72.3819
2017-06-28,70.688
2017-06-29,58.3082
2017-06-30,51.2286
2017-07-03,39.6854
2017-07-05,40.4668
2017-07-06,41.3458
2017-07-07,47.099
2017-07-10,46.1355
2017-07-11,55.4903
2017-07-12,60.2627
2017-07-13,71.3095
2017-07-14,73.7694
2017-07-17,67.802
2017-07-18,59.9589
2017-07-19,50.4865
2017-07-20,50.8874
2017-07-21,50.6963
2017-07-24,60.202
2017-07-25,68.3073
2017-07-26,57.4742
2017-07-27,35.5704
2017-07-28,21.5493
2017-07-31,18.6992
2017-08-01,30.4079
2017-08-02,25.2228
2017-08-03,23.8697
2017-08-04,18.9849
2017-08-07,23.9022
2017-08-08,46.2924
2017-08-09,42.467
2017-08-10,37.397
2017-08-11,21.9984
2017-08-14,30.8134
2017-08-15,39.3191
2017-08-16,48.3197
2017-08-17,56.4822
2017-08-18,61.4181
2017-08-21,58.7426
2017-08-22,54.7654
2017-08-23,51.3613
2017-08-24,66.1575
2017-08-25,80.1889
2017-08-28,93.284
2017-08-29,81.8827
2017-08-30,70.5657
2017-08-31,50.8084
2017-09-01,51.5625
2017-09-05,55.5569
2017-09-06,76.4586
2017-09-07,83.2532
2017-09-08,81.7673
2017-09-11,83.8691
2017-09-12,85.784
2017-09-13,88.7578
2017-09-14,80.8673
2017-09-15,78.7271
2017-09-18,76.3854
2017-09-19,67.9778
2017-09-20,61.365
2017-09-21,61.7226
2017-09-22,70.4595
2017-09-25,79.221
2017-09-26,87.624
2017-09-27,80.6416
2017-09-28,63.7663
2017-09-29,34.7105
2017-10-02,19.2559
2017-10-03,13.0947
2017-10-04,19.1887
2017-10-05,20.7555
2017-10-06,25.6717
2017-10-09,28.7971
2017-10-10,46.6853
2017-10-11,64.4843
2017-10-12,75.1784
2017-10-13,74.1498
2017-10-16,46.8798
2017-10-17,26.4115
2017-10-18,12.0314
2017-10-19,12.9238
2017-10-20,15.1262
2017-10-23,16.7978
2017-10-24,31.858
2017-10-25,43.3654
2017-10-26,49.7846
2017-10-27,51.0187
2017-10-30,53.7203
2017-10-31,67.4228
2017-11-01,60.6836
2017-11-02,41.2902
2017-11-03,19.0454
2017-11-06,15.1963
2017-11-07,18.1868
2017-11-08,19.1378
2017-11-09,17.413
2017-11-10,29.8106
2017-11-13,50.6473
2017-11-14,68.0982
2017-11-15,69.2476
2017-11-16,71.9333
2017-11-17,77.439
2017-11-20,88.5829
2017-11-21,85.675
2017-11-22,78.6446
2017-11-24,74.0718
2017-11-27,69.3566
2017-11-28,75.393
2017-11-29,63.2683
2017-11-30,65.5835
2017-12-01,49.7982
2017-12-04,40.4312
2017-12-05,16.0596
2017-12-06,13.3108
2017-12-07,39.7367
2017-12-08,64.8561
2017-12-11,73.1137
2017-12-12,53.7727
2017-12-13,46.244
2017-12-14,49.1394
2017-12-15,64.1595
2017-12-18,77.5381
2017-12-19,86.3389
2017-12-20,82.5511
2017-12-21,71.7337
2017-12-22,58.197
2017-12-26,58.5724
2017-12-27,59.0616
2017-12-28,66.5942
2017-12-29,59.0254
2018-01-02,67.6655
2018-01-03,74.3675
2018-01-04,91.3362
2018-01-05,79.3865
2018-01-08,50.8194
2018-01-09,27.0261
2018-01-10,16.6269
2018-01-11,29.762
2018-01-12,54.8557
2018-01-16,73.2239
2018-01-17,85.8678
2018-01-18,84.2069
2018-01-19,83.7672
2018-01-22,71.5035
2018-01-23,57.5507
2018-01-24,36.0327
2018-01-25,49.3809
2018-01-26,50.3781
2018-01-29,62.718
2018-01-30,48.6486
2018-01-31,36.9481
2018-02-01,26.5207
2018-02-02,11.8235
2018-02-05,7.0112
2018-02-06,16.3164
2018-02-07,35.8277
2018-02-08,37.725
2018-02-09,32.2231
2018-02-12,30.9027
2018-02-13,42.463
2018-02-14,55.4409
2018-02-15,68.2052
2018-02-16,77.7873
2018-02-20,61.3526
2018-02-21,49.3554
2018-02-22,43.8342
2018-02-23,48.675
2018-02-26,50.4595
2018-02-27,47.0017
2018-02-28,50.5289
2018-03-01,52.3338
2018-03-02,66.4014
2018-03-05,60.2892
2018-03-06,37.5871
2018-03-07,20.0281
2018-03-08,32.0046
2018-03-09,61.2622
2018-03-12,72.1773
2018-03-13,63.8373
2018-03-14,36.6122
2018-03-15,15.9608
2018-03-16,7.517
2018-03-19,6.4291
2018-03-20,20.2992
2018-03-21,39.1263
2018-03-22,48.9333
2018-03-23,41.0846
2018-03-26,34.3164
2018-03-27,27.9734
2018-03-28,34.4722
2018-03-29,46.4815
2018-04-02,51.9884
2018-04-03,51.4941
2018-04-04,50.0406
2018-04-05,59.3114
2018-04-06,61.8526
2018-04-09,63.8252
2018-04-10,75.8413
2018-04-11,89.5789
2018-04-12,92.0526
2018-04-13,89.4001
2018-04-16,92.0642
2018-04-17,89.9616
2018-04-18,81.9289
2018-04-19,69.4945
