date,value
2016-07-20,15.13
2016-07-21,15.16
2016-07-22,15.0
2016-07-25,14.88
2016-07-26,14.97
2016-07-27,14.95
2016-07-28,14.95
2016-07-29,14.72
2016-08-01,15.17
2016-08-02,15.16
2016-08-03,15.05
2016-08-04,15.04
2016-08-05,15.0
2016-08-08,15.27
2016-08-09,15.08
2016-08-10,15.15
2016-08-11,14.97
2016-08-12,14.7
2016-08-15,14.8
2016-08-16,14.51
2016-08-17,14.5
2016-08-18,14.59
2016-08-19,14.4
2016-08-22,14.93
2016-08-23,14.8
2016-08-24,15.03
2016-08-25,15.24
2016-08-26,15.1
2016-08-29,15.34
2016-08-30,15.16
2016-08-31,15.64
2016-09-01,14.99
2016-09-02,14.86
2016-09-06,14.65
2016-09-07,15.15
2016-09-08,14.84
2016-09-09,14.83
2016-09-12,14.66
2016-09-13,14.22
2016-09-14,14.11
2016-09-15,14.27
2016-09-16,14.28
2016-09-19,15.09
2016-09-20,15.76
2016-09-21,15.66
2016-09-22,15.9
2016-09-23,15.64
2016-09-26,16.31
2016-09-27,15.99
2016-09-28,17.54
2016-09-29,18.21
2016-09-30,17.81
2016-10-03,17.92
2016-10-04,16.87
2016-10-05,17.17
2016-10-06,18.11
2016-10-07,18.43
2016-10-10,18.34
2016-10-11,18.96
2016-10-12,19.25
2016-10-13,20.34
2016-10-14,18.21
2016-10-17,19.01
2016-10-18,19.22
2016-10-19,17.65
2016-10-20,17.42
2016-10-21,16.74
2016-10-24,17.25
2016-10-25,17.23
2016-10-26,16.58
2016-10-27,15.37
2016-10-28,15.29
2016-10-31,15.99
2016-11-01,15.19
2016-11-02,15.47
2016-11-03,14.54
2016-11-04,15.13
2016-11-07,15.04
2016-11-08,14.74
2016-11-09,15.99
2016-11-10,17.16
2016-11-11,18.67
2016-11-14,18.01
2016-11-15,18.15
2016-11-16,17.33
2016-11-17,17.88
2016-11-18,17.67
2016-11-21,17.62
2016-11-22,17.98
2016-11-23,17.98
2016-11-25,17.99
2016-11-28,17.3
2016-11-29,17.37
2016-11-30,16.43
2016-12-01,16.23
2016-12-02,16.64
2016-12-05,15.09
2016-12-06,15.41
2016-12-07,14.93
2016-12-08,15.79
2016-12-09,16.82
2016-12-12,18.0
2016-12-13,18.1
2016-12-14,18.03
2016-12-15,17.91
2016-12-16,17.82
2016-12-19,17.91
2016-12-20,18.03
2016-12-21,17.74
2016-12-22,17.98
2016-12-23,18.29
2016-12-27,17.95
2016-12-28,18.18
2016-12-29,18.09
2016-12-30,18.27
2017-01-03,17.85
2017-01-04,17.53
2017-01-05,18.08
2017-01-06,17.49
2017-01-09,17.78
2017-01-10,18.15
2017-01-11,17.84
2017-01-12,17.71
2017-01-13,17.89
2017-01-17,15.77
2017-01-18,15.54
2017-01-19,15.38
2017-01-20,15.34
2017-01-23,14.76
2017-01-24,15.1
2017-01-25,15.26
2017-01-26,15.46
2017-01-27,15.77
2017-01-30,15.84
2017-01-31,16.32
2017-02-01,16.57
2017-02-02,16.87
2017-02-03,16.17
2017-02-06,15.83
2017-02-07,15.55
2017-02-08,15.65
2017-02-09,16.38
2017-02-10,16.38
2017-02-13,17.35
2017-02-14,16.93
2017-02-15,16.72
2017-02-16,16.65
2017-02-17,16.75
2017-02-21,16.6
2017-02-22,15.4
2017-02-23,16.26
2017-02-24,15.8
2017-02-27,16.16
2017-02-28,15.51
2017-03-01,15.65
2017-03-02,15.25
2017-03-03,15.47
2017-03-06,15.43
2017-03-07,15.11
2017-03-08,15.09
2017-03-09,15.5
2017-03-10,15.52
2017-03-13,15.7
2017-03-14,15.33
2017-03-15,15.5
2017-03-16,15.52
2017-03-17,15.36
2017-03-20,15.1
2017-03-21,14.78
2017-03-22,15.5
2017-03-23,15.46
2017-03-24,16.81
2017-03-27,16.5
2017-03-28,16.59
2017-03-29,16.91
2017-03-30,17.33
2017-03-31,17.04
2017-04-03,16.83
2017-04-04,16.59
2017-04-05,16.42
2017-04-06,16.11
2017-04-07,16.16
2017-04-10,16.05
2017-04-11,16.05
2017-04-12,15.76
2017-04-13,15.66
2017-04-17,16.31
2017-04-18,15.19
2017-04-19,14.4
2017-04-20,14.2
2017-04-21,14.25
2017-04-24,14.43
2017-04-25,14.81
2017-04-26,15.47
2017-04-27,15.48
2017-04-28,14.9
2017-05-01,15.25
2017-05-02,15.2
2017-05-03,15.02
2017-05-04,14.99
2017-05-05,14.53
2017-05-08,14.49
2017-05-09,14.66
2017-05-10,15.09
2017-05-11,15.13
2017-05-12,15.0
2017-05-15,14.97
2017-05-16,14.92
2017-05-17,15.49
2017-05-18,16.96
2017-05-19,17.43
2017-05-22,16.9
2017-05-23,17.16
2017-05-24,16.77
2017-05-25,15.73
2017-05-26,15.32
2017-05-30,14.63
2017-05-31,14.27
2017-06-01,14.57
2017-06-02,14.75
2017-06-05,15.06
2017-06-06,15.24
2017-06-07,14.81
2017-06-08,15.0
2017-06-09,15.02
2017-06-12,14.7
2017-06-13,15.73
2017-06-14,16.15
2017-06-15,15.87
2017-06-16,16.72
2017-06-19,17.5
2017-06-20,17.15
2017-06-21,17.77
2017-06-22,18.44
2017-06-23,18.62
2017-06-26,20.42
2017-06-27,19.22
2017-06-28,19.97
2017-06-29,19.53
2017-06-30,19.13
2017-07-03,19.47
2017-07-05,19.78
2017-07-06,19.51
2017-07-07,19.41
2017-07-10,19.37
2017-07-11,19.58
2017-07-12,19.63
2017-07-13,20.22
2017-07-14,20.48
2017-07-17,20.32
2017-07-18,20.61
2017-07-19,20.6
2017-07-20,20.86
2017-07-21,21.09
2017-07-24,21.67
2017-07-25,22.1
2017-07-26,20.77
2017-07-27,19.79
2017-07-28,20.58
2017-07-31,20.09
2017-08-01,20.66
2017-08-02,19.86
2017-08-03,19.71
2017-08-04,19.94
2017-08-07,19.83
2017-08-08,20.63
2017-08-09,19.56
2017-08-10,16.56
2017-08-11,17.5
2017-08-14,17.99
2017-08-15,17.85
2017-08-16,18.04
2017-08-17,18.5
2017-08-18,18.53
2017-08-21,18.59
2017-08-22,18.69
2017-08-23,18.64
2017-08-24,20.72
2017-08-25,21.34
2017-08-28,22.15
2017-08-29,21.18
2017-08-30,21.22
2017-08-31,20.99
2017-09-01,21.98
2017-09-05,22.23
2017-09-06,22.61
2017-09-07,22.63
2017-09-08,23.33
2017-09-11,24.35
2017-09-12,24.28
2017-09-13,24.3
2017-09-14,24.26
2017-09-15,24.92
2017-09-18,25.75
2017-09-19,25.53
2017-09-20,26.57
2017-09-21,27.41
2017-09-22,27.31
2017-09-25,28.82
2017-09-26,29.47
2017-09-27,29.97
2017-09-28,29.69
2017-09-29,28.01
2017-10-02,27.86
2017-10-03,27.35
2017-10-04,27.36
2017-10-05,25.89
2017-10-06,26.01
2017-10-09,26.15
2017-10-10,26.69
2017-10-11,27.67
2017-10-12,28.03
2017-10-13,28.07
2017-10-16,24.995
2017-10-17,25.1
2017-10-18,25.41
2017-10-19,25.05
2017-10-20,24.98
2017-10-23,25.15
2017-10-24,25.9
2017-10-25,25.8
2017-10-26,25.39
2017-10-27,25.71
2017-10-30,25.78
2017-10-31,26.59
2017-11-01,25.75
2017-11-02,24.69
2017-11-03,25.02
2017-11-06,25.32
2017-11-07,24.84
2017-11-08,24.87
2017-11-09,24.8
2017-11-10,25.29
2017-11-13,25.83
2017-11-14,25.74
2017-11-15,25.89
2017-11-16,27.39
2017-11-17,27.57
2017-11-20,27.46
2017-11-21,28.3
2017-11-22,28.13
2017-11-24,28.25
2017-11-27,28.37
2017-11-28,29.04
2017-11-29,28.27
2017-11-30,28.86
2017-12-01,28.38
2017-12-04,27.67
2017-12-05,27.38
2017-12-06,27.43
2017-12-07,28.89
