date,value
2016-07-20,19.0
2016-07-21,15.08
2016-07-22,15.0
2016-07-25,15.0
2016-07-26,14.83
2016-07-27,14.96
2016-07-28,14.9251
2016-07-29,14.83
2016-08-01,14.73
2016-08-02,15.25
2016-08-03,15.08
2016-08-04,15.25
2016-08-05,14.905
2016-08-08,15.0
2016-08-09,15.4
2016-08-10,15.04
2016-08-11,15.01
2016-08-12,14.86
2016-08-15,14.7
2016-08-16,14.95
2016-08-17,14.5
2016-08-18,14.38
2016-08-19,14.7
2016-08-22,14.4
2016-08-23,14.85
2016-08-24,15.09
2016-08-25,15.05
2016-08-26,15.24
2016-08-29,15.215
2016-08-30,15.34
2016-08-31,15.5
2016-09-01,15.46
2016-09-02,15.02
2016-09-06,14.74
2016-09-07,14.53
2016-09-08,15.16
2016-09-09,14.73
2016-09-12,14.64
2016-09-13,14.6
2016-09-14,14.14
2016-09-15,14.14
2016-09-16,14.5
2016-09-19,14.17
2016-09-20,15.02
2016-09-21,15.78
2016-09-22,15.48
2016-09-23,15.77
2016-09-26,15.81
2016-09-27,16.2
2016-09-28,15.6025
2016-09-29,17.38
2016-09-30,18.06
2016-10-03,17.96
2016-10-04,17.77
2016-10-05,17.2
2016-10-06,17.03
2016-10-07,18.26
2016-10-10,18.58
2016-10-11,17.71
2016-10-12,19.32
2016-10-13,19.16
2016-10-14,20.25
2016-10-17,18.24
2016-10-18,19.1
2016-10-19,19.21
2016-10-20,17.8
2016-10-21,17.29
2016-10-24,16.9
2016-10-25,16.42
2016-10-26,17.36
2016-10-27,17.27
2016-10-28,15.25
2016-10-31,15.36
2016-11-01,15.88
2016-11-02,15.4
2016-11-03,15.28
2016-11-04,14.61
2016-11-07,15.44
2016-11-08,15.3
2016-11-09,14.75
2016-11-10,15.95
2016-11-11,17.26
2016-11-14,18.86
2016-11-15,18.1376
2016-11-16,18.21
2016-11-17,17.47
2016-11-18,17.96
2016-11-21,17.5185
2016-11-22,17.49
2016-11-23,17.82
2016-11-25,17.24
2016-11-28,18.105
2016-11-29,17.61
2016-11-30,17.6
2016-12-01,15.8
2016-12-02,16.2
2016-12-05,16.54
2016-12-06,15.15
2016-12-07,15.36
2016-12-08,15.05
2016-12-09,15.92
2016-12-12,17.32
2016-12-13,18.0
2016-12-14,17.94
2016-12-15,18.03
2016-12-16,18.08
2016-12-19,17.55
2016-12-20,17.66
2016-12-21,16.8856
2016-12-22,17.96
2016-12-23,17.96
2016-12-27,18.35
2016-12-28,17.97
2016-12-29,18.15
2016-12-30,18.25
2017-01-03,18.615
2017-01-04,17.85
2017-01-05,17.24
2017-01-06,18.0
2017-01-09,17.8738
2017-01-10,17.39
2017-01-11,18.17
2017-01-12,17.95
2017-01-13,17.61
2017-01-17,17.89
2017-01-18,15.8
2017-01-19,15.67
2017-01-20,15.27
2017-01-23,15.4862
2017-01-24,14.71
2017-01-25,15.1
2017-01-26,15.38
2017-01-27,15.2564
2017-01-30,15.71
2017-01-31,15.7
2017-02-01,16.42
2017-02-02,16.48
2017-02-03,16.98
2017-02-06,16.32
2017-02-07,15.67
2017-02-08,15.6
2017-02-09,15.73
2017-02-10,16.48
2017-02-13,16.235
2017-02-14,17.08
2017-02-15,16.76
2017-02-16,16.85
2017-02-17,16.88
2017-02-21,16.63
2017-02-22,16.47
2017-02-23,15.59
2017-02-24,15.77
2017-02-27,15.51
2017-02-28,15.75
2017-03-01,15.37
2017-03-02,15.67
2017-03-03,15.26
2017-03-06,15.48
2017-03-07,15.22
2017-03-08,15.26
2017-03-09,15.13
2017-03-10,15.53
2017-03-13,15.45
2017-03-14,15.62
2017-03-15,15.19
2017-03-16,15.57
2017-03-17,15.43
2017-03-20,15.41
2017-03-21,15.39
2017-03-22,14.71
2017-03-23,15.33
2017-03-24,15.5
2017-03-27,16.55
2017-03-28,16.48
2017-03-29,16.69
2017-03-30,16.97
2017-03-31,17.17
2017-04-03,17.3
2017-04-04,16.91
2017-04-05,16.81
2017-04-06,16.32
2017-04-07,16.12
2017-04-10,16.11
2017-04-11,15.97
2017-04-12,15.93
2017-04-13,15.55
2017-04-17,15.69
2017-04-18,14.96
2017-04-19,15.05
2017-04-20,14.5
2017-04-21,14.22
2017-04-24,14.32
2017-04-25,14.5
2017-04-26,14.79
2017-04-27,15.65
2017-04-28,15.35
2017-05-01,15.16
2017-05-02,15.31
2017-05-03,15.11
2017-05-04,15.05
2017-05-05,15.0
2017-05-08,14.48
2017-05-09,14.49
2017-05-10,14.65
2017-05-11,14.91
2017-05-12,16.38
2017-05-15,15.05
2017-05-16,15.0
2017-05-17,14.73
2017-05-18,15.39
2017-05-19,16.92
2017-05-22,17.48
2017-05-23,16.87
2017-05-24,16.836
2017-05-25,16.82
2017-05-26,15.68
2017-05-30,15.25
2017-05-31,14.6
2017-06-01,14.36
2017-06-02,14.59
2017-06-05,14.67
2017-06-06,15.0
2017-06-07,15.32
2017-06-08,14.83
2017-06-09,14.89
2017-06-12,15.17
2017-06-13,14.73
2017-06-14,15.65
2017-06-15,15.83
2017-06-16,15.69
2017-06-19,16.74
2017-06-20,17.45
2017-06-21,17.14
2017-06-22,17.76
2017-06-23,18.57
2017-06-26,18.67
2017-06-27,20.06
2017-06-28,19.25
2017-06-29,20.12
2017-06-30,19.52
2017-07-03,19.15
2017-07-05,19.49
2017-07-06,19.63
2017-07-07,19.45
2017-07-10,19.28
2017-07-11,19.14
2017-07-12,19.79
2017-07-13,19.57
2017-07-14,20.39
2017-07-17,20.48
2017-07-18,20.22
2017-07-19,20.71
2017-07-20,20.63
2017-07-21,21.14
2017-07-24,21.24
2017-07-25,21.99
2017-07-26,21.94
2017-07-27,20.76
2017-07-28,19.61
2017-07-31,20.43
2017-08-01,20.48
2017-08-02,20.0
2017-08-03,19.84
2017-08-04,19.85
2017-08-07,19.76
2017-08-08,19.76
2017-08-09,20.43
2017-08-10,19.26
2017-08-11,16.46
2017-08-14,17.67
2017-08-15,18.0
2017-08-16,17.89
2017-08-17,18.1
2017-08-18,18.16
2017-08-21,18.5
2017-08-22,18.6
2017-08-23,18.58
2017-08-24,18.75
2017-08-25,20.83
2017-08-28,21.47
2017-08-29,22.1
2017-08-30,21.2
2017-08-31,21.52
2017-09-01,21.1
2017-09-05,22.0
2017-09-06,22.69
2017-09-07,22.95
2017-09-08,22.77
2017-09-11,23.3
2017-09-12,24.11
2017-09-13,24.16
2017-09-14,24.49
2017-09-15,24.38
2017-09-18,25.19
2017-09-19,26.45
2017-09-20,25.28
2017-09-21,26.6
2017-09-22,27.97
2017-09-25,28.15
2017-09-26,29.2
2017-09-27,29.7
2017-09-28,29.85
2017-09-29,29.43
2017-10-02,28.0
2017-10-03,28.01
2017-10-04,27.52
2017-10-05,27.65
2017-10-06,25.83
2017-10-09,26.34
2017-10-10,26.0
2017-10-11,26.53
2017-10-12,27.7
2017-10-13,28.0
2017-10-16,26.13
2017-10-17,25.89
2017-10-18,25.08
2017-10-19,25.39
2017-10-20,25.36
2017-10-23,25.0
2017-10-24,25.08
2017-10-25,26.09
2017-10-26,25.8
2017-10-27,25.29
2017-10-30,25.63
2017-10-31,25.96
2017-11-01,26.84
2017-11-02,25.78
2017-11-03,24.76
2017-11-06,25.23
2017-11-07,25.2
2017-11-08,24.74
2017-11-09,24.97
2017-11-10,24.75
2017-11-13,25.07
2017-11-14,25.77
2017-11-15,25.8
2017-11-16,25.99
2017-11-17,27.3
2017-11-20,27.41
2017-11-21,27.78
2017-11-22,28.17
2017-11-24,28.25
2017-11-27,28.25
2017-11-28,28.41
2017-11-29,28.71
2017-11-30,28.56
2017-12-01,28.76
2017-12-04,28.72
2017-12-05,28.2
2017-12-06,27.38
2017-12-07,27.32
2017-12-08,29.04
2017-12-11,29.24
2017-12-12,28.69
2017-12-13,28.0
2017-12-14,28.46
2017-12-15,28.86
2017-12-18,29.5
2017-12-19,30.5
2017-12-20,32.25
2017-12-21,31.01
2017-12-22,30.86
2017-12-26,31.0
2017-12-27,31.8
2017-12-28,31.92
2017-12-29,32.01
2018-01-02,31.5
2018-01-03,34.0
2018-01-04,35.7
2018-01-05,41.0
2018-01-08,36.64
2018-01-09,32.31
2018-01-10,33.59
2018-01-11,32.89
2018-01-12,36.1
2018-01-16,37.5
2018-01-17,37.08
2018-01-18,37.75
2018-01-19,37.93
2018-01-22,37.82
2018-01-23,37.15
2018-01-24,37.1
2018-01-25,36.38
2018-01-26,40.0
2018-01-29,38.36
2018-01-30,37.45
2018-01-31,37.35
2018-02-01,35.32
2018-02-02,34.88
2018-02-05,34.01
2018-02-06,31.91
2018-02-07,33.97
2018-02-08,34.24
2018-02-09,31.84
2018-02-12,31.52
2018-02-13,32.4
2018-02-14,31.58
2018-02-15,32.82
2018-02-16,34.11
2018-02-20,33.12
2018-02-21,31.84
2018-02-22,32.98
2018-02-23,34.28
2018-02-26,33.29
2018-02-27,34.3
2018-02-28,33.63
2018-03-01,33.52
2018-03-02,33.59
2018-03-05,36.0
2018-03-06,33.61
2018-03-07,32.49
2018-03-08,33.52
2018-03-09,34.01
2018-03-12,36.13
2018-03-13,35.16
2018-03-14,33.28
2018-03-15,32.37
2018-03-16,29.25
2018-03-19,29.18
2018-03-20,28.95
2018-03-21,30.72
2018-03-22,30.67
2018-03-23,29.73
2018-03-26,29.86
2018-03-27,30.0
2018-03-28,28.53
2018-03-29,29.17
2018-04-02,30.03
2018-04-03,28.91
2018-04-04,27.42
2018-04-05,30.0
2018-04-06,28.59
2018-04-09,29.55
2018-04-10,32.7
2018-04-11,34.48
2018-04-12,37.0
2018-04-13,37.91
2018-04-16,38.46
2018-04-17,40.0
2018-04-18,39.69
2018-04-19,39.26
2018-04-20,38.74
2018-04-23,38.49
2018-04-24,37.89
2018-04-25,37.26
