date,value
2016-07-20,2737472.0
2016-07-21,410720.0
2016-07-22,324168.0
2016-07-25,138303.0
2016-07-26,76979.0
2016-07-27,41988.0
2016-07-28,41163.0
2016-07-29,46501.0
2016-08-01,39205.0
2016-08-02,48184.0
2016-08-03,31245.0
2016-08-04,12392.0
2016-08-05,16582.0
2016-08-08,31025.0
2016-08-09,7827.0
2016-08-10,17679.0
2016-08-11,27667.0
2016-08-12,45733.0
2016-08-15,53337.0
2016-08-16,20759.0
2016-08-17,14261.0
2016-08-18,21461.0
2016-08-19,11470.0
2016-08-22,27553.0
2016-08-23,25826.0
2016-08-24,40043.0
2016-08-25,21647.0
2016-08-26,144798.0
2016-08-29,16073.0
2016-08-30,23235.0
2016-08-31,169508.0
2016-09-01,55227.0
2016-09-02,59261.0
2016-09-06,16779.0
2016-09-07,38652.0
2016-09-08,35432.0
2016-09-09,22799.0
2016-09-12,16860.0
2016-09-13,28310.0
2016-09-14,42659.0
2016-09-15,38884.0
2016-09-16,305543.0
2016-09-19,74866.0
2016-09-20,72630.0
2016-09-21,38819.0
2016-09-22,74176.0
2016-09-23,68287.0
2016-09-26,54116.0
2016-09-27,47654.0
2016-09-28,173496.0
2016-09-29,82202.0
2016-09-30,484700.0
2016-10-03,82950.0
2016-10-04,66269.0
2016-10-05,31330.0
2016-10-06,265502.0
2016-10-07,61219.0
2016-10-10,33913.0
2016-10-11,44024.0
2016-10-12,40055.0
2016-10-13,72997.0
2016-10-14,176314.0
2016-10-17,69232.0
2016-10-18,60860.0
2016-10-19,181715.0
2016-10-20,47347.0
2016-10-21,43318.0
2016-10-24,18052.0
2016-10-25,29621.0
2016-10-26,36630.0
2016-10-27,102211.0
2016-10-28,23907.0
2016-10-31,76985.0
2016-11-01,35249.0
2016-11-02,16337.0
2016-11-03,48472.0
2016-11-04,16759.0
2016-11-07,19936.0
2016-11-08,35220.0
2016-11-09,13589.0
2016-11-10,42178.0
2016-11-11,56145.0
2016-11-14,25687.0
2016-11-15,14205.0
2016-11-16,13223.0
2016-11-17,33729.0
2016-11-18,85461.0
2016-11-21,23527.0
2016-11-22,20705.0
2016-11-23,41170.0
2016-11-25,10869.0
2016-11-28,43134.0
2016-11-29,32621.0
2016-11-30,39398.0
2016-12-01,59959.0
2016-12-02,65113.0
2016-12-05,69970.0
2016-12-06,39392.0
2016-12-07,41884.0
2016-12-08,33028.0
2016-12-09,38475.0
2016-12-12,137701.0
2016-12-13,73248.0
2016-12-14,58204.0
2016-12-15,75965.0
2016-12-16,707391.0
2016-12-19,56583.0
2016-12-20,82170.0
2016-12-21,123814.0
2016-12-22,92057.0
2016-12-23,146110.0
2016-12-27,113481.0
2016-12-28,53375.0
2016-12-29,51254.0
2016-12-30,63959.0
2017-01-03,36297.0
2017-01-04,38897.0
2017-01-05,87862.0
2017-01-06,19010.0
2017-01-09,18307.0
2017-01-10,20542.0
2017-01-11,59209.0
2017-01-12,26878.0
2017-01-13,33622.0
2017-01-17,50394.0
2017-01-18,46409.0
2017-01-19,92150.0
2017-01-20,14581.0
2017-01-23,27305.0
2017-01-24,15933.0
2017-01-25,32798.0
2017-01-26,23519.0
2017-01-27,26763.0
2017-01-30,19771.0
2017-01-31,37540.0
2017-02-01,36992.0
2017-02-02,23143.0
2017-02-03,22122.0
2017-02-06,16040.0
2017-02-07,10144.0
2017-02-08,36300.0
2017-02-09,24294.0
2017-02-10,10290.0
2017-02-13,22757.0
2017-02-14,24885.0
2017-02-15,34691.0
2017-02-16,31073.0
2017-02-17,38799.0
2017-02-21,63680.0
2017-02-22,35918.0
2017-02-23,49662.0
2017-02-24,26875.0
2017-02-27,38108.0
2017-02-28,24569.0
2017-03-01,63499.0
2017-03-02,63541.0
2017-03-03,29382.0
2017-03-06,25522.0
