date,value
2006-04-06,48.0014
2006-04-07,48.2621
2006-04-10,48.4766
2006-04-11,48.7167
2006-04-12,48.9258
2006-04-13,49.0864
2006-04-17,49.2818
2006-04-18,49.4637
2006-04-19,49.6416
2006-04-20,49.7796
2006-04-21,49.9216
2006-04-24,50.0544
2006-04-25,50.1366
2006-04-26,50.1744
2006-04-27,50.1982
2006-04-28,50.2763
2006-05-01,50.3301
2006-05-02,50.496
2006-05-03,50.673
2006-05-04,50.8666
2006-05-05,51.1032
2006-05-08,51.4235
2006-05-09,52.0363
2006-05-10,52.5388
2006-05-11,52.9961
2006-05-12,53.399
2006-05-15,53.7422
2006-05-16,54.1405
2006-05-17,54.5334
2006-05-18,54.8533
2006-05-19,55.1269
2006-05-22,55.3502
2006-05-23,55.5623
2006-05-24,55.7422
2006-05-25,55.9582
2006-05-26,56.1516
2006-05-30,56.2276
2006-05-31,56.2881
2006-06-01,56.4337
2006-06-02,56.5959
2006-06-05,56.6863
2006-06-06,56.744
2006-06-07,56.8172
2006-06-08,56.8358
2006-06-09,56.8222
2006-06-12,56.8331
2006-06-13,56.8063
2006-06-14,56.859
2006-06-15,57.0559
2006-06-16,57.2404
2006-06-19,57.387
2006-06-20,57.5158
2006-06-21,57.7308
2006-06-22,57.9316
2006-06-23,58.0872
2006-06-26,58.2701
2006-06-27,58.4085
2006-06-28,58.4689
2006-06-29,58.5623
2006-06-30,58.656
2006-07-03,58.724
2006-07-05,58.7485
2006-07-06,58.7607
2006-07-07,58.6525
2006-07-10,58.4539
2006-07-11,58.3255
2006-07-12,58.1677
2006-07-13,58.0438
2006-07-14,57.8896
2006-07-17,57.7959
2006-07-18,57.6431
2006-07-19,57.4987
2006-07-20,57.2489
2006-07-21,56.9399
2006-07-24,56.6913
2006-07-25,56.5367
2006-07-26,56.3726
2006-07-27,56.1596
2006-07-28,55.9231
2006-07-31,55.7889
2006-08-01,55.6403
2006-08-02,55.5073
2006-08-03,55.4514
2006-08-04,55.4297
2006-08-07,55.3894
2006-08-08,55.3113
2006-08-09,55.114
2006-08-10,54.8613
2006-08-11,54.6428
2006-08-14,54.4561
2006-08-15,54.3064
2006-08-16,54.2748
2006-08-17,54.2279
2006-08-18,54.1331
2006-08-21,54.0142
2006-08-22,53.8795
2006-08-23,53.7336
2006-08-24,53.5547
2006-08-25,53.3721
2006-08-28,53.1968
2006-08-29,53.0635
2006-08-30,52.9536
2006-08-31,52.8119
2006-09-01,52.7287
2006-09-05,52.6417
2006-09-06,52.5416
2006-09-07,52.4361
2006-09-08,52.259
2006-09-11,52.1351
2006-09-12,52.109
2006-09-13,52.1075
2006-09-14,52.0574
2006-09-15,52.0237
2006-09-18,51.9769
2006-09-19,51.9123
2006-09-20,51.8781
2006-09-21,51.9304
2006-09-22,51.9378
2006-09-25,51.9857
