date,value
2006-03-15,0.5525
2006-03-16,1.258
2006-03-17,1.7016
2006-03-20,1.729
2006-03-21,1.8831
2006-03-22,2.2057
2006-03-23,2.36
2006-03-24,2.5042
2006-03-27,2.5551
2006-03-28,2.4949
2006-03-29,2.4776
2006-03-30,2.5538
2006-03-31,2.5828
2006-04-03,2.703
2006-04-04,2.7679
2006-04-05,2.7992
2006-04-06,2.6602
2006-04-07,2.4531
2006-04-10,2.1896
2006-04-11,2.0275
2006-04-12,1.8336
2006-04-13,1.5786
2006-04-17,1.4446
2006-04-18,1.3112
2006-04-19,1.1981
2006-04-20,1.0288
2006-04-21,0.9036
2006-04-24,0.788
2006-04-25,0.596
2006-04-26,0.3549
2006-04-27,0.1365
2006-04-28,0.0763
2006-05-01,-0.0148
2006-05-02,0.1461
2006-05-03,0.3065
2006-05-04,0.4764
2006-05-05,0.7071
2006-05-08,1.0688
2006-05-09,1.9606
2006-05-10,2.4615
2006-05-11,2.774
2006-05-12,2.9131
2006-05-15,2.8995
2006-05-16,2.9954
2006-05-17,3.0572
2006-05-18,2.9534
2006-05-19,2.7699
2006-05-22,2.514
2006-05-23,2.28
2006-05-24,2.0221
2006-05-25,1.8847
2006-05-26,1.7269
2006-05-30,1.3602
2006-05-31,1.0319
2006-06-01,0.9408
2006-06-02,0.9041
2006-06-05,0.7319
2006-06-06,0.5296
2006-06-07,0.401
2006-06-08,0.1903
2006-06-09,-0.0407
2006-06-12,-0.1726
2006-06-13,-0.3497
2006-06-14,-0.325
2006-06-15,-0.0044
2006-06-16,0.2373
2006-06-19,0.3618
2006-06-20,0.4304
2006-06-21,0.6651
2006-06-22,0.8295
2006-06-23,0.8731
2006-06-26,0.965
2006-06-27,0.9503
2006-06-28,0.7804
2006-06-29,0.7101
2006-06-30,0.655
2006-07-03,0.5596
2006-07-05,0.3956
2006-07-06,0.2394
2006-07-07,-0.1298
2006-07-10,-0.6098
2006-07-11,-0.8521
2006-07-12,-1.1024
2006-07-13,-1.2293
2006-07-14,-1.3865
2006-07-17,-1.383
2006-07-18,-1.4922
2006-07-19,-1.5559
2006-07-20,-1.8138
2006-07-21,-2.1356
2006-07-24,-2.2653
2006-07-25,-2.1696
2006-07-26,-2.1018
2006-07-27,-2.1371
2006-07-28,-2.2051
2006-07-31,-2.0442
2006-08-01,-1.9347
2006-08-02,-1.807
2006-08-03,-1.5403
2006-08-04,-1.2484
2006-08-07,-1.0454
2006-08-08,-0.9541
2006-08-09,-1.1207
2006-08-10,-1.3668
2006-08-11,-1.4947
2006-08-14,-1.5307
2006-08-15,-1.4809
2006-08-16,-1.1968
2006-08-17,-0.9941
2006-08-18,-0.9253
2006-08-21,-0.9175
2006-08-22,-0.9424
2006-08-23,-0.9846
2006-08-24,-1.0855
2006-08-25,-1.1737
2006-08-28,-1.2294
2006-08-29,-1.1873
2006-08-30,-1.104
2006-08-31,-1.0996
2006-09-01,-0.9759
2006-09-05,-0.8823
2006-09-06,-0.8323
2006-09-07,-0.8029
2006-09-08,-0.9246
2006-09-11,-0.9153
2006-09-12,-0.7085
2006-09-13,-0.4906
2006-09-14,-0.4132
2006-09-15,-0.3183
2006-09-18,-0.2698
2006-09-19,-0.2687
2006-09-20,-0.2081
2006-09-21,0.0149
2006-09-22,0.1024
2006-09-25,0.2528
2006-09-26,0.3056
2006-09-27,0.1376
2006-09-28,-0.0116
2006-09-29,-0.1227
2006-10-02,-0.2618
2006-10-03,-0.3279
2006-10-04,-0.2571
2006-10-05,-0.2681
2006-10-06,-0.1564
2006-10-09,0.2599
2006-10-10,0.6462
2006-10-11,0.8553
2006-10-12,1.1554
2006-10-13,1.343
2006-10-16,1.4149
2006-10-17,1.4104
2006-10-18,1.3397
2006-10-19,1.2013
2006-10-20,1.1558
2006-10-23,1.2218
2006-10-24,1.3633
2006-10-25,1.3987
2006-10-26,1.5343
2006-10-27,1.6166
2006-10-30,1.7129
2006-10-31,1.8366
2006-11-01,1.7786
2006-11-02,1.5989
2006-11-03,1.4629
2006-11-06,1.4339
2006-11-07,1.3804
2006-11-08,1.2909
2006-11-09,1.1183
2006-11-10,1.0278
2006-11-13,0.8933
2006-11-14,0.875
2006-11-15,0.9282
2006-11-16,0.9536
2006-11-17,1.0512
2006-11-20,1.2737
2006-11-21,1.3832
2006-11-22,1.4565
2006-11-24,1.4765
2006-11-27,1.2201
2006-11-28,0.9662
2006-11-29,0.8018
2006-11-30,0.6686
2006-12-01,0.5199
2006-12-04,0.4382
2006-12-05,0.2774
2006-12-06,0.1707
2006-12-07,-0.104
2006-12-08,-0.2749
2006-12-11,-0.4416
2006-12-12,-0.5951
2006-12-13,-0.7325
2006-12-14,-0.8517
2006-12-15,-1.0032
2006-12-18,-1.0451
2006-12-19,-1.011
2006-12-20,-0.9511
2006-12-21,-0.9277
2006-12-22,-0.8135
2006-12-26,-0.6565
2006-12-27,-0.5419
2006-12-28,-0.4165
2006-12-29,-0.2672
2007-01-03,-0.1942
2007-01-04,-0.217
2007-01-05,-0.2627
2007-01-08,-0.2118
2007-01-09,-0.1375
2007-01-10,-0.097
2007-01-11,0.0524
2007-01-12,0.2175
2007-01-16,0.5183
2007-01-17,0.7592
2007-01-18,0.8579
2007-01-19,0.8768
2007-01-22,0.8378
2007-01-23,0.804
2007-01-24,0.7285
2007-01-25,0.6196
2007-01-26,0.516
2007-01-29,0.5374
2007-01-30,0.6199
2007-01-31,0.6631
2007-02-01,0.7197
2007-02-02,0.7726
2007-02-05,0.8396
2007-02-06,0.8936
2007-02-07,1.0048
2007-02-08,1.1219
2007-02-09,1.1865
2007-02-12,1.1286
2007-02-13,1.0489
2007-02-14,0.9139
2007-02-15,0.9325
2007-02-16,1.2276
2007-02-20,1.3539
2007-02-21,1.4127
2007-02-22,1.5097
2007-02-23,1.5596
2007-02-26,1.5268
2007-02-27,1.214
2007-02-28,0.9344
2007-03-01,0.8036
2007-03-02,0.6098
2007-03-05,0.3593
2007-03-06,0.2402
2007-03-07,0.1562
2007-03-08,0.0783
2007-03-09,0.0546
2007-03-12,0.088
2007-03-13,0.0957
2007-03-14,0.0671
2007-03-15,0.0806
2007-03-16,0.0528
2007-03-19,0.2315
2007-03-20,0.4589
2007-03-21,0.6734
2007-03-22,0.7875
2007-03-23,0.9181
2007-03-26,0.9135
2007-03-27,0.8022
2007-03-28,0.6811
2007-03-29,0.5896
2007-03-30,0.5032
2007-04-02,0.4809
2007-04-03,0.5544
2007-04-04,0.6695
2007-04-05,0.7648
2007-04-09,0.838
2007-04-10,0.8594
2007-04-11,0.7954
2007-04-12,0.7665
2007-04-13,0.728
2007-04-16,0.7796
2007-04-17,0.9181
2007-04-18,0.993
2007-04-19,0.9701
2007-04-20,0.9587
2007-04-23,0.9325
2007-04-24,0.8606
2007-04-25,0.8488
2007-04-26,0.9303
2007-04-27,0.9102
2007-04-30,0.8211
2007-05-01,0.824
2007-05-02,1.7607
2007-05-03,2.5478
2007-05-04,3.0844
2007-05-07,3.3126
2007-05-08,3.5509
2007-05-09,3.7027
