date,value
2006-03-15,0.6073
2006-03-16,1.0503
2006-03-17,1.1951
2006-03-20,0.978
2006-03-21,0.9057
2006-03-22,0.9826
2006-03-23,0.9095
2006-03-24,0.843
2006-03-27,0.7151
2006-03-28,0.524
2006-03-29,0.4053
2006-03-30,0.3852
2006-03-31,0.3314
2006-04-03,0.3612
2006-04-04,0.3409
2006-04-05,0.2978
2006-04-06,0.127
2006-04-07,-0.064
2006-04-10,-0.2621
2006-04-11,-0.3393
2006-04-12,-0.4266
2006-04-13,-0.5453
2006-04-17,-0.5434
2006-04-18,-0.5415
2006-04-19,-0.5237
2006-04-20,-0.5543
2006-04-21,-0.5436
2006-04-24,-0.5274
2006-04-25,-0.5755
2006-04-26,-0.6532
2006-04-27,-0.6973
2006-04-28,-0.606
2006-05-01,-0.5577
2006-05-02,-0.3174
2006-05-03,-0.1257
2006-05-04,0.0354
2006-05-05,0.2129
2006-05-08,0.4597
2006-05-09,1.0812
2006-05-10,1.2657
2006-05-11,1.2626
2006-05-12,1.1213
2006-05-15,0.8862
2006-05-16,0.7857
2006-05-17,0.6779
2006-05-18,0.4594
2006-05-19,0.2207
2006-05-22,-0.0282
2006-05-23,-0.2097
2006-05-24,-0.3741
2006-05-25,-0.4092
2006-05-26,-0.4536
2006-05-30,-0.6563
2006-05-31,-0.7877
2006-06-01,-0.703
2006-06-02,-0.5917
2006-06-05,-0.6112
2006-06-06,-0.6508
2006-06-07,-0.6235
2006-06-08,-0.6673
2006-06-09,-0.7187
2006-06-12,-0.6805
2006-06-13,-0.6861
2006-06-14,-0.5291
2006-06-15,-0.1667
2006-06-16,0.06
2006-06-19,0.1475
2006-06-20,0.1729
2006-06-21,0.3261
2006-06-22,0.3924
2006-06-23,0.3488
2006-06-26,0.3526
2006-06-27,0.2703
2006-06-28,0.0803
2006-06-29,0.008
2006-06-30,-0.0377
2006-07-03,-0.1064
2006-07-05,-0.2164
2006-07-06,-0.298
2006-07-07,-0.5338
2006-07-10,-0.811
2006-07-11,-0.8427
2006-07-12,-0.8744
2006-07-13,-0.801
2006-07-14,-0.7666
2006-07-17,-0.6105
2006-07-18,-0.5757
2006-07-19,-0.5115
2006-07-20,-0.6156
2006-07-21,-0.7499
2006-07-24,-0.7037
2006-07-25,-0.4864
2006-07-26,-0.3348
2006-07-27,-0.2961
2006-07-28,-0.2913
2006-07-31,-0.1043
2006-08-01,0.0041
2006-08-02,0.1055
2006-08-03,0.2977
2006-08-04,0.4717
2006-08-07,0.5398
2006-08-08,0.5048
2006-08-09,0.2706
2006-08-10,0.0196
2006-08-11,-0.0866
2006-08-14,-0.0981
2006-08-15,-0.0386
2006-08-16,0.1964
2006-08-17,0.3192
2006-08-18,0.3104
2006-08-21,0.2546
2006-08-22,0.1838
2006-08-23,0.1132
2006-08-24,0.0099
2006-08-25,-0.0627
2006-08-28,-0.0947
2006-08-29,-0.042
2006-08-30,0.033
2006-08-31,0.0299
2006-09-01,0.1229
2006-09-05,0.1732
2006-09-06,0.1785
2006-09-07,0.1664
2006-09-08,0.0357
2006-09-11,0.036
2006-09-12,0.1942
2006-09-13,0.3297
2006-09-14,0.3257
2006-09-15,0.3365
2006-09-18,0.308
2006-09-19,0.2473
2006-09-20,0.2463
2006-09-21,0.3754
2006-09-22,0.3704
2006-09-25,0.4166
2006-09-26,0.3755
2006-09-27,0.166
2006-09-28,0.0135
2006-09-29,-0.0781
2006-10-02,-0.1738
2006-10-03,-0.1919
2006-10-04,-0.0969
2006-10-05,-0.0863
2006-10-06,0.0203
2006-10-09,0.3493
2006-10-10,0.5885
2006-10-11,0.6381
2006-10-12,0.7505
2006-10-13,0.7505
2006-10-16,0.6579
2006-10-17,0.5227
2006-10-18,0.3617
2006-10-19,0.1786
2006-10-20,0.1064
2006-10-23,0.138
2006-10-24,0.2236
2006-10-25,0.2072
2006-10-26,0.2742
2006-10-27,0.2852
2006-10-30,0.3052
2006-10-31,0.3432
2006-11-01,0.2281
2006-11-02,0.0387
2006-11-03,-0.0778
2006-11-06,-0.0855
2006-11-07,-0.1111
2006-11-08,-0.1605
2006-11-09,-0.2665
2006-11-10,-0.2856
2006-11-13,-0.3361
2006-11-14,-0.2835
2006-11-15,-0.1843
2006-11-16,-0.1271
2006-11-17,-0.0235
2006-11-20,0.1591
2006-11-21,0.2149
2006-11-22,0.2305
2006-11-24,0.2004
2006-11-27,-0.0448
2006-11-28,-0.2389
2006-11-29,-0.3227
2006-11-30,-0.3647
2006-12-01,-0.4107
2006-12-04,-0.3939
2006-12-05,-0.4437
2006-12-06,-0.4404
2006-12-07,-0.5721
2006-12-08,-0.5944
2006-12-11,-0.6089
2006-12-12,-0.6099
2006-12-13,-0.5978
2006-12-14,-0.5736
2006-12-15,-0.5801
2006-12-18,-0.4976
2006-12-19,-0.3708
2006-12-20,-0.2488
2006-12-21,-0.1803
2006-12-22,-0.0528
2006-12-26,0.0834
2006-12-27,0.1583
2006-12-28,0.227
2006-12-29,0.3011
2007-01-03,0.2992
2007-01-04,0.2211
2007-01-05,0.1403
2007-01-08,0.153
2007-01-09,0.1818
2007-01-10,0.1779
2007-01-11,0.2618
2007-01-12,0.3415
2007-01-16,0.5138
2007-01-17,0.6038
2007-01-18,0.562
2007-01-19,0.4647
2007-01-22,0.3406
2007-01-23,0.2454
2007-01-24,0.1359
2007-01-25,0.0216
2007-01-26,-0.0656
2007-01-29,-0.0353
2007-01-30,0.0378
2007-01-31,0.0648
2007-02-01,0.0971
2007-02-02,0.12
2007-02-05,0.1496
2007-02-06,0.1629
2007-02-07,0.2192
2007-02-08,0.2691
2007-02-09,0.2669
2007-02-12,0.1673
2007-02-13,0.07
2007-02-14,-0.052
2007-02-15,-0.0267
2007-02-16,0.2147
2007-02-20,0.2728
2007-02-21,0.2653
2007-02-22,0.2898
2007-02-23,0.2718
2007-02-26,0.1912
2007-02-27,-0.0973
2007-02-28,-0.3015
2007-03-01,-0.3459
2007-03-02,-0.4317
2007-03-05,-0.5458
2007-03-06,-0.5319
2007-03-07,-0.4927
2007-03-08,-0.4565
2007-03-09,-0.3842
2007-03-12,-0.2806
2007-03-13,-0.2183
2007-03-14,-0.1975
2007-03-15,-0.1472
2007-03-16,-0.14
2007-03-19,0.0309
2007-03-20,0.2067
2007-03-21,0.3369
2007-03-22,0.3608
2007-03-23,0.3932
2007-03-26,0.3108
2007-03-27,0.1596
2007-03-28,0.0308
2007-03-29,-0.0486
2007-03-30,-0.1079
2007-04-02,-0.1042
2007-04-03,-0.0246
2007-04-04,0.0724
2007-04-05,0.1342
2007-04-09,0.1659
2007-04-10,0.1499
2007-04-11,0.0687
2007-04-12,0.0318
2007-04-13,-0.0054
2007-04-16,0.037
2007-04-17,0.1404
2007-04-18,0.1722
2007-04-19,0.1195
2007-04-20,0.0865
2007-04-23,0.0482
2007-04-24,-0.0189
2007-04-25,-0.0246
2007-04-26,0.0455
2007-04-27,0.0203
2007-04-30,-0.0551
2007-05-01,-0.0417
2007-05-02,0.716
2007-05-03,1.2025
2007-05-04,1.3913
2007-05-07,1.2956
2007-05-08,1.2271
2007-05-09,1.1031
2007-05-10,1.1264
2007-05-11,1.1317
2007-05-14,1.108
2007-05-15,0.9017
2007-05-16,0.7771
