date,value
2006-03-15,-0.0548
2006-03-16,0.2077
2006-03-17,0.5065
2006-03-20,0.751
2006-03-21,0.9774
2006-03-22,1.2231
2006-03-23,1.4504
2006-03-24,1.6612
2006-03-27,1.84
2006-03-28,1.971
2006-03-29,2.0723
2006-03-30,2.1686
2006-03-31,2.2514
2006-04-03,2.3417
2006-04-04,2.427
2006-04-05,2.5014
2006-04-06,2.5332
2006-04-07,2.5171
2006-04-10,2.4516
2006-04-11,2.3668
2006-04-12,2.2602
2006-04-13,2.1239
2006-04-17,1.988
2006-04-18,1.8526
2006-04-19,1.7217
2006-04-20,1.5831
2006-04-21,1.4472
2006-04-24,1.3154
2006-04-25,1.1715
2006-04-26,1.0082
2006-04-27,0.8339
2006-04-28,0.6823
2006-05-01,0.5429
2006-05-02,0.4636
2006-05-03,0.4321
2006-05-04,0.441
2006-05-05,0.4942
2006-05-08,0.6091
2006-05-09,0.8794
2006-05-10,1.1958
2006-05-11,1.5115
2006-05-12,1.7918
2006-05-15,2.0133
2006-05-16,2.2098
2006-05-17,2.3792
2006-05-18,2.4941
2006-05-19,2.5492
2006-05-22,2.5422
2006-05-23,2.4898
2006-05-24,2.3962
2006-05-25,2.2939
2006-05-26,2.1805
2006-05-30,2.0164
2006-05-31,1.8195
2006-06-01,1.6438
2006-06-02,1.4958
2006-06-05,1.3431
2006-06-06,1.1804
2006-06-07,1.0245
2006-06-08,0.8577
2006-06-09,0.678
2006-06-12,0.5079
2006-06-13,0.3363
2006-06-14,0.2041
2006-06-15,0.1624
2006-06-16,0.1774
2006-06-19,0.2143
2006-06-20,0.2575
2006-06-21,0.339
2006-06-22,0.4371
2006-06-23,0.5243
2006-06-26,0.6124
2006-06-27,0.68
2006-06-28,0.7001
2006-06-29,0.7021
2006-06-30,0.6927
2006-07-03,0.6661
2006-07-05,0.612
2006-07-06,0.5374
2006-07-07,0.404
2006-07-10,0.2012
2006-07-11,-0.0094
2006-07-12,-0.228
2006-07-13,-0.4283
2006-07-14,-0.6199
2006-07-17,-0.7726
2006-07-18,-0.9165
2006-07-19,-1.0444
2006-07-20,-1.1983
2006-07-21,-1.3857
2006-07-24,-1.5616
2006-07-25,-1.6832
2006-07-26,-1.7669
2006-07-27,-1.841
2006-07-28,-1.9138
2006-07-31,-1.9399
2006-08-01,-1.9388
2006-08-02,-1.9125
2006-08-03,-1.838
2006-08-04,-1.7201
2006-08-07,-1.5852
2006-08-08,-1.4589
2006-08-09,-1.3913
