date,value
2006-04-07,58.0063
2006-04-10,57.199
2006-04-11,57.7662
2006-04-12,57.2765
2006-04-13,56.3635
2006-04-17,57.0753
2006-04-18,56.9399
2006-04-19,56.9954
2006-04-20,56.2188
2006-04-21,56.3921
2006-04-24,56.3068
2006-04-25,55.2092
2006-04-26,54.2327
2006-04-27,53.936
2006-04-28,55.0418
2006-05-01,54.5302
2006-05-02,56.741
2006-05-03,57.0704
2006-05-04,57.5105
2006-05-05,58.4452
2006-05-08,60.0911
2006-05-09,64.7656
2006-05-10,62.6483
2006-05-11,62.0368
2006-05-12,61.1652
2006-05-15,60.1271
2006-05-16,61.1777
2006-05-17,61.3321
2006-05-18,59.956
2006-05-19,59.1635
2006-05-22,58.241
2006-05-23,58.186
2006-05-24,57.6215
2006-05-25,58.3648
2006-05-26,58.0249
2006-05-30,55.4619
2006-05-31,55.1777
2006-06-01,56.7536
2006-06-02,57.1466
2006-06-05,55.6352
2006-06-06,54.9777
2006-06-07,55.3054
2006-06-08,54.126
2006-06-09,53.4214
2006-06-12,53.8885
2006-06-13,53.0433
2006-06-14,54.5738
2006-06-15,57.2268
2006-06-16,57.1173
2006-06-19,56.4015
2006-06-20,56.1162
2006-06-21,57.7547
2006-06-22,57.6134
2006-06-23,56.7166
2006-06-26,57.3231
2006-06-27,56.4215
2006-06-28,54.7114
2006-06-29,55.3827
2006-06-30,55.4575
2006-07-03,54.9309
2006-07-05,53.9599
2006-07-06,53.6898
2006-07-07,50.9446
2006-07-10,48.9338
2006-07-11,50.2556
2006-07-12,49.5315
2006-07-13,50.1231
2006-07-14,49.3745
2006-07-17,50.5388
2006-07-18,49.2095
2006-07-19,49.2606
2006-07-20,46.9868
2006-07-21,45.6497
2006-07-24,46.7307
2006-07-25,48.5558
2006-07-26,48.242
2006-07-27,47.147
2006-07-28,46.5266
2006-07-31,48.5454
2006-08-01,48.154
2006-08-02,48.3664
2006-08-03,49.8994
2006-08-04,50.5704
2006-08-07,50.1524
2006-08-08,49.3206
2006-08-09,46.8469
2006-08-10,45.6415
2006-08-11,46.1856
2006-08-14,46.7036
2006-08-15,47.3695
2006-08-16,49.7791
2006-08-17,49.4399
2006-08-18,48.4219
2006-08-21,47.8597
2006-08-22,47.448
2006-08-23,47.114
2006-08-24,46.3295
2006-08-25,46.1158
2006-08-28,46.1158
2006-08-29,46.9648
2006-08-30,47.3971
2006-08-31,46.6216
2006-09-01,47.898
2006-09-05,47.7427
2006-09-06,47.3769
2006-09-07,47.1662
2006-09-08,45.5053
2006-09-11,46.6768
2006-09-12,48.9268
2006-09-13,49.4775
2006-09-14,48.3774
2006-09-15,48.7246
2006-09-18,48.3925
2006-09-19,47.942
2006-09-20,48.6349
2006-09-21,50.6821
2006-09-22,49.6675
2006-09-25,50.6297
2006-09-26,49.8996
2006-09-27,47.5837
2006-09-28,47.4096
2006-09-29,47.4782
2006-10-02,46.8809
2006-10-03,47.385
2006-10-04,48.8608
2006-10-05,48.0576
2006-10-06,49.4891
2006-10-09,53.1627
2006-10-10,53.823
2006-10-11,52.7849
2006-10-12,54.3086
2006-10-13,53.8916
2006-10-16,53.1651
2006-10-17,52.6245
2006-10-18,52.0079
2006-10-19,51.1949
2006-10-20,52.0586
2006-10-23,53.3229
2006-10-24,54.43
2006-10-25,53.6805
2006-10-26,54.9876
2006-10-27,54.906
2006-10-30,55.4374
2006-10-31,56.1489
2006-11-01,54.3973
2006-11-02,52.9623
2006-11-03,53.2177
2006-11-06,54.249
2006-11-07,54.0635
2006-11-08,53.6475
2006-11-09,52.5136
2006-11-10,53.1746
2006-11-13,52.5014
2006-11-14,53.6259
2006-11-15,54.4999
2006-11-16,54.4243
2006-11-17,55.4239
2006-11-20,57.1351
2006-11-21,56.4318
2006-11-22,56.4665
2006-11-24,56.1696
2006-11-27,52.6903
2006-11-28,52.1852
2006-11-29,52.7231
2006-11-30,52.7802
2006-12-01,52.2865
2006-12-04,52.7861
2006-12-05,51.5442
2006-12-06,51.8258
2006-12-07,49.3488
2006-12-08,49.9055
2006-12-11,49.4434
2006-12-12,49.0828
2006-12-13,48.7716
2006-12-14,48.5101
2006-12-15,47.6242
2006-12-18,48.5491
2006-12-19,49.3177
2006-12-20,49.6182
2006-12-21,49.1447
2006-12-22,50.3478
2006-12-26,51.1523
2006-12-27,50.9217
2006-12-28,51.3359
2006-12-29,51.9842
2007-01-03,51.2752
2007-01-04,50.0589
2007-01-05,49.6158
2007-01-08,50.8426
2007-01-09,51.3035
2007-01-10,51.0106
2007-01-11,52.6869
2007-01-12,53.3672
2007-01-16,55.6905
2007-01-17,55.8347
2007-01-18,54.5158
2007-01-19,53.7411
2007-01-22,53.0476
2007-01-23,53.1374
2007-01-24,52.4968
2007-01-25,51.8347
2007-01-26,51.6556
2007-01-29,53.2567
2007-01-30,54.2792
2007-01-31,54.0379
2007-02-01,54.4738
2007-02-02,54.716
2007-02-05,55.2137
2007-02-06,55.3767
2007-02-07,56.5183
2007-02-08,57.1064
2007-02-09,56.8349
2007-02-12,55.0684
2007-02-13,54.675
2007-02-14,53.5756
2007-02-15,55.6013
2007-02-16,59.4963
2007-02-20,57.8781
2007-02-21,57.4446
2007-02-22,58.3081
2007-02-23,58.1504
2007-02-26,57.1751
2007-02-27,52.6929
2007-02-28,52.3707
2007-03-01,53.7473
2007-03-02,52.4621
2007-03-05,51.0708
2007-03-06,52.2177
2007-03-07,52.3851
2007-03-08,52.2233
2007-03-09,52.7731
2007-03-12,53.5236
2007-03-13,53.2358
2007-03-14,52.6841
2007-03-15,53.2259
2007-03-16,52.598
2007-03-19,55.4719
2007-03-20,56.6739
2007-03-21,57.2161
2007-03-22,56.4125
2007-03-23,57.0807
2007-03-26,55.4159
2007-03-27,53.8014
2007-03-28,53.3981
2007-03-29,53.5585
2007-03-30,53.4245
2007-04-02,54.1736
2007-04-03,55.5528
2007-04-04,56.4373
2007-04-05,56.6135
2007-04-09,56.714
2007-04-10,56.2267
2007-04-11,54.928
2007-04-12,55.377
2007-04-13,55.244
2007-04-16,56.5803
2007-04-17,58.0942
2007-04-18,57.6503
