date,value
2006-04-06,48.0014
2006-04-07,48.2144
2006-04-10,48.445
2006-04-11,48.641
2006-04-12,48.7716
2006-04-13,48.9008
2006-04-17,49.0872
2006-04-18,49.2346
2006-04-19,49.3604
2006-04-20,49.498
2006-04-21,49.6512
2006-04-24,49.8364
2006-04-25,50.0332
2006-04-26,50.2256
2006-04-27,50.3812
2006-04-28,50.571
2006-05-01,50.715
2006-05-02,50.9292
2006-05-03,51.1674
2006-05-04,51.4022
2006-05-05,51.6242
2006-05-08,51.8762
2006-05-09,52.2866
2006-05-10,52.6716
2006-05-11,53.0456
2006-05-12,53.396
2006-05-15,53.7294
2006-05-16,54.0916
2006-05-17,54.4748
2006-05-18,54.8786
2006-05-19,55.286
2006-05-22,55.6602
2006-05-23,56.0072
2006-05-24,56.2362
2006-05-25,56.421
2006-05-26,56.5378
2006-05-30,56.6224
2006-05-31,56.776
2006-06-01,56.936
2006-06-02,57.0514
2006-06-05,57.1518
2006-06-06,57.2248
2006-06-07,57.3152
2006-06-08,57.397
2006-06-09,57.4482
2006-06-12,57.482
2006-06-13,57.4972
2006-06-14,57.5206
2006-06-15,57.6182
2006-06-16,57.7104
2006-06-19,57.82
2006-06-20,57.9404
2006-06-21,58.1258
2006-06-22,58.2908
2006-06-23,58.4478
2006-06-26,58.6424
2006-06-27,58.797
2006-06-28,58.9176
2006-06-29,59.0546
2006-06-30,59.2104
2006-07-03,59.3502
2006-07-05,59.471
2006-07-06,59.6092
2006-07-07,59.7072
2006-07-10,59.7634
2006-07-11,59.8232
2006-07-12,59.8762
2006-07-13,59.8852
2006-07-14,59.8672
2006-07-17,59.865
2006-07-18,59.805
2006-07-19,59.6988
2006-07-20,59.3804
2006-07-21,59.0708
2006-07-24,58.7988
2006-07-25,58.5884
2006-07-26,58.3924
2006-07-27,58.1332
2006-07-28,57.8526
2006-07-31,57.6488
2006-08-01,57.4522
2006-08-02,57.2808
2006-08-03,57.1472
2006-08-04,57.0422
2006-08-07,56.9052
2006-08-08,56.7554
2006-08-09,56.5992
2006-08-10,56.4172
2006-08-11,56.203
2006-08-14,55.9892
2006-08-15,55.824
2006-08-16,55.7308
2006-08-17,55.6202
2006-08-18,55.5106
2006-08-21,55.4028
2006-08-22,55.2724
2006-08-23,55.1526
2006-08-24,54.973
2006-08-25,54.7134
2006-08-28,54.4562
