date,value
2006-02-07,59.355
2006-02-08,55.7551
2006-02-09,47.1216
2006-02-10,35.6633
2006-02-13,23.481
2006-02-14,18.4984
2006-02-15,19.0445
2006-02-16,32.7855
2006-02-17,48.6974
2006-02-21,64.0084
2006-02-22,65.9835
2006-02-23,66.5945
2006-02-24,70.7285
2006-02-27,82.0173
2006-02-28,87.6735
2006-03-01,81.3841
2006-03-02,67.159
2006-03-03,52.6905
2006-03-06,47.4477
2006-03-07,45.3594
2006-03-08,43.2132
2006-03-09,32.0835
2006-03-10,20.9024
2006-03-13,18.6819
2006-03-14,32.8923
2006-03-15,56.3621
2006-03-16,77.719
2006-03-17,87.407
2006-03-20,83.1204
2006-03-21,70.5965
2006-03-22,58.6965
2006-03-23,56.5041
2006-03-24,63.6828
2006-03-27,72.8074
2006-03-28,71.8666
2006-03-29,61.5453
2006-03-30,52.1787
2006-03-31,55.6734
2006-04-03,68.7149
2006-04-04,79.0377
2006-04-05,85.452
2006-04-06,80.1461
2006-04-07,66.5338
2006-04-10,41.0956
2006-04-11,23.0077
2006-04-12,15.3927
2006-04-13,17.6752
2006-04-17,21.3882
2006-04-18,27.0589
2006-04-19,36.8093
2006-04-20,42.4305
2006-04-21,43.704
2006-04-24,37.4825
2006-04-25,33.7472
2006-04-26,27.0848
2006-04-27,25.379
2006-04-28,28.7741
2006-05-01,43.554
2006-05-02,61.0913
2006-05-03,75.2475
2006-05-04,84.2212
2006-05-05,89.573
2006-05-08,93.1706
2006-05-09,94.992
2006-05-10,93.3063
2006-05-11,88.7346
2006-05-12,79.6262
2006-05-15,65.7397
2006-05-16,51.6985
2006-05-17,42.5533
2006-05-18,42.646
2006-05-19,41.9673
2006-05-22,35.7651
2006-05-23,26.2223
2006-05-24,20.2239
2006-05-25,21.686
2006-05-26,27.2673
2006-05-30,32.5112
2006-05-31,31.9468
2006-06-01,30.0377
2006-06-02,36.6579
2006-06-05,49.7671
2006-06-06,58.4025
2006-06-07,54.0435
2006-06-08,44.9631
2006-06-09,37.6613
2006-06-12,35.7624
2006-06-13,33.259
2006-06-14,39.124
2006-06-15,50.3731
2006-06-16,71.018
2006-06-19,82.7823
2006-06-20,86.0619
2006-06-21,81.0279
2006-06-22,76.6611
2006-06-23,71.1787
2006-06-26,64.5164
2006-06-27,55.0163
2006-06-28,45.713
2006-06-29,35.4062
2006-06-30,29.6354
2006-07-03,29.6115
2006-07-05,30.4427
2006-07-06,27.8892
2006-07-07,20.4615
2006-07-10,14.168
2006-07-11,12.883
2006-07-12,17.2289
2006-07-13,26.2743
2006-07-14,34.2692
2006-07-17,45.7871
2006-07-18,52.7757
2006-07-19,57.0847
2006-07-20,46.7227
2006-07-21,34.2524
2006-07-24,21.8039
2006-07-25,22.5041
2006-07-26,32.8872
2006-07-27,47.1364
2006-07-28,51.7077
2006-07-31,50.1912
2006-08-01,48.8156
2006-08-02,58.7631
2006-08-03,70.7486
2006-08-04,80.7569
2006-08-07,83.068
2006-08-08,75.9954
2006-08-09,59.7562
2006-08-10,38.5237
2006-08-11,22.5512
2006-08-14,18.9849
2006-08-15,25.7622
2006-08-16,42.1738
2006-08-17,60.1793
2006-08-18,73.6666
2006-08-21,71.331
2006-08-22,54.7246
2006-08-23,33.887
2006-08-24,17.1824
2006-08-25,9.0636
2006-08-28,5.4413
2006-08-29,11.4635
2006-08-30,24.3308
2006-08-31,39.0668
2006-09-01,50.5827
2006-09-05,55.6502
2006-09-06,60.2812
2006-09-07,56.3706
2006-09-08,49.0305
2006-09-11,42.1547
2006-09-12,47.898
2006-09-13,63.1139
2006-09-14,78.2072
2006-09-15,84.031
2006-09-18,79.5294
2006-09-19,67.0361
2006-09-20,55.4466
2006-09-21,50.9809
2006-09-22,56.9114
2006-09-25,66.6389
2006-09-26,70.3039
2006-09-27,63.8061
2006-09-28,47.6582
2006-09-29,30.3345
2006-10-02,19.1706
2006-10-03,15.3639
2006-10-04,22.7278
2006-10-05,35.5897
2006-10-06,57.1319
2006-10-09,72.1119
2006-10-10,84.857
2006-10-11,86.2714
2006-10-12,88.1474
2006-10-13,85.9822
