date,value
2006-02-07,58.3449
2006-02-08,49.6432
2006-02-09,33.3767
2006-02-10,23.9701
2006-02-13,13.096
2006-02-14,18.429
2006-02-15,25.6085
2006-02-16,54.3192
2006-02-17,66.1644
2006-02-21,71.5415
2006-02-22,60.2446
2006-02-23,67.9974
2006-02-24,83.9435
2006-02-27,94.111
2006-02-28,84.9659
2006-03-01,65.0754
2006-03-02,51.4357
2006-03-03,41.5603
2006-03-06,49.347
2006-03-07,45.1709
2006-03-08,35.1217
2006-03-09,15.9579
2006-03-10,11.6275
2006-03-13,28.4604
2006-03-14,58.5889
2006-03-15,82.0369
2006-03-16,92.5313
2006-03-17,87.6528
2006-03-20,69.1771
2006-03-21,54.9597
2006-03-22,51.9527
2006-03-23,62.6
2006-03-24,76.4959
2006-03-27,79.3265
2006-03-28,59.7774
2006-03-29,45.5322
2006-03-30,51.2266
2006-03-31,70.2615
2006-04-03,84.6565
2006-04-04,82.1953
2006-04-05,89.5042
2006-04-06,68.7389
2006-04-07,41.3581
2006-04-10,13.1896
2006-04-11,14.4754
2006-04-12,18.513
2006-04-13,20.0373
2006-04-17,25.6143
2006-04-18,35.5253
2006-04-19,49.2884
2006-04-20,42.4779
2006-04-21,39.3458
2006-04-24,30.6238
2006-04-25,31.2719
2006-04-26,19.3588
2006-04-27,25.5062
2006-04-28,41.4572
2006-05-01,63.6984
2006-05-02,78.1183
2006-05-03,83.9256
2006-05-04,90.6197
2006-05-05,94.1737
2006-05-08,94.7183
2006-05-09,96.0841
2006-05-10,89.1165
2006-05-11,81.0031
2006-05-12,68.759
2006-05-15,47.4569
2006-05-16,38.8794
2006-05-17,41.3236
2006-05-18,47.7351
2006-05-19,36.8433
2006-05-22,22.7168
2006-05-23,19.1068
2006-05-24,18.8479
2006-05-25,27.1033
2006-05-26,35.8507
2006-05-30,34.5797
2006-05-31,25.4101
2006-06-01,30.1235
2006-06-02,54.4401
2006-06-05,64.7377
2006-06-06,56.0297
2006-06-07,41.363
2006-06-08,37.4966
