date,value
2006-01-26,39.51
2006-01-27,41.75
2006-01-30,41.25
2006-01-31,45.38
2006-02-01,45.25
2006-02-02,44.26
2006-02-03,44.25
2006-02-06,46.0
2006-02-07,45.25
2006-02-08,45.04
2006-02-09,43.08
2006-02-10,41.5
2006-02-13,41.0
2006-02-14,41.19
2006-02-15,42.22
2006-02-16,42.5301
2006-02-17,43.85
2006-02-21,42.81
2006-02-22,42.85
2006-02-23,44.75
2006-02-24,45.8
2006-02-27,46.18
2006-02-28,45.6
2006-03-01,44.6
2006-03-02,45.07
2006-03-03,45.13
2006-03-06,45.03
2006-03-07,44.25
2006-03-08,42.2
2006-03-09,41.25
2006-03-10,40.89
2006-03-13,42.36
2006-03-14,45.95
2006-03-15,47.85
2006-03-16,51.89
2006-03-17,53.42
2006-03-20,50.05
2006-03-21,50.2001
2006-03-22,52.95
2006-03-23,53.0
2006-03-24,53.61
2006-03-27,53.3
2006-03-28,52.95
2006-03-29,53.0
2006-03-30,53.85
2006-03-31,54.6
2006-04-03,55.2
2006-04-04,56.4
2006-04-05,56.03
2006-04-06,55.48
2006-04-07,54.4
2006-04-10,53.45
2006-04-11,53.12
2006-04-12,53.82
2006-04-13,52.71
2006-04-17,52.75
2006-04-18,53.75
2006-04-19,53.8
2006-04-20,53.0
2006-04-21,53.0
2006-04-24,52.93
2006-04-25,51.25
2006-04-26,50.99
2006-04-27,48.3
2006-04-28,50.11
2006-05-01,51.4
2006-05-02,52.51
2006-05-03,54.54
2006-05-04,54.9
2006-05-05,55.4
2006-05-08,57.1
2006-05-09,62.2701
2006-05-10,64.51
2006-05-11,63.91
2006-05-12,63.21
2006-05-15,61.28
2006-05-16,62.2
2006-05-17,63.4
2006-05-18,62.02
2006-05-19,61.28
2006-05-22,59.41
2006-05-23,60.75
2006-05-24,59.55
2006-05-25,60.5
2006-05-26,60.8
2006-05-30,57.7
2006-05-31,56.7101
2006-06-01,58.0
2006-06-02,59.33
2006-06-05,58.86
2006-06-06,57.36
2006-06-07,58.1
2006-06-08,55.06
2006-06-09,56.3
2006-06-12,55.5
2006-06-13,56.15
2006-06-14,56.15
2006-06-15,58.8
2006-06-16,61.31
