date,value
2006-01-26,13218600.0
2006-01-27,1150800.0
2006-01-30,735800.0
2006-01-31,1111200.0
2006-02-01,606700.0
2006-02-02,401500.0
2006-02-03,245300.0
2006-02-06,349800.0
2006-02-07,267200.0
2006-02-08,174400.0
2006-02-09,220300.0
2006-02-10,375500.0
2006-02-13,199100.0
2006-02-14,197900.0
2006-02-15,98100.0
2006-02-16,293000.0
2006-02-17,138000.0
2006-02-21,68100.0
2006-02-22,95900.0
2006-02-23,249300.0
2006-02-24,138300.0
2006-02-27,100800.0
2006-02-28,87500.0
2006-03-01,190100.0
2006-03-02,229000.0
2006-03-03,89100.0
2006-03-06,168900.0
2006-03-07,328300.0
2006-03-08,306600.0
2006-03-09,161500.0
2006-03-10,313900.0
2006-03-13,190400.0
2006-03-14,1255800.0
2006-03-15,1142100.0
2006-03-16,1697700.0
2006-03-17,396200.0
2006-03-20,863500.0
2006-03-21,360400.0
2006-03-22,579300.0
2006-03-23,505500.0
2006-03-24,277000.0
2006-03-27,220900.0
2006-03-28,175600.0
2006-03-29,148000.0
2006-03-30,209400.0
2006-03-31,770400.0
2006-04-03,370100.0
2006-04-04,167400.0
2006-04-05,99300.0
2006-04-06,301700.0
2006-04-07,221100.0
2006-04-10,338100.0
2006-04-11,359400.0
2006-04-12,212800.0
2006-04-13,148100.0
2006-04-17,99700.0
2006-04-18,104200.0
2006-04-19,150500.0
2006-04-20,99400.0
2006-04-21,119100.0
2006-04-24,166900.0
2006-04-25,315500.0
2006-04-26,166200.0
2006-04-27,813000.0
2006-04-28,159600.0
2006-05-01,154900.0
2006-05-02,680100.0
2006-05-03,204800.0
2006-05-04,194200.0
2006-05-05,163800.0
2006-05-08,782100.0
2006-05-09,2515400.0
2006-05-10,518900.0
2006-05-11,322700.0
2006-05-12,268400.0
2006-05-15,376900.0
2006-05-16,456600.0
2006-05-17,257000.0
2006-05-18,890100.0
2006-05-19,2260400.0
2006-05-22,593400.0
2006-05-23,391000.0
2006-05-24,370700.0
2006-05-25,271400.0
2006-05-26,95700.0
2006-05-30,426400.0
2006-05-31,465700.0
2006-06-01,240600.0
2006-06-02,294000.0
2006-06-05,162400.0
2006-06-06,237700.0
2006-06-07,261100.0
2006-06-08,424100.0
2006-06-09,171500.0
2006-06-12,249200.0
2006-06-13,251800.0
2006-06-14,212700.0
2006-06-15,717700.0
2006-06-16,412100.0
2006-06-19,203400.0
2006-06-20,127700.0
2006-06-21,292300.0
2006-06-22,278100.0
2006-06-23,230400.0
2006-06-26,83800.0
2006-06-27,221000.0
2006-06-28,262100.0
2006-06-29,444600.0
2006-06-30,287600.0
2006-07-03,108800.0
2006-07-05,416400.0
