date,value
2000-03-14,7.3427
2000-03-15,7.3611
2000-03-16,7.374
2000-03-17,7.3912
2000-03-20,7.4003
2000-03-21,7.4043
2000-03-22,7.4007
2000-03-23,7.4242
2000-03-24,7.437
2000-03-27,7.4468
2000-03-28,7.444
2000-03-29,7.4413
2000-03-30,7.424
2000-03-31,7.3828
2000-04-03,7.3507
2000-04-04,7.2977
2000-04-05,7.2762
2000-04-06,7.2703
2000-04-07,7.2622
2000-04-10,7.247
2000-04-11,7.2153
2000-04-12,7.1946
2000-04-13,7.1723
2000-04-14,7.1386
2000-04-17,7.1086
2000-04-18,7.0823
2000-04-19,7.0644
2000-04-20,7.0447
2000-04-24,7.0332
2000-04-25,7.0196
2000-04-26,7.0066
2000-04-27,7.0039
2000-04-28,6.9989
2000-05-01,6.9965
2000-05-02,6.9917
2000-05-03,6.9871
2000-05-04,6.9901
2000-05-05,6.9905
2000-05-08,6.9934
2000-05-09,6.9961
2000-05-10,6.9962
2000-05-11,6.9964
2000-05-12,6.9916
2000-05-15,6.992
2000-05-16,6.9898
2000-05-17,6.9878
2000-05-18,6.9785
2000-05-19,6.9622
2000-05-22,6.9416
2000-05-23,6.917
2000-05-24,6.8933
2000-05-25,6.8681
2000-05-26,6.8414
2000-05-30,6.8158
2000-05-31,6.7936
2000-06-01,6.7649
2000-06-02,6.7423
2000-06-05,6.7157
2000-06-06,6.6778
2000-06-07,6.6316
2000-06-08,6.5774
2000-06-09,6.5327
2000-06-12,6.4971
2000-06-13,6.4605
2000-06-14,6.4278
2000-06-15,6.3914
2000-06-16,6.3564
2000-06-19,6.3228
2000-06-20,6.2857
2000-06-21,6.2352
2000-06-22,6.1844
2000-06-23,6.1379
2000-06-26,6.0909
2000-06-27,6.0408
2000-06-28,5.9558
2000-06-29,5.8767
2000-06-30,5.8031
2000-07-03,5.73
2000-07-05,5.6572
2000-07-06,5.5873
2000-07-07,5.5153
2000-07-10,5.4485
2000-07-11,5.3795
2000-07-12,5.3107
2000-07-13,5.2642
2000-07-14,5.244
2000-07-17,5.232
2000-07-18,5.2205
2000-07-19,5.2069
2000-07-20,5.1866
2000-07-21,5.167
2000-07-24,5.1531
2000-07-25,5.1398
2000-07-26,5.1172
2000-07-27,5.0857
2000-07-28,5.0529
2000-07-31,5.0288
2000-08-01,5.008
2000-08-02,4.9881
2000-08-03,4.9616
2000-08-04,4.9313
2000-08-07,4.8997
2000-08-08,4.862
2000-08-09,4.8208
2000-08-10,4.7813
2000-08-11,4.7507
2000-08-14,4.7237
2000-08-15,4.7002
2000-08-16,4.6777
2000-08-17,4.6609
2000-08-18,4.6276
2000-08-21,4.6079
2000-08-22,4.5939
2000-08-23,4.5902
2000-08-24,4.5916
2000-08-25,4.6052
2000-08-28,4.6255
2000-08-29,4.6549
2000-08-30,4.6905
2000-08-31,4.7223
2000-09-01,4.7528
2000-09-05,4.7772
2000-09-06,4.7908
2000-09-07,4.8039
2000-09-08,4.8214
2000-09-11,4.8407
2000-09-12,4.8666
2000-09-13,4.889
2000-09-14,4.9056
2000-09-15,4.924
2000-09-18,4.9368
2000-09-19,4.9515
2000-09-20,4.9657
2000-09-21,4.9695
2000-09-22,4.9732
2000-09-25,4.9816
2000-09-26,4.9897
2000-09-27,4.995
2000-09-28,5.0026
2000-09-29,5.0099
2000-10-02,5.0046
2000-10-03,4.9848
2000-10-04,4.9584
2000-10-05,4.9258
2000-10-06,4.8821
2000-10-09,4.8328
2000-10-10,4.7855
2000-10-11,4.7277
2000-10-12,4.6575
2000-10-13,4.5901
2000-10-16,4.5277
2000-10-17,4.4727
2000-10-18,4.4125
2000-10-19,4.3571
2000-10-20,4.3039
2000-10-23,4.2602
2000-10-24,4.2156
2000-10-25,4.168
2000-10-26,4.1222
2000-10-27,4.0733
2000-10-30,4.0238
2000-10-31,3.9813
2000-11-01,3.9379
2000-11-02,3.9011
2000-11-03,3.8707
2000-11-06,3.839
2000-11-07,3.811
2000-11-08,3.7841
2000-11-09,3.7558
2000-11-10,3.7262
2000-11-13,3.6928
2000-11-14,3.6656
