date,value
2000-02-18,0.1994
2000-02-22,0.2596
2000-02-23,0.3337
2000-02-24,0.3281
2000-02-25,0.2852
2000-02-28,0.2782
2000-02-29,0.2645
2000-03-01,0.2458
2000-03-02,0.2284
2000-03-03,0.1971
2000-03-06,0.1455
2000-03-07,0.0934
2000-03-08,0.1064
2000-03-09,0.0954
2000-03-10,0.0856
2000-03-13,0.097
2000-03-14,0.1098
2000-03-15,0.1086
2000-03-16,0.0965
2000-03-17,0.0958
2000-03-20,0.0793
2000-03-21,0.0554
2000-03-22,0.0211
2000-03-23,0.0489
2000-03-24,0.0501
2000-03-27,0.0455
2000-03-28,0.0165
2000-03-29,-0.0065
2000-03-30,-0.0543
2000-03-31,-0.141
2000-04-03,-0.1923
2000-04-04,-0.2753
2000-04-05,-0.2773
2000-04-06,-0.2458
2000-04-07,-0.2233
2000-04-10,-0.2181
2000-04-11,-0.2464
2000-04-12,-0.2458
2000-04-13,-0.2476
2000-04-14,-0.271
2000-04-17,-0.2814
2000-04-18,-0.2812
2000-04-19,-0.263
2000-04-20,-0.2507
2000-04-24,-0.2232
2000-04-25,-0.2041
2000-04-26,-0.1869
2000-04-27,-0.1512
2000-04-28,-0.1266
2000-05-01,-0.1009
2000-05-02,-0.0846
2000-05-03,-0.0709
2000-05-04,-0.0443
2000-05-05,-0.028
2000-05-08,-0.0099
2000-05-09,0.0044
2000-05-10,0.0105
2000-05-11,0.0152
2000-05-12,0.0087
2000-05-15,0.0135
2000-05-16,0.0122
2000-05-17,0.011
2000-05-18,-0.0051
2000-05-19,-0.0325
2000-05-22,-0.0636
2000-05-23,-0.0972
2000-05-24,-0.1224
2000-05-25,-0.1458
2000-05-26,-0.1675
2000-05-30,-0.1825
2000-05-31,-0.1872
2000-06-01,-0.2037
2000-06-02,-0.2044
2000-06-05,-0.2125
2000-06-06,-0.2414
2000-06-07,-0.2813
2000-06-08,-0.3292
2000-06-09,-0.3481
2000-06-12,-0.3439
2000-06-13,-0.3417
2000-06-14,-0.3312
2000-06-15,-0.3291
2000-06-16,-0.3237
2000-06-19,-0.3158
2000-06-20,-0.316
2000-06-21,-0.3424
2000-06-22,-0.3642
2000-06-23,-0.3721
2000-06-26,-0.3791
2000-06-27,-0.3902
2000-06-28,-0.4692
2000-06-29,-0.5208
2000-06-30,-0.5503
2000-07-03,-0.5721
2000-07-05,-0.5877
2000-07-06,-0.5933
2000-07-07,-0.6008
2000-07-10,-0.5948
2000-07-11,-0.5933
2000-07-12,-0.5904
2000-07-13,-0.5415
2000-07-14,-0.4472
2000-07-17,-0.3532
2000-07-18,-0.2755
2000-07-19,-0.2166
2000-07-20,-0.1828
2000-07-21,-0.1543
2000-07-24,-0.1202
2000-07-25,-0.0922
2000-07-26,-0.0891
2000-07-27,-0.1056
2000-07-28,-0.1223
2000-07-31,-0.119
2000-08-01,-0.1102
2000-08-02,-0.102
2000-08-03,-0.1093
