date,value
2000-02-18,0.151
2000-02-22,0.1689
2000-02-23,0.1944
2000-02-24,0.1511
2000-02-25,0.0865
2000-02-28,0.0636
2000-02-29,0.0399
2000-03-01,0.017
2000-03-02,-0.0003
2000-03-03,-0.0253
2000-03-06,-0.0615
2000-03-07,-0.0909
2000-03-08,-0.0624
2000-03-09,-0.0587
2000-03-10,-0.0547
2000-03-13,-0.0347
2000-03-14,-0.0175
2000-03-15,-0.015
2000-03-16,-0.0217
2000-03-17,-0.0178
2000-03-20,-0.0275
2000-03-21,-0.0411
2000-03-22,-0.0603
2000-03-23,-0.0261
2000-03-24,-0.0199
2000-03-27,-0.0195
2000-03-28,-0.0389
2000-03-29,-0.0495
2000-03-30,-0.0778
2000-03-31,-0.1316
2000-04-03,-0.1464
2000-04-04,-0.1834
2000-04-05,-0.1484
2000-04-06,-0.0935
2000-04-07,-0.0568
2000-04-10,-0.0413
2000-04-11,-0.0556
2000-04-12,-0.0441
2000-04-13,-0.0367
2000-04-14,-0.0481
2000-04-17,-0.0467
2000-04-18,-0.0373
2000-04-19,-0.0153
2000-04-20,-0.0023
2000-04-24,0.0201
2000-04-25,0.0313
2000-04-26,0.0389
2000-04-27,0.0596
2000-04-28,0.0674
2000-05-01,0.0745
2000-05-02,0.0726
2000-05-03,0.0691
2000-05-04,0.0765
2000-05-05,0.0742
2000-05-08,0.0739
2000-05-09,0.0705
2000-05-10,0.0613
2000-05-11,0.0528
2000-05-12,0.0371
2000-05-15,0.0335
2000-05-16,0.0257
2000-05-17,0.0196
2000-05-18,0.0029
2000-05-19,-0.0197
2000-05-22,-0.0406
2000-05-23,-0.0594
2000-05-24,-0.0677
2000-05-25,-0.0729
2000-05-26,-0.0756
2000-05-30,-0.0725
2000-05-31,-0.0618
2000-06-01,-0.0626
2000-06-02,-0.0506
2000-06-05,-0.047
2000-06-06,-0.0607
2000-06-07,-0.0805
2000-06-08,-0.1028
2000-06-09,-0.0973
2000-06-12,-0.0745
2000-06-13,-0.0578
2000-06-14,-0.0378
2000-06-15,-0.0286
2000-06-16,-0.0186
2000-06-19,-0.0085
2000-06-20,-0.007
2000-06-21,-0.0267
2000-06-22,-0.0388
2000-06-23,-0.0374
2000-06-26,-0.0355
2000-06-27,-0.0373
2000-06-28,-0.0931
2000-06-29,-0.1157
2000-06-30,-0.1162
2000-07-03,-0.1104
2000-07-05,-0.1008
2000-07-06,-0.085
2000-07-07,-0.0741
2000-07-10,-0.0545
2000-07-11,-0.0424
2000-07-12,-0.0316
2000-07-13,0.0138
2000-07-14,0.0865
2000-07-17,0.1444
2000-07-18,0.1777
2000-07-19,0.1893
2000-07-20,0.1785
2000-07-21,0.1656
2000-07-24,0.1597
2000-07-25,0.1502
2000-07-26,0.1227
2000-07-27,0.0849
2000-07-28,0.0546
2000-07-31,0.0463
2000-08-01,0.0441
2000-08-02,0.0418
2000-08-03,0.0276
2000-08-04,0.0105
2000-08-07,-0.0036
2000-08-08,-0.0229
2000-08-09,-0.0405
2000-08-10,-0.048
2000-08-11,-0.0368
2000-08-14,-0.0223
2000-08-15,-0.0064
2000-08-16,0.0055
2000-08-17,0.0223
2000-08-18,0.0053
2000-08-21,0.0159
2000-08-22,0.0312
2000-08-23,0.0565
2000-08-24,0.0787
2000-08-25,0.1097
2000-08-28,0.1361
2000-08-29,0.1621
2000-08-30,0.1821
2000-08-31,0.1809
2000-09-01,0.17
2000-09-05,0.1453
2000-09-06,0.1049
2000-09-07,0.0726
2000-09-08,0.0547
2000-09-11,0.0428
2000-09-12,0.0431
2000-09-13,0.035
2000-09-14,0.0179
2000-09-15,0.0081
2000-09-18,-0.0086
2000-09-19,-0.0169
2000-09-20,-0.0233
2000-09-21,-0.0441
2000-09-22,-0.0568
2000-09-25,-0.0557
2000-09-26,-0.0538
2000-09-27,-0.0554
2000-09-28,-0.051
2000-09-29,-0.0469
2000-10-02,-0.0631
2000-10-03,-0.095
2000-10-04,-0.1228
2000-10-05,-0.1465
2000-10-06,-0.1738
2000-10-09,-0.1937
2000-10-10,-0.1954
2000-10-11,-0.2052
2000-10-12,-0.223
2000-10-13,-0.2205
2000-10-16,-0.201
2000-10-17,-0.1673
2000-10-18,-0.146
2000-10-19,-0.1174
2000-10-20,-0.0894
2000-10-23,-0.051
2000-10-24,-0.0241
2000-10-25,-0.0096
2000-10-26,0.0043
2000-10-27,0.0091
2000-10-30,0.0119
2000-10-31,0.0253
2000-11-01,0.0326
2000-11-02,0.0475
2000-11-03,0.0664
2000-11-06,0.0747
2000-11-07,0.0836
2000-11-08,0.0883
2000-11-09,0.086
2000-11-10,0.0791
2000-11-13,0.0656
2000-11-14,0.0644
2000-11-15,0.063
2000-11-16,0.0812
2000-11-17,0.0947
2000-11-20,0.1002
2000-11-21,0.0923
2000-11-22,0.0842
2000-11-24,0.0801
2000-11-27,0.0747
2000-11-28,0.0605
2000-11-29,0.0414
2000-11-30,0.0321
2000-12-01,0.0294
2000-12-04,0.0229
2000-12-05,0.0223
2000-12-06,0.0054
2000-12-07,-0.0048
2000-12-08,-0.0103
2000-12-11,-0.0166
2000-12-12,-0.023
2000-12-13,-0.041
2000-12-14,-0.0492
2000-12-15,-0.0509
2000-12-18,-0.0482
2000-12-19,-0.0548
2000-12-20,-0.0667
2000-12-21,-0.0733
2000-12-22,-0.0719
2000-12-26,-0.0658
2000-12-27,-0.0603
2000-12-28,-0.0436
2000-12-29,-0.0327
2001-01-02,-0.0219
2001-01-03,-0.0077
2001-01-04,-0.0001
2001-01-05,0.011
2001-01-08,0.0157
2001-01-09,0.028
2001-01-10,0.0404
2001-01-11,0.0602
2001-01-12,0.0713
2001-01-16,0.0524
2001-01-17,0.0395
2001-01-18,0.035
2001-01-19,0.0278
2001-01-22,0.0273
2001-01-23,0.0349
2001-01-24,0.0391
2001-01-25,0.0449
2001-01-26,0.0472
2001-01-29,0.052
2001-01-30,0.0532
2001-01-31,0.0532
2001-02-01,0.0497
2001-02-02,0.0468
2001-02-05,0.0448
2001-02-06,0.0409
2001-02-07,0.0365
2001-02-08,0.0295
2001-02-09,0.0268
2001-02-12,0.0237
2001-02-13,0.0192
2001-02-14,0.0159
2001-02-15,0.0135
2001-02-16,0.0086
2001-02-20,0.003
2001-02-21,-0.0015
2001-02-22,-0.0031
2001-02-23,-0.0041
2001-02-26,-0.0022
2001-02-27,-0.0023
2001-02-28,-0.0011
2001-03-01,0.0041
2001-03-02,0.0216
2001-03-05,0.0287
2001-03-06,0.0339
2001-03-07,0.0331
2001-03-08,0.0177
2001-03-09,0.0035
2001-03-12,-0.0093
2001-03-13,-0.0179
2001-03-14,-0.0196
2001-03-15,-0.0219
2001-03-16,-0.0231
2001-03-19,-0.03
