date,value
2000-02-18,0.0484
2000-02-22,0.0907
2000-02-23,0.1393
2000-02-24,0.177
2000-02-25,0.1987
2000-02-28,0.2146
2000-02-29,0.2246
2000-03-01,0.2288
2000-03-02,0.2287
2000-03-03,0.2224
2000-03-06,0.207
2000-03-07,0.1843
2000-03-08,0.1687
2000-03-09,0.154
2000-03-10,0.1404
2000-03-13,0.1317
2000-03-14,0.1273
2000-03-15,0.1236
2000-03-16,0.1182
2000-03-17,0.1137
2000-03-20,0.1068
2000-03-21,0.0965
2000-03-22,0.0814
2000-03-23,0.0749
2000-03-24,0.07
2000-03-27,0.0651
2000-03-28,0.0554
2000-03-29,0.043
2000-03-30,0.0235
2000-03-31,-0.0094
2000-04-03,-0.046
2000-04-04,-0.0918
2000-04-05,-0.1289
2000-04-06,-0.1523
2000-04-07,-0.1665
2000-04-10,-0.1768
2000-04-11,-0.1907
2000-04-12,-0.2017
2000-04-13,-0.2109
2000-04-14,-0.2229
2000-04-17,-0.2346
2000-04-18,-0.2439
2000-04-19,-0.2477
2000-04-20,-0.2483
2000-04-24,-0.2433
2000-04-25,-0.2355
2000-04-26,-0.2258
2000-04-27,-0.2109
2000-04-28,-0.194
2000-05-01,-0.1754
2000-05-02,-0.1572
2000-05-03,-0.14
2000-05-04,-0.1208
2000-05-05,-0.1023
2000-05-08,-0.0838
2000-05-09,-0.0662
2000-05-10,-0.0508
2000-05-11,-0.0376
2000-05-12,-0.0284
2000-05-15,-0.02
2000-05-16,-0.0136
2000-05-17,-0.0086
2000-05-18,-0.0079
2000-05-19,-0.0128
2000-05-22,-0.023
2000-05-23,-0.0378
2000-05-24,-0.0548
2000-05-25,-0.073
2000-05-26,-0.0919
2000-05-30,-0.11
2000-05-31,-0.1254
2000-06-01,-0.1411
2000-06-02,-0.1537
2000-06-05,-0.1655
2000-06-06,-0.1807
2000-06-07,-0.2008
2000-06-08,-0.2265
2000-06-09,-0.2508
2000-06-12,-0.2694
2000-06-13,-0.2839
2000-06-14,-0.2933
2000-06-15,-0.3005
2000-06-16,-0.3051
2000-06-19,-0.3073
2000-06-20,-0.309
2000-06-21,-0.3157
2000-06-22,-0.3254
2000-06-23,-0.3347
2000-06-26,-0.3436
2000-06-27,-0.3529
2000-06-28,-0.3762
2000-06-29,-0.4051
2000-06-30,-0.4342
2000-07-03,-0.4617
2000-07-05,-0.4869
2000-07-06,-0.5082
2000-07-07,-0.5267
2000-07-10,-0.5403
2000-07-11,-0.5509
2000-07-12,-0.5588
2000-07-13,-0.5554
2000-07-14,-0.5337
2000-07-17,-0.4976
2000-07-18,-0.4532
2000-07-19,-0.4059
2000-07-20,-0.3613
2000-07-21,-0.3199
2000-07-24,-0.28
2000-07-25,-0.2424
2000-07-26,-0.2117
2000-07-27,-0.1905
2000-07-28,-0.1769
2000-07-31,-0.1653
2000-08-01,-0.1543
2000-08-02,-0.1438
2000-08-03,-0.1369
2000-08-04,-0.1343
2000-08-07,-0.1352
2000-08-08,-0.1409
2000-08-09,-0.151
2000-08-10,-0.163
2000-08-11,-0.1722
2000-08-14,-0.1778
2000-08-15,-0.1794
2000-08-16,-0.178
2000-08-17,-0.1724
2000-08-18,-0.1711
2000-08-21,-0.1671
2000-08-22,-0.1594
2000-08-23,-0.1452
2000-08-24,-0.1255
2000-08-25,-0.0981
2000-08-28,-0.0641
2000-08-29,-0.0236
2000-08-30,0.022
2000-08-31,0.0672
2000-09-01,0.1097
2000-09-05,0.146
2000-09-06,0.1723
2000-09-07,0.1904
2000-09-08,0.2041
2000-09-11,0.2148
2000-09-12,0.2256
2000-09-13,0.2343
2000-09-14,0.2388
2000-09-15,0.2408
2000-09-18,0.2386
2000-09-19,0.2344
2000-09-20,0.2286
2000-09-21,0.2176
2000-09-22,0.2034
2000-09-25,0.1895
2000-09-26,0.176
2000-09-27,0.1622
2000-09-28,0.1494
2000-09-29,0.1377
2000-10-02,0.1219
2000-10-03,0.0982
2000-10-04,0.0675
2000-10-05,0.0309
2000-10-06,-0.0126
2000-10-09,-0.061
2000-10-10,-0.1099
2000-10-11,-0.1612
2000-10-12,-0.2169
2000-10-13,-0.2721
2000-10-16,-0.3223
2000-10-17,-0.3641
2000-10-18,-0.4006
2000-10-19,-0.43
2000-10-20,-0.4523
2000-10-23,-0.4651
2000-10-24,-0.4711
2000-10-25,-0.4735
2000-10-26,-0.4724
2000-10-27,-0.4702
2000-10-30,-0.4672
2000-10-31,-0.4608
2000-11-01,-0.4527
2000-11-02,-0.4408
2000-11-03,-0.4242
2000-11-06,-0.4055
2000-11-07,-0.3846
2000-11-08,-0.3626
2000-11-09,-0.3411
2000-11-10,-0.3213
2000-11-13,-0.3049
2000-11-14,-0.2888
2000-11-15,-0.273
2000-11-16,-0.2527
2000-11-17,-0.2291
2000-11-20,-0.204
2000-11-21,-0.1809
2000-11-22,-0.1599
2000-11-24,-0.1398
2000-11-27,-0.1212
2000-11-28,-0.106
2000-11-29,-0.0957
2000-11-30,-0.0877
2000-12-01,-0.0803
2000-12-04,-0.0746
2000-12-05,-0.069
2000-12-06,-0.0677
2000-12-07,-0.0689
2000-12-08,-0.0715
2000-12-11,-0.0756
2000-12-12,-0.0814
2000-12-13,-0.0916
2000-12-14,-0.1039
2000-12-15,-0.1166
2000-12-18,-0.1287
2000-12-19,-0.1424
2000-12-20,-0.1591
2000-12-21,-0.1774
2000-12-22,-0.1954
2000-12-26,-0.2118
2000-12-27,-0.2269
2000-12-28,-0.2378
2000-12-29,-0.246
2001-01-02,-0.2514
2001-01-03,-0.2534
2001-01-04,-0.2534
2001-01-05,-0.2506
2001-01-08,-0.2467
2001-01-09,-0.2397
2001-01-10,-0.2296
2001-01-11,-0.2146
2001-01-12,-0.1967
2001-01-16,-0.1836
2001-01-17,-0.1737
2001-01-18,-0.165
2001-01-19,-0.1581
2001-01-22,-0.1513
2001-01-23,-0.1425
2001-01-24,-0.1328
2001-01-25,-0.1215
2001-01-26,-0.1097
2001-01-29,-0.0967
2001-01-30,-0.0834
2001-01-31,-0.0701
2001-02-01,-0.0577
2001-02-02,-0.046
2001-02-05,-0.0348
2001-02-06,-0.0246
2001-02-07,-0.0154
2001-02-08,-0.0081
2001-02-09,-0.0014
2001-02-12,0.0045
2001-02-13,0.0093
2001-02-14,0.0133
2001-02-15,0.0167
2001-02-16,0.0189
2001-02-20,0.0196
2001-02-21,0.0193
2001-02-22,0.0185
2001-02-23,0.0174
2001-02-26,0.0169
2001-02-27,0.0163
2001-02-28,0.0161
2001-03-01,0.0171
2001-03-02,0.0225
2001-03-05,0.0297
2001-03-06,0.0381
2001-03-07,0.0464
2001-03-08,0.0508
2001-03-09,0.0517
2001-03-12,0.0494
2001-03-13,0.0449
2001-03-14,0.04
2001-03-15,0.0346
2001-03-16,0.0288
2001-03-19,0.0213
2001-03-20,0.0124
2001-03-21,0.0044
2001-03-22,-0.002
2001-03-23,-0.0066
2001-03-26,-0.01
2001-03-27,-0.013
2001-03-28,-0.0157
2001-03-29,-0.0176
2001-03-30,-0.0185
2001-04-02,-0.0209
2001-04-03,-0.0249
2001-04-04,-0.0314
2001-04-05,-0.0384
2001-04-06,-0.0459
2001-04-09,-0.0535
2001-04-10,-0.0601
2001-04-11,-0.0665
2001-04-12,-0.0732
2001-04-16,-0.079
2001-04-17,-0.0847
2001-04-18,-0.091
2001-04-19,-0.0972
2001-04-20,-0.1025
2001-04-23,-0.1078
2001-04-24,-0.1133
2001-04-25,-0.1177
2001-04-26,-0.1218
2001-04-27,-0.1259
2001-04-30,-0.1287
2001-05-01,-0.131
2001-05-02,-0.129
2001-05-03,-0.1223
2001-05-04,-0.1107
2001-05-07,-0.1001
2001-05-08,-0.0896
2001-05-09,-0.0772
2001-05-10,-0.0534
2001-05-11,-0.0192
2001-05-14,0.0199
2001-05-15,0.0607
2001-05-16,0.1008
2001-05-17,0.1387
2001-05-18,0.1707
2001-05-21,0.199
2001-05-22,0.2242
2001-05-23,0.2472
2001-05-24,0.2699
2001-05-25,0.3003
2001-05-29,0.3285
2001-05-30,0.3512
2001-05-31,0.3652
2001-06-01,0.3702
2001-06-04,0.3675
2001-06-05,0.365
2001-06-06,0.3642
2001-06-07,0.3647
2001-06-08,0.3653
2001-06-11,0.3629
2001-06-12,0.3591
2001-06-13,0.3522
2001-06-14,0.3424
2001-06-15,0.3287
2001-06-18,0.3125
2001-06-19,0.2925
2001-06-20,0.2716
2001-06-21,0.2501
2001-06-22,0.2291
2001-06-25,0.2085
2001-06-26,0.1902
2001-06-27,0.1735
2001-06-28,0.1582
2001-06-29,0.1439
2001-07-02,0.1313
2001-07-03,0.1197
2001-07-05,0.1089
2001-07-06,0.0969
2001-07-09,0.0816
2001-07-10,0.064
2001-07-11,0.0433
2001-07-12,0.0231
2001-07-13,0.0061
2001-07-16,-0.009
2001-07-17,-0.0212
2001-07-18,-0.0289
2001-07-19,-0.0321
2001-07-20,-0.0287
2001-07-23,-0.0205
2001-07-24,-0.0117
2001-07-25,-0.0021
2001-07-26,0.005
2001-07-27,0.0118
2001-07-30,0.0185
2001-07-31,0.0253
2001-08-01,0.0328
2001-08-02,0.0419
2001-08-03,0.0532
2001-08-06,0.0642
2001-08-07,0.077
2001-08-08,0.0947
2001-08-09,0.1101
2001-08-10,0.1209
2001-08-13,0.1233
2001-08-14,0.1182
2001-08-15,0.1094
2001-08-16,0.0983
2001-08-17,0.0854
2001-08-20,0.0719
2001-08-21,0.0586
2001-08-22,0.0459
2001-08-23,0.0334
2001-08-24,0.0218
2001-08-27,0.0112
2001-08-28,0.0006
2001-08-29,-0.0095
2001-08-30,-0.019
2001-08-31,-0.0269
2001-09-04,-0.0349
