date,value
2000-03-15,54.5653
2000-03-16,53.7342
2000-03-17,54.4423
2000-03-20,53.1929
2000-03-21,52.3775
2000-03-22,51.1797
2000-03-23,55.0344
2000-03-24,53.4668
2000-03-27,53.0842
2000-03-28,51.1968
2000-03-29,51.1968
2000-03-30,49.0224
2000-03-31,45.7201
2000-04-03,46.8197
2000-04-04,44.0904
2000-04-05,48.1954
2000-04-06,50.066
2000-04-07,49.7629
2000-04-10,48.8477
2000-04-11,46.8061
2000-04-12,48.073
2000-04-13,47.7804
2000-04-14,46.3545
2000-04-17,46.6771
2000-04-18,47.0076
2000-04-19,47.9842
2000-04-20,47.6869
2000-04-24,48.6657
2000-04-25,48.3596
2000-04-26,48.3596
2000-04-27,49.6884
2000-04-28,49.3618
2000-05-01,49.6992
2000-05-02,49.3635
2000-05-03,49.3635
2000-05-04,50.4042
2000-05-05,50.0524
2000-05-08,50.4056
2000-05-09,50.4056
2000-05-10,50.0372
2000-05-11,50.0372
2000-05-12,49.293
2000-05-15,50.0511
2000-05-16,49.6752
2000-05-17,49.6752
2000-05-18,48.5247
2000-05-19,47.4101
2000-05-22,46.6789
2000-05-23,45.9555
2000-05-24,45.9555
2000-05-25,45.5849
2000-05-26,45.2186
2000-05-30,45.2186
2000-05-31,45.6731
2000-06-01,44.5359
2000-06-02,45.4621
2000-06-05,44.7004
2000-06-06,42.8652
2000-06-07,41.4774
2000-06-08,40.1509
2000-06-09,41.5845
2000-06-12,42.9709
2000-06-13,42.6286
2000-06-14,43.0912
2000-06-15,42.3881
2000-06-16,42.3881
2000-06-19,42.3881
2000-06-20,41.6658
2000-06-21,39.6
2000-06-22,39.2715
2000-06-23,39.7812
2000-06-26,39.4434
2000-06-27,38.7661
2000-06-28,34.2616
2000-06-29,34.781
2000-06-30,35.2943
2000-07-03,35.0131
2000-07-05,34.7262
2000-07-06,34.7262
2000-07-07,34.1481
2000-07-10,34.7071
2000-07-11,34.1207
2000-07-12,33.8268
2000-07-13,38.1422
2000-07-14,42.8925
2000-07-17,44.2075
2000-07-18,44.2075
2000-07-19,43.8552
2000-07-20,42.8213
2000-07-21,42.8213
2000-07-24,43.7444
2000-07-25,43.7444
2000-07-26,42.3217
2000-07-27,40.9622
2000-07-28,40.6267
2000-07-31,42.0717
2000-08-01,42.5423
2000-08-02,42.5423
2000-08-03,41.4839
2000-08-04,40.7918
2000-08-07,40.4447
2000-08-08,39.4286
2000-08-09,38.7644
2000-08-10,38.7644
2000-08-11,40.3303
2000-08-14,40.8502
2000-08-15,41.3633
2000-08-16,41.3633
2000-08-17,42.4121
2000-08-18,39.8684
2000-08-21,42.3858
2000-08-22,43.3552
2000-08-23,45.2359
2000-08-24,46.1481
2000-08-25,48.3465
2000-08-28,49.6008
2000-08-29,51.2168
2000-08-30,52.3883
2000-08-31,51.9616
2000-09-01,51.9616
2000-09-05,51.1018
2000-09-06,49.4324
2000-09-07,49.4324
2000-09-08,50.278
2000-09-11,50.702
2000-09-12,51.9432
2000-09-13,51.5045
2000-09-14,50.6249
2000-09-15,51.048
2000-09-18,50.1636
2000-09-19,50.6037
2000-09-20,50.6037
2000-09-21,48.8222
2000-09-22,48.8222
2000-09-25,49.7433
2000-09-26,49.7433
2000-09-27,49.2779
2000-09-28,49.7576
2000-09-29,49.7576
2000-10-02,47.4368
2000-10-03,44.8778
2000-10-04,43.6788
2000-10-05,42.5136
2000-10-06,40.6761
2000-10-09,39.6231
2000-10-10,39.6231
2000-10-11,37.9265
2000-10-12,36.0341
2000-10-13,36.0341
2000-10-16,36.5789
2000-10-17,37.6709
2000-10-18,36.7061
2000-10-19,37.2498
2000-10-20,37.2498
2000-10-23,38.9068
2000-10-24,38.5586
2000-10-25,37.8725
2000-10-26,37.8725
2000-10-27,37.1835
2000-10-30,36.8443
2000-10-31,38.0078
