date,value
2000-03-14,7.3427
2000-03-15,7.3578
2000-03-16,7.3728
2000-03-17,7.3878
2000-03-20,7.4003
2000-03-21,7.4115
2000-03-22,7.4178
2000-03-23,7.439
2000-03-24,7.4577
2000-03-27,7.4715
2000-03-28,7.4752
2000-03-29,7.479
2000-03-30,7.4765
2000-03-31,7.464
2000-04-03,7.4552
2000-04-04,7.4327
2000-04-05,7.424
2000-04-06,7.4227
2000-04-07,7.4227
2000-04-10,7.4152
2000-04-11,7.404
2000-04-12,7.3965
2000-04-13,7.3877
2000-04-14,7.374
2000-04-17,7.3652
2000-04-18,7.3552
2000-04-19,7.3515
2000-04-20,7.344
2000-04-24,7.3377
2000-04-25,7.3315
2000-04-26,7.3227
2000-04-27,7.3177
2000-04-28,7.3077
2000-05-01,7.2815
2000-05-02,7.254
2000-05-03,7.224
2000-05-04,7.1902
2000-05-05,7.1702
2000-05-08,7.1602
2000-05-09,7.1427
2000-05-10,7.1252
2000-05-11,7.109
2000-05-12,7.0902
2000-05-15,7.0777
2000-05-16,7.0702
2000-05-17,7.0652
2000-05-18,7.0427
2000-05-19,7.0215
2000-05-22,6.9977
2000-05-23,6.9665
2000-05-24,6.934
2000-05-25,6.9027
2000-05-26,6.8727
2000-05-30,6.8402
2000-05-31,6.8127
2000-06-01,6.784
2000-06-02,6.7615
2000-06-05,6.7228
2000-06-06,6.6828
2000-06-07,6.639
2000-06-08,6.5965
2000-06-09,6.5578
2000-06-12,6.5303
2000-06-13,6.514
2000-06-14,6.4953
2000-06-15,6.4853
2000-06-16,6.4603
2000-06-19,6.4278
2000-06-20,6.394
2000-06-21,6.3565
2000-06-22,6.3265
2000-06-23,6.2927
2000-06-26,6.259
2000-06-27,6.229
2000-06-28,6.179
2000-06-29,6.129
2000-06-30,6.0765
2000-07-03,6.024
2000-07-05,5.9665
2000-07-06,5.9102
2000-07-07,5.8515
2000-07-10,5.789
2000-07-11,5.7252
2000-07-12,5.659
2000-07-13,5.604
2000-07-14,5.5615
2000-07-17,5.519
2000-07-18,5.4777
2000-07-19,5.434
2000-07-20,5.3865
2000-07-21,5.3402
2000-07-24,5.2965
2000-07-25,5.2553
2000-07-26,5.2065
2000-07-27,5.154
2000-07-28,5.1003
2000-07-31,5.054
2000-08-01,5.0128
2000-08-02,4.974
2000-08-03,4.934
2000-08-04,4.8915
2000-08-07,4.849
2000-08-08,4.804
2000-08-09,4.7565
2000-08-10,4.7078
2000-08-11,4.6665
2000-08-14,4.624
2000-08-15,4.5852
2000-08-16,4.5527
2000-08-17,4.5277
2000-08-18,4.499
2000-08-21,4.4727
2000-08-22,4.4452
2000-08-23,4.424
2000-08-24,4.404
2000-08-25,4.3927
2000-08-28,4.3852
2000-08-29,4.3827
2000-08-30,4.3865
2000-08-31,4.3965
2000-09-01,4.4077
2000-09-05,4.4152
2000-09-06,4.419
2000-09-07,4.4252
2000-09-08,4.4527
2000-09-11,4.4802
2000-09-12,4.5102
2000-09-13,4.5402
2000-09-14,4.569
2000-09-15,4.599
2000-09-18,4.629
2000-09-19,4.659
2000-09-20,4.6915
2000-09-21,4.7202
2000-09-22,4.739
2000-09-25,4.7478
2000-09-26,4.7528
2000-09-27,4.7565
2000-09-28,4.7628
2000-09-29,4.7728
2000-10-02,4.7765
2000-10-03,4.7702
2000-10-04,4.7602
2000-10-05,4.7515
2000-10-06,4.7415
2000-10-09,4.729
2000-10-10,4.7127
2000-10-11,4.689
2000-10-12,4.6577
2000-10-13,4.6302
2000-10-16,4.6065
2000-10-17,4.5865
2000-10-18,4.5665
2000-10-19,4.5502
2000-10-20,4.534
2000-10-23,4.5177
2000-10-24,4.499
2000-10-25,4.4765
2000-10-26,4.454
2000-10-27,4.4265
2000-10-30,4.4065
2000-10-31,4.3827
2000-11-01,4.3552
2000-11-02,4.3252
2000-11-03,4.2952
2000-11-06,4.2577
2000-11-07,4.2177
2000-11-08,4.1727
2000-11-09,4.1227
2000-11-10,4.0727
2000-11-13,4.0202
2000-11-14,3.9727
2000-11-15,3.9302
2000-11-16,3.894
2000-11-17,3.8565
2000-11-20,3.8177
2000-11-21,3.7727
2000-11-22,3.729
2000-11-24,3.689
2000-11-27,3.6477
2000-11-28,3.6065
2000-11-29,3.5615
2000-11-30,3.5177
2000-12-01,3.4802
2000-12-04,3.4415
2000-12-05,3.4015
2000-12-06,3.3565
2000-12-07,3.3127
2000-12-08,3.2677
2000-12-11,3.2215
2000-12-12,3.1802
2000-12-13,3.1415
2000-12-14,3.1065
2000-12-15,3.0752
2000-12-18,3.0502
2000-12-19,3.0252
2000-12-20,2.9965
2000-12-21,2.9727
2000-12-22,2.9565
2000-12-26,2.9401
2000-12-27,2.9214
2000-12-28,2.9026
2000-12-29,2.8864
2001-01-02,2.8689
2001-01-03,2.8526
2001-01-04,2.8314
2001-01-05,2.8126
2001-01-08,2.7951
2001-01-09,2.7801
2001-01-10,2.7689
2001-01-11,2.7626
2001-01-12,2.7539
2001-01-16,2.7389
2001-01-17,2.7214
2001-01-18,2.7026
2001-01-19,2.6839
2001-01-22,2.6651
2001-01-23,2.6489
2001-01-24,2.6339
2001-01-25,2.6214
2001-01-26,2.6114
2001-01-29,2.6004
2001-01-30,2.5894
2001-01-31,2.5725
2001-02-01,2.554
2001-02-02,2.5359
2001-02-05,2.5209
2001-02-06,2.5057
2001-02-07,2.4893
2001-02-08,2.472
2001-02-09,2.4583
2001-02-12,2.447
2001-02-13,2.4341
2001-02-14,2.4201
2001-02-15,2.4076
2001-02-16,2.3931
2001-02-20,2.3829
2001-02-21,2.3726
2001-02-22,2.3626
2001-02-23,2.3539
2001-02-26,2.3472
2001-02-27,2.3452
2001-02-28,2.3435
2001-03-01,2.3433
2001-03-02,2.3476
2001-03-05,2.3549
2001-03-06,2.3667
2001-03-07,2.3792
2001-03-08,2.3877
2001-03-09,2.3953
2001-03-12,2.4031
2001-03-13,2.4081
2001-03-14,2.4154
2001-03-15,2.4221
2001-03-16,2.4274
2001-03-19,2.4317
2001-03-20,2.4339
2001-03-21,2.439
2001-03-22,2.4424
2001-03-23,2.4451
