date,value
2000-01-13,25.2753
2000-01-14,37.7506
2000-01-18,58.8925
2000-01-19,79.6191
2000-01-20,86.4641
2000-01-21,75.7092
2000-01-24,58.9299
2000-01-25,51.0833
2000-01-26,57.7399
2000-01-27,65.0419
2000-01-28,68.953
2000-01-31,57.8135
2000-02-01,48.134
2000-02-02,33.3121
2000-02-03,30.5642
2000-02-04,24.8605
2000-02-07,25.3932
2000-02-08,21.4506
2000-02-09,26.7821
2000-02-10,34.2192
2000-02-11,47.4358
2000-02-14,58.7562
2000-02-15,68.2395
2000-02-16,76.7733
2000-02-17,78.2366
2000-02-18,74.9398
2000-02-22,64.4222
2000-02-23,59.4779
2000-02-24,56.4327
2000-02-25,53.6906
2000-02-28,45.909
2000-02-29,40.0952
2000-03-01,42.5369
2000-03-02,48.8566
2000-03-03,55.0985
2000-03-06,49.7659
2000-03-07,37.2407
2000-03-08,27.9511
2000-03-09,29.6214
2000-03-10,42.6508
2000-03-13,51.5043
2000-03-14,59.2604
2000-03-15,63.5969
2000-03-16,64.0677
2000-03-17,58.6095
2000-03-20,44.4444
2000-03-21,33.4855
2000-03-22,21.6006
2000-03-23,27.7712
2000-03-24,40.4019
2000-03-27,61.7262
2000-03-28,63.3872
2000-03-29,52.1346
2000-03-30,30.2849
2000-03-31,14.4286
2000-04-03,7.9337
2000-04-04,8.0336
2000-04-05,17.359
2000-04-06,32.2311
2000-04-07,52.4148
2000-04-10,66.6726
2000-04-11,66.4948
2000-04-12,54.1119
2000-04-13,36.6053
2000-04-14,25.4453
2000-04-17,20.6
2000-04-18,21.1566
2000-04-19,30.4242
2000-04-20,44.5918
2000-04-24,64.8082
2000-04-25,78.2785
2000-04-26,87.3805
2000-04-27,89.4148
2000-04-28,89.8667
2000-05-01,91.2148
2000-05-02,90.3265
2000-05-03,88.9938
2000-05-04,85.8241
2000-05-05,82.6756
2000-05-08,81.0525
2000-05-09,77.2214
2000-05-10,75.6054
2000-05-11,68.1782
2000-05-12,54.0558
2000-05-15,39.9335
2000-05-16,31.798
2000-05-17,38.1212
2000-05-18,37.7849
2000-05-19,32.2293
2000-05-22,17.5844
2000-05-23,9.5989
2000-05-24,8.0867
2000-05-25,9.0894
2000-05-26,12.5635
2000-05-30,14.4656
2000-05-31,21.9246
2000-06-01,26.0391
2000-06-02,35.5881
2000-06-05,39.51
2000-06-06,44.9291
2000-06-07,36.9568
2000-06-08,25.6221
2000-06-09,13.5301
