date,value
2000-01-03,5.9299
2000-01-04,5.8275
2000-01-05,5.9325
2000-01-06,5.8795
2000-01-07,5.8275
2000-01-10,5.8795
2000-01-11,5.8275
2000-01-12,5.7225
2000-01-13,5.8795
2000-01-14,6.0374
2000-01-18,6.0374
2000-01-19,5.9845
2000-01-20,5.8795
2000-01-21,5.8795
2000-01-24,5.9845
2000-01-25,6.0374
2000-01-26,6.0374
2000-01-27,5.9325
2000-01-28,6.0895
2000-01-31,5.8795
2000-02-01,5.9325
2000-02-02,5.9325
2000-02-03,5.8795
2000-02-04,5.7225
2000-02-07,5.8275
2000-02-08,5.7225
2000-02-09,5.8275
2000-02-10,5.9325
2000-02-11,5.8795
2000-02-14,5.9845
2000-02-15,6.0374
2000-02-16,6.1945
2000-02-17,6.9295
2000-02-18,6.9295
2000-02-22,7.0344
2000-02-23,7.3494
2000-02-24,6.7195
2000-02-25,6.3524
2000-02-28,6.6674
2000-02-29,6.6145
2000-03-01,6.5624
2000-03-02,6.5624
2000-03-03,6.4045
2000-03-06,6.1424
2000-03-07,6.0374
2000-03-08,6.6145
2000-03-09,6.4045
2000-03-10,6.4045
2000-03-13,6.6145
2000-03-14,6.6674
2000-03-15,6.5624
2000-03-16,6.4574
2000-03-17,6.5624
2000-03-20,6.4045
2000-03-21,6.2995
2000-03-22,6.1424
2000-03-23,6.7195
2000-03-24,6.5095
2000-03-27,6.4574
2000-03-28,6.1945
2000-03-29,6.1945
2000-03-30,5.8795
2000-03-31,5.3546
2000-04-03,5.5125
2000-04-04,5.0396
2000-04-05,5.6696
2000-04-06,5.9845
2000-04-07,5.9325
2000-04-10,5.7745
2000-04-11,5.4075
2000-04-12,5.6175
2000-04-13,5.5646
2000-04-14,5.3025
2000-04-17,5.3546
2000-04-18,5.4075
2000-04-19,5.5646
2000-04-20,5.5125
2000-04-24,5.6696
2000-04-25,5.6175
2000-04-26,5.6175
2000-04-27,5.8275
2000-04-28,5.7745
2000-05-01,5.8275
2000-05-02,5.7745
2000-05-03,5.7745
2000-05-04,5.9325
2000-05-05,5.8795
2000-05-08,5.9325
2000-05-09,5.9325
2000-05-10,5.8795
2000-05-11,5.8795
2000-05-12,5.7745
2000-05-15,5.8795
2000-05-16,5.8275
2000-05-17,5.8275
2000-05-18,5.6696
2000-05-19,5.5125
2000-05-22,5.4075
2000-05-23,5.3025
2000-05-24,5.3025
2000-05-25,5.2496
2000-05-26,5.1975
2000-05-30,5.1975
2000-05-31,5.2496
2000-06-01,5.0925
2000-06-02,5.1975
2000-06-05,5.0925
2000-06-06,4.8296
2000-06-07,4.6196
2000-06-08,4.4097
2000-06-09,4.5676
2000-06-12,4.7246
2000-06-13,4.6726
2000-06-14,4.7246
2000-06-15,4.6196
2000-06-16,4.6196
2000-06-19,4.6196
2000-06-20,4.5146
2000-06-21,4.1997
2000-06-22,4.1476
2000-06-23,4.1997
2000-06-26,4.1476
2000-06-27,4.0426
2000-06-28,3.2547
2000-06-29,3.3077
2000-06-30,3.3597
2000-07-03,3.3077
2000-07-05,3.2547
2000-07-06,3.2547
2000-07-07,3.1498
2000-07-10,3.2027
2000-07-11,3.0977
2000-07-12,3.0448
2000-07-13,3.4647
2000-07-14,3.9897
2000-07-17,4.1476
2000-07-18,4.1476
2000-07-19,4.0947
2000-07-20,3.9376
2000-07-21,3.9376
2000-07-24,4.0426
2000-07-25,4.0426
2000-07-26,3.8326
2000-07-27,3.6226
2000-07-28,3.5697
2000-07-31,3.7276
2000-08-01,3.7797
2000-08-02,3.7797
2000-08-03,3.6226
2000-08-04,3.5176
2000-08-07,3.4647
2000-08-08,3.3077
2000-08-09,3.2027
2000-08-10,3.2027
2000-08-11,3.3597
2000-08-14,3.4127
2000-08-15,3.4647
2000-08-16,3.4647
2000-08-17,3.5697
2000-08-18,3.2027
2000-08-21,3.4647
2000-08-22,3.5697
2000-08-23,3.7797
2000-08-24,3.8847
2000-08-25,4.1476
2000-08-28,4.3047
2000-08-29,4.5146
