date,value
2000-01-03,76600.0
2000-01-04,70200.0
2000-01-05,45400.0
2000-01-06,38300.0
2000-01-07,54300.0
2000-01-10,53300.0
2000-01-11,69800.0
2000-01-12,117300.0
2000-01-13,75100.0
2000-01-14,83400.0
2000-01-18,79800.0
2000-01-19,46400.0
2000-01-20,122400.0
2000-01-21,50500.0
2000-01-24,159600.0
2000-01-25,110700.0
2000-01-26,79000.0
2000-01-27,30300.0
2000-01-28,45200.0
2000-01-31,99600.0
2000-02-01,225800.0
2000-02-02,88500.0
2000-02-03,74100.0
2000-02-04,48000.0
2000-02-07,76100.0
2000-02-08,22400.0
2000-02-09,86000.0
2000-02-10,171900.0
2000-02-11,71200.0
2000-02-14,30500.0
2000-02-15,49900.0
2000-02-16,37400.0
2000-02-17,523700.0
2000-02-18,151700.0
2000-02-22,116200.0
2000-02-23,196400.0
2000-02-24,327100.0
2000-02-25,83600.0
2000-02-28,160600.0
2000-02-29,203200.0
2000-03-01,43200.0
2000-03-02,72900.0
2000-03-03,52900.0
2000-03-06,41800.0
2000-03-07,27900.0
2000-03-08,180200.0
2000-03-09,115000.0
2000-03-10,91600.0
2000-03-13,62400.0
2000-03-14,105800.0
2000-03-15,22300.0
2000-03-16,42000.0
2000-03-17,29600.0
2000-03-20,37600.0
2000-03-21,24000.0
2000-03-22,40800.0
2000-03-23,152800.0
2000-03-24,20900.0
2000-03-27,19200.0
2000-03-28,29100.0
2000-03-29,19400.0
2000-03-30,70200.0
2000-03-31,101800.0
2000-04-03,52100.0
2000-04-04,102900.0
2000-04-05,69500.0
2000-04-06,93800.0
2000-04-07,34300.0
2000-04-10,21300.0
2000-04-11,32100.0
2000-04-12,40400.0
2000-04-13,139600.0
2000-04-14,76100.0
2000-04-17,63700.0
2000-04-18,43400.0
2000-04-19,37100.0
2000-04-20,14700.0
2000-04-24,19200.0
2000-04-25,78200.0
2000-04-26,11000.0
2000-04-27,34800.0
2000-04-28,27600.0
2000-05-01,21800.0
2000-05-02,19300.0
2000-05-03,3300.0
2000-05-04,95100.0
2000-05-05,18900.0
2000-05-08,16900.0
2000-05-09,21300.0
2000-05-10,39500.0
2000-05-11,16700.0
