date,value
2014-06-06,539.698
2014-06-09,540.5773
2014-06-10,541.3605
2014-06-11,542.046
2014-06-12,542.4109
2014-06-13,542.7775
2014-06-16,542.8364
2014-06-17,542.8432
2014-06-18,543.256
2014-06-19,543.7127
2014-06-20,544.2086
2014-06-23,545.022
2014-06-24,545.7906
2014-06-25,547.0792
2014-06-26,548.2133
2014-06-27,549.3516
2014-06-30,550.3684
2014-07-01,551.6352
2014-07-02,552.8391
2014-07-03,554.0897
2014-07-07,555.194
2014-07-08,555.8174
2014-07-09,556.612
2014-07-10,557.1802
2014-07-11,558.0429
2014-07-14,559.0949
2014-07-15,560.1022
2014-07-16,560.9868
2014-07-17,561.4866
2014-07-18,562.8039
2014-07-21,563.8497
2014-07-22,565.0611
2014-07-23,566.2736
2014-07-24,567.3354
2014-07-25,568.1858
2014-07-28,569.0648
2014-07-29,569.7136
2014-07-30,570.408
2014-07-31,570.4547
2014-08-01,570.2828
2014-08-04,570.3952
2014-08-05,570.1864
2014-08-06,570.0369
2014-08-07,569.775
2014-08-08,569.7356
2014-08-11,569.6628
2014-08-12,569.391
2014-08-13,569.6023
2014-08-14,569.8002
2014-08-15,569.9446
2014-08-18,570.4236
2014-08-19,571.0682
2014-08-20,571.5945
2014-08-21,572.0563
2014-08-22,572.4682
2014-08-25,572.7714
2014-08-26,572.971
2014-08-27,572.8937
2014-08-28,572.7488
2014-08-29,572.7038
2014-09-02,572.8852
2014-09-03,573.0834
2014-09-04,573.4323
2014-09-05,573.9283
2014-09-08,574.5476
2014-09-09,574.801
2014-09-10,575.1264
2014-09-11,575.3705
2014-09-12,575.3803
2014-09-15,575.2909
2014-09-16,575.4736
2014-09-17,575.8381
2014-09-18,576.3649
2014-09-19,577.138
2014-09-22,577.5393
2014-09-23,577.6801
2014-09-24,578.0844
2014-09-25,577.9658
2014-09-26,577.9318
2014-09-29,577.8702
2014-09-30,577.8502
2014-10-01,577.4745
2014-10-02,577.1845
2014-10-03,577.1098
2014-10-06,577.1193
2014-10-07,576.5946
2014-10-08,576.434
2014-10-09,575.824
2014-10-10,574.5953
2014-10-13,572.9723
2014-10-14,571.5985
2014-10-15,569.9684
2014-10-16,568.1857
2014-10-17,565.9498
2014-10-20,564.1808
2014-10-21,562.7046
2014-10-22,561.5284
2014-10-23,560.8402
2014-10-24,560.0143
2014-10-27,559.2596
2014-10-28,558.8534
2014-10-29,558.4799
2014-10-30,558.1595
2014-10-31,558.1956
2014-11-03,558.0789
2014-11-04,557.9233
2014-11-05,557.4526
2014-11-06,556.8482
2014-11-07,556.2271
2014-11-10,555.8844
2014-11-11,555.665
2014-11-12,555.3374
2014-11-13,554.9469
2014-11-14,554.5333
2014-11-17,553.8265
2014-11-18,553.0894
2014-11-19,552.458
2014-11-20,551.7667
2014-11-21,551.2073
2014-11-24,550.7391
2014-11-25,550.3603
2014-11-26,549.9686
2014-11-28,549.6494
2014-12-01,549.0279
2014-12-02,548.4287
2014-12-03,547.7578
2014-12-04,547.3481
2014-12-05,546.4819
2014-12-08,545.7171
2014-12-09,545.2329
2014-12-10,544.481
2014-12-11,543.848
2014-12-12,542.8603
2014-12-15,541.7207
2014-12-16,539.9038
2014-12-17,538.5307
2014-12-18,537.455
2014-12-19,536.6273
2014-12-22,536.1662
2014-12-23,535.9476
2014-12-24,535.6661
2014-12-26,535.6019
2014-12-29,535.3952
2014-12-30,535.2001
2014-12-31,534.855
2015-01-02,534.4611
2015-01-05,533.6536
2015-01-06,532.4107
2015-01-07,531.1828
2015-01-08,530.0651
2015-01-09,528.7358
2015-01-12,527.3168
2015-01-13,526.0957
2015-01-14,525.1065
2015-01-15,524.1921
2015-01-16,523.5603
2015-01-20,522.9069
2015-01-21,522.7161
2015-01-22,523.1739
2015-01-23,523.8318
2015-01-26,524.278
2015-01-27,524.0565
2015-01-28,523.5052
2015-01-29,523.0015
2015-01-30,523.4532
2015-02-02,523.6503
2015-02-03,523.8695
2015-02-04,523.826
2015-02-05,523.9732
2015-02-06,524.2488
2015-02-09,524.3892
2015-02-10,524.8814
2015-02-11,525.3163
2015-02-12,526.007
2015-02-13,526.9091
2015-02-17,527.5338
2015-02-18,528.0109
2015-02-19,528.5936
2015-02-20,528.9998
2015-02-23,529.1139
2015-02-24,529.3875
2015-02-25,529.9554
2015-02-26,530.9564
2015-02-27,532.0326
2015-03-02,533.5741
2015-03-03,535.1453
2015-03-04,536.6443
2015-03-05,538.1614
2015-03-06,539.3192
2015-03-09,540.4772
