date,value
2014-05-14,-7.6574
2014-05-15,-7.486
2014-05-16,-7.2145
2014-05-19,-6.2631
2014-05-20,-5.3737
2014-05-21,-3.8842
2014-05-22,-2.1847
2014-05-23,-0.2188
2014-05-27,2.3809
2014-05-28,4.0499
2014-05-29,5.1838
2014-05-30,5.9979
2014-06-02,6.092
2014-06-03,5.3791
2014-06-04,4.7369
2014-06-05,4.9169
2014-06-06,5.1957
2014-06-09,5.8168
2014-06-10,6.1119
2014-06-11,6.1371
2014-06-12,5.4894
2014-06-13,4.952
2014-06-16,3.8779
2014-06-17,2.8909
2014-06-18,2.911
2014-06-19,3.0157
2014-06-20,3.1798
2014-06-23,3.9574
2014-06-24,4.4952
2014-06-25,5.9845
2014-06-26,6.8718
2014-06-27,7.5875
2014-06-30,7.9055
2014-07-01,8.654
2014-07-02,9.1151
2014-07-03,9.5636
2014-07-07,9.6081
2014-07-08,8.6432
2014-07-09,8.1869
2014-07-10,7.3387
2014-07-11,7.2352
2014-07-14,7.5255
2014-07-15,7.66
2014-07-16,7.509
2014-07-17,6.5927
2014-07-18,7.5028
2014-07-21,7.6829
2014-07-22,8.1568
2014-07-23,8.534
2014-07-24,8.5226
2014-07-25,8.071
2014-07-28,7.7513
2014-07-29,7.0145
2014-07-30,6.5016
2014-07-31,4.7637
2014-08-01,2.9066
2014-08-04,1.9834
2014-08-05,0.5928
2014-08-06,-0.3994
2014-08-07,-1.4126
2014-08-08,-1.7588
2014-08-11,-2.0809
2014-08-12,-2.7205
2014-08-13,-2.2293
2014-08-14,-1.8294
2014-08-15,-1.5886
2014-08-18,-0.6894
2014-08-19,0.3979
2014-08-20,1.0562
2014-08-21,1.4705
2014-08-22,1.7138
2014-08-25,1.6966
2014-08-26,1.4771
2014-08-27,0.7411
2014-08-28,0.0124
2014-08-29,-0.3672
2014-09-02,-0.2034
2014-09-03,-0.024
2014-09-04,0.4391
2014-09-05,1.124
2014-09-08,1.9381
2014-09-09,1.8591
2014-09-10,1.9427
2014-09-11,1.8465
2014-09-12,1.2929
2014-09-15,0.6435
2014-09-16,0.6738
2014-09-17,1.0743
2014-09-18,1.7349
2014-09-19,2.7759
2014-09-22,2.865
2014-09-23,2.4045
2014-09-24,2.5634
2014-09-25,1.6273
2014-09-26,1.0381
2014-09-29,0.5056
2014-09-30,0.1624
2014-10-01,-0.8335
2014-10-02,-1.4598
2014-10-03,-1.5191
2014-10-06,-1.3831
2014-10-07,-2.3465
2014-10-08,-2.3757
2014-10-09,-3.2985
2014-10-10,-5.2914
2014-10-13,-7.6923
2014-10-14,-9.1083
2014-10-15,-10.745
2014-10-16,-12.3451
2014-10-17,-14.5223
2014-10-20,-15.2911
2014-10-21,-15.2646
2014-10-22,-14.5776
2014-10-23,-12.9742
2014-10-24,-11.9052
2014-10-27,-10.853
2014-10-28,-9.2564
2014-10-29,-7.8657
2014-10-30,-6.6083
2014-10-31,-4.8483
2014-11-03,-3.722
2014-11-04,-2.8857
2014-11-05,-2.851
2014-11-06,-3.1008
2014-11-07,-3.3433
2014-11-10,-2.9783
2014-11-11,-2.435
2014-11-12,-2.2194
2014-11-13,-2.179
2014-11-14,-2.2008
2014-11-17,-2.8222
2014-11-18,-3.3949
2014-11-19,-3.6486
2014-11-20,-3.9781
2014-11-21,-3.9779
2014-11-24,-3.7912
2014-11-25,-3.4574
2014-11-26,-3.2131
2014-11-28,-2.8686
2014-12-01,-3.2065
2014-12-02,-3.4388
2014-12-03,-3.7754
2014-12-04,-3.5182
2014-12-05,-4.2379
2014-12-08,-4.6163
2014-12-09,-4.3504
2014-12-10,-4.6756
2014-12-11,-4.6953
2014-12-12,-5.4293
2014-12-15,-6.3303
2014-12-16,-8.4326
2014-12-17,-9.2258
2014-12-18,-9.2467
2014-12-19,-8.739
2014-12-22,-7.5619
2014-12-23,-6.0972
2014-12-24,-5.0253
2014-12-26,-3.7087
2014-12-29,-2.93
2014-12-30,-2.2794
2014-12-31,-2.0644
2015-01-02,-1.9992
2015-01-05,-2.7981
2015-01-06,-4.3421
2015-01-07,-5.571
2015-01-08,-6.3443
2015-01-09,-7.3971
2015-01-12,-8.4265
2015-01-13,-8.8474
2015-01-14,-8.7022
2015-01-15,-8.4159
2015-01-16,-7.5939
2015-01-20,-6.9574
2015-01-21,-5.4908
2015-01-22,-2.975
2015-01-23,-0.5264
2015-01-26,1.0199
2015-01-27,0.8971
2015-01-28,0.1022
2015-01-29,-0.469
2015-01-30,0.9921
2015-02-02,1.6437
2015-02-03,2.1962
2015-02-04,2.087
2015-02-05,2.3623
2015-02-06,2.8238
2015-02-09,2.9003
2015-02-10,3.654
2015-02-11,4.1254
2015-02-12,5.0029
2015-02-13,6.1185
2015-02-17,6.4306
2015-02-18,6.3513
2015-02-19,6.4697
2015-02-20,6.1761
2015-02-23,5.314
2015-02-24,4.9115
2015-02-25,5.1608
2015-02-26,6.2234
2015-02-27,7.218
2015-03-02,8.9472
2015-03-03,10.3835
2015-03-04,11.369
2015-03-05,12.1679
2015-03-06,12.0452
2015-03-09,11.9048
2015-03-10,10.5551
2015-03-11,9.0718
2015-03-12,8.1517
2015-03-13,6.6846
2015-03-16,6.0326
2015-03-17,5.1602
2015-03-18,5.1087
2015-03-19,4.8897
2015-03-20,4.8515
2015-03-23,4.6426
2015-03-24,5.3338
2015-03-25,4.9048
2015-03-26,4.2244
2015-03-27,3.0984
2015-03-30,2.4752
2015-03-31,1.6372
2015-04-01,0.5281
2015-04-02,-0.9077
2015-04-06,-1.9237
2015-04-07,-2.6775
2015-04-08,-2.8714
