date,value
2014-05-14,2.9706
2014-05-15,2.5136
2014-05-16,2.2281
2014-05-19,2.5436
2014-05-20,2.7464
2014-05-21,3.3887
2014-05-22,4.0706
2014-05-23,4.8292
2014-05-27,5.9431
2014-05-28,6.0897
2014-05-29,5.7788
2014-05-30,5.2744
2014-06-02,4.2947
2014-06-03,2.8655
2014-06-04,1.7786
2014-06-05,1.5669
2014-06-06,1.4766
2014-06-09,1.6782
2014-06-10,1.5786
2014-06-11,1.283
2014-06-12,0.5082
2014-06-13,-0.0233
2014-06-16,-0.8779
2014-06-17,-1.492
2014-06-18,-1.1774
2014-06-19,-0.8582
2014-06-20,-0.5553
2014-06-23,0.1778
2014-06-24,0.5725
2014-06-25,1.6495
2014-06-26,2.0294
2014-06-27,2.1961
2014-06-30,2.0112
2014-07-01,2.2078
2014-07-02,2.1351
2014-07-03,2.0669
2014-07-07,1.6891
2014-07-08,0.5794
2014-07-09,0.0984
2014-07-10,-0.5998
2014-07-11,-0.5627
2014-07-14,-0.2179
2014-07-15,-0.0667
2014-07-16,-0.1742
2014-07-17,-0.8724
2014-07-18,0.0302
2014-07-21,0.1682
2014-07-22,0.5137
2014-07-23,0.7128
2014-07-24,0.561
2014-07-25,0.0876
2014-07-28,-0.1857
2014-07-29,-0.738
2014-07-30,-1.0007
2014-07-31,-2.1909
2014-08-01,-3.2384
2014-08-04,-3.3293
2014-08-05,-3.7759
2014-08-06,-3.8144
2014-08-07,-3.8621
2014-08-08,-3.3667
2014-08-11,-2.9511
2014-08-12,-2.8725
2014-08-13,-1.905
2014-08-14,-1.2041
2014-08-15,-0.7706
2014-08-18,0.1028
2014-08-19,0.9521
2014-08-20,1.2883
2014-08-21,1.3621
2014-08-22,1.2843
2014-08-25,1.0137
2014-08-26,0.6354
2014-08-27,-0.0805
2014-08-28,-0.6474
2014-08-29,-0.8216
2014-09-02,-0.5262
2014-09-03,-0.2774
2014-09-04,0.1485
2014-09-05,0.6667
2014-09-08,1.1847
2014-09-09,0.8845
2014-09-10,0.7745
2014-09-11,0.5426
2014-09-12,-0.0087
2014-09-15,-0.5265
2014-09-16,-0.397
2014-09-17,0.0028
2014-09-18,0.5307
2014-09-19,1.2574
2014-09-22,1.0772
2014-09-23,0.4933
2014-09-24,0.5218
2014-09-25,-0.3314
2014-09-26,-0.7365
2014-09-29,-1.0152
2014-09-30,-1.0867
2014-10-01,-1.6661
2014-10-02,-1.8339
2014-10-03,-1.5146
2014-10-06,-1.1029
2014-10-07,-1.653
2014-10-08,-1.3458
2014-10-09,-1.8149
2014-10-10,-3.0462
2014-10-13,-4.3577
2014-10-14,-4.619
2014-10-15,-5.0045
2014-10-16,-5.2837
2014-10-17,-5.9687
2014-10-20,-5.3901
2014-10-21,-4.2908
2014-10-22,-2.8831
2014-10-23,-1.0237
2014-10-24,0.0362
2014-10-27,0.8707
2014-10-28,1.9739
2014-10-29,2.6916
2014-10-30,3.1592
2014-10-31,3.9354
2014-11-03,4.0494
2014-11-04,3.9085
2014-11-05,3.1546
2014-11-06,2.3239
2014-11-07,1.6651
2014-11-10,1.624
2014-11-11,1.7339
2014-11-12,1.5596
2014-11-13,1.2799
2014-11-14,1.0065
2014-11-17,0.3081
2014-11-18,-0.2117
2014-11-19,-0.3723
2014-11-20,-0.5614
2014-11-21,-0.449
2014-11-24,-0.2098
2014-11-25,0.0992
2014-11-26,0.2748
2014-11-28,0.4955
2014-12-01,0.126
2014-12-02,-0.085
2014-12-03,-0.3373
2014-12-04,-0.0641
2014-12-05,-0.6271
2014-12-08,-0.8043
2014-12-09,-0.4307
2014-12-10,-0.6048
2014-12-11,-0.4995
2014-12-12,-0.9869
2014-12-15,-1.5103
2014-12-16,-2.8901
2014-12-17,-2.9466
2014-12-18,-2.374
2014-12-19,-1.493
2014-12-22,-0.2527
2014-12-23,0.9696
2014-12-24,1.6331
2014-12-26,2.3598
2014-12-29,2.5108
2014-12-30,2.5291
2014-12-31,2.1953
2015-01-02,1.8084
2015-01-05,0.8076
2015-01-06,-0.5892
2015-01-07,-1.4544
2015-01-08,-1.7822
2015-01-09,-2.268
2015-01-12,-2.6379
2015-01-13,-2.447
2015-01-14,-1.8415
2015-01-15,-1.2441
2015-01-16,-0.3377
2015-01-20,0.239
2015-01-21,1.3645
2015-01-22,3.1043
2015-01-23,4.4423
2015-01-26,4.7908
2015-01-27,3.7344
2015-01-28,2.3517
2015-01-29,1.4243
2015-01-30,2.3084
2015-02-02,2.368
2015-02-03,2.3364
2015-02-04,1.7818
2015-02-05,1.6456
2015-02-06,1.6857
2015-02-09,1.4098
2015-02-10,1.7307
2015-02-11,1.7617
2015-02-12,2.1114
2015-02-13,2.5816
2015-02-17,2.3149
2015-02-18,1.7885
2015-02-19,1.5256
2015-02-20,0.9855
2015-02-23,0.0988
2015-02-24,-0.243
2015-02-25,0.005
2015-02-26,0.8542
2015-02-27,1.479
2015-03-02,2.5666
2015-03-03,3.2023
2015-03-04,3.3502
2015-03-05,3.3193
2015-03-06,2.5573
2015-03-09,1.9335
2015-03-10,0.467
2015-03-11,-0.813
2015-03-12,-1.3865
2015-03-13,-2.2829
2015-03-16,-2.3479
2015-03-17,-2.5762
2015-03-18,-2.1022
2015-03-19,-1.8569
2015-03-20,-1.5161
2015-03-23,-1.38
2015-03-24,-0.551
2015-03-25,-0.784
2015-03-26,-1.1716
2015-03-27,-1.8381
2015-03-30,-1.969
2015-03-31,-2.2456
2015-04-01,-2.6838
2015-04-02,-3.2956
2015-04-06,-3.4493
2015-04-07,-3.3625
2015-04-08,-2.8451
2015-04-09,-2.4244
2015-04-10,-2.077
2015-04-13,-1.7935
2015-04-14,-2.0675
2015-04-15,-1.975
2015-04-16,-1.7086
2015-04-17,-2.0466
2015-04-20,-1.3958
2015-04-21,-0.9691
2015-04-22,-0.2689
2015-04-23,0.7098
2015-04-24,2.4752
2015-04-27,2.8648
2015-04-28,2.8754
2015-04-29,2.4559
2015-04-30,1.3273
2015-05-01,0.5956
2015-05-04,0.2975
2015-05-05,-0.5344
2015-05-06,-1.4392
2015-05-07,-1.5055
2015-05-08,-0.9729
2015-05-11,-0.7314
2015-05-12,-0.9475
2015-05-13,-0.9749
2015-05-14,-0.3572
2015-05-15,-0.2172
2015-05-18,-0.1922
