date,value
2014-05-14,-10.628
2014-05-15,-9.9996
2014-05-16,-9.4426
2014-05-19,-8.8067
2014-05-20,-8.1201
2014-05-21,-7.2729
2014-05-22,-6.2553
2014-05-23,-5.048
2014-05-27,-3.5622
2014-05-28,-2.0398
2014-05-29,-0.5951
2014-05-30,0.7235
2014-06-02,1.7972
2014-06-03,2.5136
2014-06-04,2.9583
2014-06-05,3.35
2014-06-06,3.7191
2014-06-09,4.1387
2014-06-10,4.5333
2014-06-11,4.8541
2014-06-12,4.9811
2014-06-13,4.9753
2014-06-16,4.7558
2014-06-17,4.3828
2014-06-18,4.0885
2014-06-19,3.8739
2014-06-20,3.7351
2014-06-23,3.7796
2014-06-24,3.9227
2014-06-25,4.3351
2014-06-26,4.8424
2014-06-27,5.3914
2014-06-30,5.8942
2014-07-01,6.4462
2014-07-02,6.98
2014-07-03,7.4967
2014-07-07,7.919
2014-07-08,8.0638
2014-07-09,8.0884
2014-07-10,7.9385
2014-07-11,7.7978
2014-07-14,7.7434
2014-07-15,7.7267
2014-07-16,7.6831
2014-07-17,7.4651
2014-07-18,7.4726
2014-07-21,7.5147
2014-07-22,7.6431
2014-07-23,7.8213
2014-07-24,7.9615
2014-07-25,7.9834
2014-07-28,7.937
2014-07-29,7.7525
2014-07-30,7.5023
2014-07-31,6.9546
2014-08-01,6.145
2014-08-04,5.3127
2014-08-05,4.3687
2014-08-06,3.4151
2014-08-07,2.4496
2014-08-08,1.6079
2014-08-11,0.8701
2014-08-12,0.152
2014-08-13,-0.3242
2014-08-14,-0.6253
2014-08-15,-0.8179
2014-08-18,-0.7922
2014-08-19,-0.5542
2014-08-20,-0.2321
2014-08-21,0.1084
2014-08-22,0.4295
2014-08-25,0.6829
2014-08-26,0.8417
2014-08-27,0.8216
2014-08-28,0.6598
2014-08-29,0.4544
2014-09-02,0.3228
2014-09-03,0.2535
2014-09-04,0.2906
2014-09-05,0.4573
2014-09-08,0.7534
2014-09-09,0.9746
2014-09-10,1.1682
2014-09-11,1.3038
2014-09-12,1.3017
2014-09-15,1.17
2014-09-16,1.0708
2014-09-17,1.0715
2014-09-18,1.2042
2014-09-19,1.5185
2014-09-22,1.7878
2014-09-23,1.9111
2014-09-24,2.0416
2014-09-25,1.9588
2014-09-26,1.7746
2014-09-29,1.5208
2014-09-30,1.2491
2014-10-01,0.8326
2014-10-02,0.3741
2014-10-03,-0.0045
2014-10-06,-0.2802
2014-10-07,-0.6935
2014-10-08,-1.0299
2014-10-09,-1.4836
2014-10-10,-2.2452
2014-10-13,-3.3346
2014-10-14,-4.4893
2014-10-15,-5.7405
2014-10-16,-7.0614
2014-10-17,-8.5536
2014-10-20,-9.9011
2014-10-21,-10.9738
2014-10-22,-11.6945
2014-10-23,-11.9505
2014-10-24,-11.9414
2014-10-27,-11.7237
2014-10-28,-11.2303
2014-10-29,-10.5574
2014-10-30,-9.7675
2014-10-31,-8.7837
2014-11-03,-7.7714
2014-11-04,-6.7942
2014-11-05,-6.0056
2014-11-06,-5.4246
2014-11-07,-5.0084
2014-11-10,-4.6023
2014-11-11,-4.1689
2014-11-12,-3.779
2014-11-13,-3.459
2014-11-14,-3.2074
2014-11-17,-3.1303
2014-11-18,-3.1832
2014-11-19,-3.2763
2014-11-20,-3.4167
2014-11-21,-3.5289
2014-11-24,-3.5814
2014-11-25,-3.5566
2014-11-26,-3.4879
2014-11-28,-3.364
2014-12-01,-3.3325
2014-12-02,-3.3538
2014-12-03,-3.4381
2014-12-04,-3.4541
2014-12-05,-3.6109
2014-12-08,-3.812
2014-12-09,-3.9197
2014-12-10,-4.0708
2014-12-11,-4.1957
2014-12-12,-4.4424
2014-12-15,-4.82
2014-12-16,-5.5425
2014-12-17,-6.2792
2014-12-18,-6.8727
2014-12-19,-7.246
2014-12-22,-7.3091
2014-12-23,-7.0667
2014-12-24,-6.6585
2014-12-26,-6.0685
2014-12-29,-5.4408
2014-12-30,-4.8085
2014-12-31,-4.2597
2015-01-02,-3.8076
2015-01-05,-3.6057
2015-01-06,-3.753
2015-01-07,-4.1166
2015-01-08,-4.5621
2015-01-09,-5.1291
2015-01-12,-5.7886
2015-01-13,-6.4004
2015-01-14,-6.8607
2015-01-15,-7.1718
2015-01-16,-7.2562
2015-01-20,-7.1964
2015-01-21,-6.8553
2015-01-22,-6.0792
2015-01-23,-4.9687
2015-01-26,-3.771
2015-01-27,-2.8374
2015-01-28,-2.2494
2015-01-29,-1.8934
2015-01-30,-1.3163
2015-02-02,-0.7243
2015-02-03,-0.1402
2015-02-04,0.3053
2015-02-05,0.7167
2015-02-06,1.1381
2015-02-09,1.4905
2015-02-10,1.9232
2015-02-11,2.3637
2015-02-12,2.8915
2015-02-13,3.5369
2015-02-17,4.1156
2015-02-18,4.5628
2015-02-19,4.9442
2015-02-20,5.1905
2015-02-23,5.2152
2015-02-24,5.1545
2015-02-25,5.1557
2015-02-26,5.3693
2015-02-27,5.739
2015-03-02,6.3807
2015-03-03,7.1812
2015-03-04,8.0188
2015-03-05,8.8486
2015-03-06,9.4879
2015-03-09,9.9713
2015-03-10,10.0881
2015-03-11,9.8848
2015-03-12,9.5382
2015-03-13,8.9675
2015-03-16,8.3805
2015-03-17,7.7364
2015-03-18,7.2109
2015-03-19,6.7467
2015-03-20,6.3676
2015-03-23,6.0226
2015-03-24,5.8849
2015-03-25,5.6889
2015-03-26,5.396
2015-03-27,4.9364
2015-03-30,4.4442
2015-03-31,3.8828
2015-04-01,3.2119
2015-04-02,2.3879
