date,value
2014-06-09,50.5273
2014-06-10,50.2951
2014-06-11,50.0396
2014-06-12,48.9284
2014-06-13,48.9917
2014-06-16,47.8873
2014-06-17,47.7011
2014-06-18,49.3415
2014-06-19,49.5798
2014-06-20,49.8097
2014-06-23,51.1471
2014-06-24,51.0938
2014-06-25,53.2119
2014-06-26,52.7714
2014-06-27,52.9573
2014-06-30,52.6232
2014-07-01,53.7461
2014-07-02,53.6872
2014-07-03,54.0543
2014-07-07,53.6053
2014-07-08,51.6361
2014-07-09,52.4334
2014-07-10,51.5677
2014-07-11,52.8563
2014-07-14,53.7408
2014-07-15,53.7245
2014-07-16,53.3364
2014-07-17,51.7303
2014-07-18,55.0337
2014-07-21,54.042
2014-07-22,54.8224
2014-07-23,55.0058
2014-07-24,54.5267
2014-07-25,53.7403
2014-07-28,53.9874
2014-07-29,53.0738
2014-07-30,53.3659
2014-07-31,50.5592
2014-08-01,49.6282
2014-08-04,50.8115
2014-08-05,49.4585
2014-08-06,49.6791
2014-08-07,49.1728
2014-08-08,50.1043
2014-08-11,49.9506
2014-08-12,49.0621
2014-08-13,51.1372
2014-08-14,51.1143
2014-08-15,50.9047
2014-08-18,52.3825
2014-08-19,53.1616
2014-08-20,52.7178
2014-08-21,52.5064
2014-08-22,52.3515
2014-08-25,51.8964
2014-08-26,51.4439
2014-08-27,50.1361
2014-08-28,49.7972
2014-08-29,50.2547
2014-09-02,51.3352
2014-09-03,51.4498
2014-09-04,52.2101
2014-09-05,52.9727
2014-09-08,53.6429
2014-09-09,51.8391
2014-09-10,52.2324
2014-09-11,51.8705
2014-09-12,50.6969
2014-09-15,50.1873
2014-09-16,51.5384
2014-09-17,52.4642
2014-09-18,53.3139
2014-09-19,54.5679
2014-09-22,52.7198
2014-09-23,51.446
2014-09-24,52.7273
2014-09-25,50.1805
2014-09-26,50.5649
2014-09-29,50.4209
2014-09-30,50.6148
2014-10-01,48.8427
2014-10-02,49.204
2014-10-03,50.2346
2014-10-06,50.6413
2014-10-07,48.0087
2014-10-08,49.7252
2014-10-09,47.5981
2014-10-10,44.8375
2014-10-13,43.0827
2014-10-14,44.0201
2014-10-15,42.8167
2014-10-16,41.9992
2014-10-17,40.1105
2014-10-20,42.0385
2014-10-21,43.1395
2014-10-22,44.308
2014-10-23,46.3624
2014-10-24,45.721
2014-10-27,45.901
2014-10-28,47.3638
2014-10-29,47.4405
2014-10-30,47.618
2014-10-31,49.1852
2014-11-03,48.5331
2014-11-04,48.345
2014-11-05,46.9744
2014-11-06,46.3393
2014-11-07,46.1702
2014-11-10,47.4023
2014-11-11,47.9278
2014-11-12,47.4133
2014-11-13,47.0794
2014-11-14,46.9082
2014-11-17,45.5475
2014-11-18,45.296
2014-11-19,45.7012
2014-11-20,45.3237
2014-11-21,45.8874
2014-11-24,46.2623
2014-11-25,46.6479
2014-11-26,46.5143
2014-11-28,46.8338
2014-12-01,45.3146
2014-12-02,45.3052
2014-12-03,44.8469
2014-12-04,46.2154
2014-12-05,43.9756
2014-12-08,44.3683
2014-12-09,45.8083
2014-12-10,44.4648
2014-12-11,44.9784
2014-12-12,43.2457
2014-12-15,42.4087
2014-12-16,39.4569
2014-12-17,41.5974
2014-12-18,42.9429
2014-12-19,44.0548
2014-12-22,45.8037
2014-12-23,46.9401
2014-12-24,46.6227
2014-12-26,47.6663
2014-12-29,47.0066
2014-12-30,47.0248
2014-12-31,46.3002
2015-01-02,46.014
2015-01-05,44.1004
2015-01-06,42.1529
2015-01-07,42.0162
2015-01-08,42.3666
2015-01-09,41.3168
2015-01-12,40.744
2015-01-13,41.5729
2015-01-14,42.6309
2015-01-15,42.8381
2015-01-16,44.2429
2015-01-20,44.0357
2015-01-21,46.4513
2015-01-22,49.7026
2015-01-23,50.7404
2015-01-26,49.8457
2015-01-27,46.8943
2015-01-28,45.4644
2015-01-29,45.5939
2015-01-30,49.9744
2015-02-02,48.9562
2015-02-03,49.0894
2015-02-04,47.9998
2015-02-05,48.8614
2015-02-06,49.4675
2015-02-09,48.9191
2015-02-10,50.5275
2015-02-11,50.3553
2015-02-12,51.5644
2015-02-13,52.5936
2015-02-17,51.4613
2015-02-18,50.8923
2015-02-19,51.4453
2015-02-20,50.7245
2015-02-23,49.4546
2015-02-24,50.2098
2015-02-25,51.5837
2015-02-26,53.536
2015-02-27,54.0119
2015-03-02,56.0476
2015-03-03,56.3977
2015-03-04,56.3439
2015-03-05,56.65
2015-03-06,55.1121
2015-03-09,55.3008
2015-03-10,52.6196
2015-03-11,51.9089
2015-03-12,52.6467
2015-03-13,51.1326
2015-03-16,52.36
2015-03-17,51.6838
2015-03-18,53.1408
2015-03-19,52.8572
2015-03-20,53.2567
2015-03-23,52.9572
2015-03-24,54.859
2015-03-25,52.681
2015-03-26,52.0131
2015-03-27,50.7721
2015-03-30,51.4112
2015-03-31,50.678
2015-04-01,49.7017
2015-04-02,48.4703
2015-04-06,48.6981
2015-04-07,48.7459
2015-04-08,49.6073
2015-04-09,49.454
2015-04-10,49.3096
2015-04-13,49.15
2015-04-14,47.5092
2015-04-15,47.9414
2015-04-16,48.1997
2015-04-17,46.3963
2015-04-20,48.6735
2015-04-21,48.4123
2015-04-22,49.4708
2015-04-23,50.925
2015-04-24,54.1125
2015-04-27,52.2543
2015-04-28,51.9369
2015-04-29,51.0752
2015-04-30,48.9599
2015-05-01,49.0625
2015-05-04,49.5947
2015-05-05,47.8278
2015-05-06,46.7083
2015-05-07,47.933
2015-05-08,49.3125
2015-05-11,48.8697
2015-05-12,47.7145
2015-05-13,47.8241
2015-05-14,49.4606
2015-05-15,48.6536
2015-05-18,48.3793
2015-05-19,49.3311
2015-05-20,49.6884
2015-05-21,50.2952
2015-05-22,49.8409
2015-05-26,48.393
2015-05-27,49.8194
2015-05-28,49.8175
2015-05-29,48.3877
2015-06-01,48.7556
2015-06-02,49.7642
2015-06-03,49.9829
2015-06-04,49.2834
2015-06-05,48.6351
2015-06-08,47.4077
2015-06-09,47.3814
2015-06-10,49.4249
2015-06-11,49.0208
2015-06-12,48.5766
2015-06-15,47.5866
2015-06-16,47.7877
2015-06-17,48.0254
2015-06-18,49.6012
2015-06-19,49.593
2015-06-22,49.9105
2015-06-23,50.3972
2015-06-24,49.8277
2015-06-25,49.266
2015-06-26,48.5093
2015-06-29,46.4191
2015-06-30,46.2173
2015-07-01,46.5296
2015-07-02,46.8988
2015-07-06,46.7847
2015-07-07,47.3078
2015-07-08,45.5744
2015-07-09,46.5145
2015-07-10,48.7324
2015-07-13,52.2436
2015-07-14,55.0286
2015-07-15,54.8313
2015-07-16,58.24
2015-07-17,69.4098
2015-07-20,67.4498
2015-07-21,67.3089
2015-07-22,67.2691
2015-07-23,63.8344
2015-07-24,60.1883
2015-07-27,60.5984
2015-07-28,60.681
2015-07-29,61.123
2015-07-30,61.1977
2015-07-31,59.9538
2015-08-03,60.6093
2015-08-04,60.2571
2015-08-05,61.9307
2015-08-06,61.7299
2015-08-07,60.3893
2015-08-10,60.106
2015-08-11,63.146
2015-08-12,62.9254
2015-08-13,62.3585
2015-08-14,62.4329
2015-08-17,62.8522
2015-08-18,61.9602
2015-08-19,62.5066
2015-08-20,59.9161
2015-08-21,54.3089
2015-08-24,51.0625
2015-08-25,50.0545
2015-08-26,55.573
2015-08-27,56.5196
2015-08-28,55.5484
2015-08-31,53.9609
2015-09-01,51.4312
2015-09-02,53.2406
2015-09-03,52.2693
2015-09-04,51.6102
2015-09-08,53.1272
2015-09-09,52.8921
2015-09-10,53.8199
2015-09-11,54.2904
2015-09-14,53.9692
2015-09-15,55.24
2015-09-16,55.3288
2015-09-17,56.0618
2015-09-18,54.2694
2015-09-21,54.9361
2015-09-22,53.3028
2015-09-23,53.261
2015-09-24,53.6478
2015-09-25,51.8861
2015-09-28,49.8242
