date,value
2014-06-06,539.698
2014-06-09,539.7712
2014-06-10,539.7824
2014-06-11,539.8198
2014-06-12,539.5036
2014-06-13,539.1988
2014-06-16,538.6896
2014-06-17,538.687
2014-06-18,538.9914
2014-06-19,538.9914
2014-06-20,538.8358
2014-06-23,539.3158
2014-06-24,539.9962
2014-06-25,540.9188
2014-06-26,541.71
2014-06-27,542.124
2014-06-30,542.9076
2014-07-01,543.9886
2014-07-02,544.9391
2014-07-03,546.0949
2014-07-07,547.2367
2014-07-08,548.3349
2014-07-09,549.5135
2014-07-10,550.3815
2014-07-11,551.4319
2014-07-14,552.5023
2014-07-15,553.6393
2014-07-16,554.7363
2014-07-17,555.9081
2014-07-18,557.6105
2014-07-21,559.1799
2014-07-22,560.7001
2014-07-23,562.0213
2014-07-24,563.2265
2014-07-25,564.4739
2014-07-28,565.8863
2014-07-29,567.1859
2014-07-30,568.3571
2014-07-31,569.1937
2014-08-01,569.7363
2014-08-04,570.2981
2014-08-05,570.5455
2014-08-06,570.554
2014-08-07,570.5876
2014-08-08,570.7614
2014-08-11,570.9212
2014-08-12,571.0972
2014-08-13,571.694
2014-08-14,572.2938
2014-08-15,572.6854
2014-08-18,573.202
2014-08-19,573.6968
2014-08-20,574.1756
2014-08-21,574.6662
2014-08-22,575.2904
2014-08-25,575.8592
2014-08-26,576.5308
2014-08-27,577.0906
2014-08-28,577.4072
2014-08-29,577.7412
2014-09-02,578.1606
2014-09-03,578.4204
2014-09-04,578.7676
2014-09-05,578.9162
2014-09-08,579.1906
2014-09-09,579.266
2014-09-10,579.4224
2014-09-11,579.396
2014-09-12,579.2617
2014-09-15,579.0291
2014-09-16,578.9831
2014-09-17,579.2567
2014-09-18,579.5205
2014-09-19,580.0201
2014-09-22,580.1839
2014-09-23,580.1091
2014-09-24,580.1733
2014-09-25,580.0213
2014-09-26,580.0887
2014-09-29,579.7143
2014-09-30,579.4721
2014-10-01,578.9427
2014-10-02,578.4247
2014-10-03,578.0633
2014-10-06,577.8299
2014-10-07,577.2927
2014-10-08,577.0305
2014-10-09,576.4997
2014-10-10,575.9575
2014-10-13,575.3003
2014-10-14,574.5961
2014-10-15,573.8953
2014-10-16,573.058
2014-10-17,572.0142
2014-10-20,571.0556
2014-10-21,570.2288
2014-10-22,569.6284
2014-10-23,569.0124
2014-10-24,568.315
2014-10-27,567.6608
2014-10-28,566.9956
2014-10-29,566.245
2014-10-30,565.5614
2014-10-31,565.0756
2014-11-03,564.5288
2014-11-04,564.007
2014-11-05,563.3682
2014-11-06,562.789
2014-11-07,562.2252
2014-11-10,561.743
2014-11-11,561.2022
2014-11-12,560.5896
2014-11-13,559.8576
2014-11-14,559.024
2014-11-17,557.9598
2014-11-18,557.0402
2014-11-19,556.118
2014-11-20,555.1876
2014-11-21,554.4252
2014-11-24,553.7486
2014-11-25,552.9712
2014-11-26,552.0832
2014-11-28,551.1344
2014-12-01,549.8888
2014-12-02,548.8164
2014-12-03,547.8202
2014-12-04,546.8066
2014-12-05,545.8106
2014-12-08,544.8082
2014-12-09,543.9484
2014-12-10,542.9224
2014-12-11,542.1238
2014-12-12,541.0954
2014-12-15,539.8658
2014-12-16,538.2266
2014-12-17,537.0496
2014-12-18,535.8216
2014-12-19,534.931
2014-12-22,534.5386
2014-12-23,534.4862
2014-12-24,534.3028
2014-12-26,534.3828
2014-12-29,534.4992
2014-12-30,534.8842
2014-12-31,534.9954
2015-01-02,534.9608
2015-01-05,534.584
2015-01-06,533.7436
2015-01-07,532.97
2015-01-08,532.2082
2015-01-09,531.1536
2015-01-12,530.018
2015-01-13,528.9354
2015-01-14,527.7712
2015-01-15,526.7026
2015-01-16,525.782
2015-01-20,525.0016
2015-01-21,524.5216
2015-01-22,524.3892
2015-01-23,524.2384
2015-01-26,523.9368
2015-01-27,523.3632
2015-01-28,522.6556
2015-01-29,521.9808
2015-01-30,521.941
2015-02-02,521.81
2015-02-03,521.655
2015-02-04,521.4136
2015-02-05,521.2152
2015-02-06,521.0498
2015-02-09,520.7848
2015-02-10,520.7162
2015-02-11,520.599
2015-02-12,520.7816
2015-02-13,521.0868
2015-02-17,521.3172
2015-02-18,521.365
2015-02-19,521.7172
2015-02-20,521.9566
2015-02-23,521.9274
2015-02-24,522.128
2015-02-25,522.4386
2015-02-26,523.175
2015-02-27,524.067
2015-03-02,525.586
2015-03-03,526.961
2015-03-04,528.2064
2015-03-05,529.386
2015-03-06,530.2423
2015-03-09,531.0075
2015-03-10,531.5323
2015-03-11,531.8753
2015-03-12,532.3789
2015-03-13,532.7169
2015-03-16,533.2791
2015-03-17,533.7997
2015-03-18,534.7123
2015-03-19,535.8329
2015-03-20,537.0181
2015-03-23,538.1407
2015-03-24,539.6211
2015-03-25,540.9458
2015-03-26,542.1256
2015-03-27,543.075
2015-03-30,544.0798
2015-03-31,544.8782
2015-04-01,545.5914
2015-04-02,545.9412
2015-04-06,545.9887
2015-04-07,545.9301
2015-04-08,546.0581
2015-04-09,546.5011
2015-04-10,547.1013
2015-04-13,547.6715
2015-04-14,547.5889
2015-04-15,547.6699
2015-04-16,547.7611
2015-04-17,547.7869
2015-04-20,547.9429
2015-04-21,548.0023
2015-04-22,548.233
2015-04-23,548.4342
2015-04-24,549.016
2015-04-27,549.2648
2015-04-28,549.3582
2015-04-29,549.483
2015-04-30,549.4358
2015-05-01,549.3364
2015-05-04,549.373
2015-05-05,549.3508
2015-05-06,549.1134
2015-05-07,548.85
2015-05-08,548.5048
2015-05-11,548.0508
2015-05-12,547.2048
2015-05-13,546.3244
2015-05-14,545.625
2015-05-15,544.7954
2015-05-18,544.0877
2015-05-19,543.4579
2015-05-20,543.1431
2015-05-21,542.9697
2015-05-22,542.6617
2015-05-26,542.3617
2015-05-27,542.0673
2015-05-28,541.8461
2015-05-29,541.2983
2015-06-01,540.8183
2015-06-02,540.3947
2015-06-03,540.0247
2015-06-04,539.3549
2015-06-05,538.8458
2015-06-08,538.279
2015-06-09,537.846
2015-06-10,537.5392
2015-06-11,537.2714
2015-06-12,537.0668
2015-06-15,536.9002
2015-06-16,536.7279
2015-06-17,536.5727
2015-06-18,536.4751
2015-06-19,536.3933
2015-06-22,536.3569
2015-06-23,536.3831
2015-06-24,536.5321
2015-06-25,536.5861
2015-06-26,536.5439
2015-06-29,536.4933
2015-06-30,536.1959
2015-07-01,535.9533
2015-07-02,535.634
2015-07-06,535.1512
2015-07-07,534.3504
2015-07-08,533.5796
2015-07-09,532.9196
2015-07-10,532.5406
2015-07-13,532.7248
2015-07-14,533.1888
2015-07-15,533.5776
2015-07-16,534.5586
2015-07-17,537.5328
2015-07-20,540.1792
2015-07-21,542.6608
2015-07-22,545.1888
2015-07-23,547.4936
2015-07-24,549.3724
2015-07-27,551.1496
2015-07-28,553.0326
2015-07-29,555.0252
2015-07-30,556.9298
2015-07-31,558.6566
2015-08-03,560.4306
2015-08-04,562.2134
2015-08-05,564.4426
2015-08-06,566.5004
2015-08-07,568.4108
2015-08-10,570.4432
2015-08-11,572.979
2015-08-12,575.3866
2015-08-13,577.7094
2015-08-14,580.1178
2015-08-17,582.6686
2015-08-18,585.2546
2015-08-19,587.9388
2015-08-20,590.1416
2015-08-21,591.699
2015-08-24,592.8446
2015-08-25,593.9418
2015-08-26,595.9512
2015-08-27,598.1182
2015-08-28,599.9912
2015-08-31,601.6224
2015-09-01,602.8144
2015-09-02,604.2916
2015-09-03,605.6598
2015-09-04,606.9692
2015-09-08,608.6286
2015-09-09,610.4526
2015-09-10,612.4694
2015-09-11,614.548
2015-09-14,616.5448
2015-09-15,618.7904
2015-09-16,621.0096
2015-09-17,623.531
2015-09-18,625.7024
2015-09-21,627.8086
2015-09-22,629.3314
2015-09-23,630.5566
2015-09-24,631.8682
2015-09-25,632.5106
2015-09-28,630.9498
2015-09-29,629.5888
2015-09-30,628.5112
2015-10-01,627.495
2015-10-02,627.1476
2015-10-05,627.5058
2015-10-06,627.8694
2015-10-07,628.1566
2015-10-08,628.3012
2015-10-09,628.5216
2015-10-12,628.9428
2015-10-13,629.3646
2015-10-14,629.8028
2015-10-15,630.162
2015-10-16,630.5524
2015-10-19,631.1684
2015-10-20,631.4994
2015-10-21,631.136
2015-10-22,630.9806
2015-10-23,631.8916
2015-10-26,633.0048
2015-10-27,633.9572
2015-10-28,635.0936
2015-10-29,636.214
2015-10-30,637.4936
2015-11-02,639.6662
2015-11-03,642.3172
2015-11-04,645.2382
2015-11-05,647.2908
2015-11-06,649.2138
2015-11-09,651.104
2015-11-10,653.3054
2015-11-11,656.0576
2015-11-12,658.3954
2015-11-13,660.6104
