date,value
2014-04-08,16.1483
2014-04-09,22.5157
2014-04-10,31.7793
2014-04-11,37.2401
2014-04-14,30.7692
2014-04-15,24.0723
2014-04-16,28.1073
2014-04-17,40.636
2014-04-21,50.6054
2014-04-22,48.2702
2014-04-23,37.9515
2014-04-24,27.2669
2014-04-25,16.6335
2014-04-28,14.7684
2014-04-29,22.2696
2014-04-30,42.8995
2014-05-01,65.27
2014-05-02,80.0145
2014-05-05,83.9885
2014-05-06,71.5835
2014-05-07,52.5947
2014-05-08,31.14
2014-05-09,26.8169
2014-05-12,37.6219
2014-05-13,60.175
2014-05-14,77.2079
2014-05-15,80.1536
2014-05-16,68.4801
2014-05-19,55.0776
2014-05-20,49.3302
2014-05-21,59.0904
2014-05-22,72.4554
2014-05-23,86.8261
2014-05-27,93.0943
2014-05-28,95.3294
2014-05-29,91.505
2014-05-30,83.9357
2014-06-02,72.3084
2014-06-03,56.7031
2014-06-04,39.8918
2014-06-05,31.4933
2014-06-06,37.7383
2014-06-09,56.9861
2014-06-10,75.2053
2014-06-11,85.1865
2014-06-12,78.3848
2014-06-13,63.3554
2014-06-16,41.835
2014-06-17,28.8147
2014-06-18,26.2645
2014-06-19,40.3261
2014-06-20,62.8975
2014-06-23,83.6567
2014-06-24,91.7225
2014-06-25,91.6896
2014-06-26,86.7135
2014-06-27,85.8399
2014-06-30,81.4334
2014-07-01,80.474
2014-07-02,77.9685
2014-07-03,81.7542
2014-07-07,81.3324
2014-07-08,75.5367
2014-07-09,61.714
2014-07-10,46.8898
2014-07-11,42.563
2014-07-14,48.7042
2014-07-15,66.2259
2014-07-16,80.1439
2014-07-17,80.533
2014-07-18,73.387
2014-07-21,65.0445
2014-07-22,71.2306
2014-07-23,76.9113
2014-07-24,81.6776
2014-07-25,73.5303
2014-07-28,60.5822
2014-07-29,43.0222
2014-07-30,31.6924
2014-07-31,22.2282
2014-08-01,18.2033
2014-08-04,15.931
2014-08-05,17.4558
2014-08-06,21.0181
2014-08-07,21.1093
2014-08-08,26.3057
2014-08-11,34.0281
2014-08-12,44.1694
2014-08-13,53.575
2014-08-14,60.4118
2014-08-15,71.4856
2014-08-18,77.0251
2014-08-19,82.6303
2014-08-20,85.1636
2014-08-21,87.1175
2014-08-22,82.8243
2014-08-25,69.2406
2014-08-26,50.0912
2014-08-27,29.6092
2014-08-28,16.4449
2014-08-29,11.766
2014-09-02,19.937
2014-09-03,34.7202
2014-09-04,54.0453
2014-09-05,69.393
2014-09-08,80.8583
2014-09-09,81.6097
2014-09-10,73.0299
2014-09-11,55.6745
2014-09-12,39.8515
2014-09-15,28.2543
2014-09-16,27.9001
2014-09-17,39.5674
2014-09-18,61.5936
2014-09-19,81.1573
2014-09-22,89.2698
2014-09-23,79.5326
2014-09-24,61.6196
2014-09-25,39.9504
2014-09-26,27.9371
2014-09-29,19.6006
2014-09-30,20.9745
2014-10-01,21.2116
2014-10-02,24.9454
2014-10-03,29.7054
2014-10-06,43.5886
2014-10-07,51.7717
2014-10-08,54.696
2014-10-09,42.2556
2014-10-10,33.9635
2014-10-13,19.5518
2014-10-14,12.0718
2014-10-15,7.0415
2014-10-16,11.155
2014-10-17,14.9491
2014-10-20,17.5962
2014-10-21,24.3516
2014-10-22,39.6198
2014-10-23,60.2867
2014-10-24,75.4692
2014-10-27,82.6772
2014-10-28,84.1919
2014-10-29,84.182
2014-10-30,84.4431
2014-10-31,83.6305
2014-11-03,83.8816
2014-11-04,82.4918
2014-11-05,72.0972
2014-11-06,53.6812
2014-11-07,30.7182
2014-11-10,20.6954
2014-11-11,24.9341
2014-11-12,41.0367
2014-11-13,53.6143
2014-11-14,56.0275
2014-11-17,46.8458
2014-11-18,32.4892
2014-11-19,22.2692
2014-11-20,19.4189
2014-11-21,26.8875
2014-11-24,38.0996
2014-11-25,53.2679
2014-11-26,65.0676
2014-11-28,72.8318
2014-12-01,67.968
2014-12-02,56.2093
2014-12-03,37.8313
2014-12-04,31.9143
2014-12-05,28.4445
2014-12-08,32.2509
2014-12-09,31.8772
2014-12-10,36.9958
2014-12-11,44.1823
2014-12-12,41.6106
2014-12-15,32.5928
2014-12-16,16.6852
2014-12-17,13.1997
2014-12-18,19.0885
2014-12-19,36.3918
2014-12-22,56.4737
2014-12-23,74.3203
2014-12-24,84.8003
2014-12-26,88.8299
2014-12-29,87.3523
2014-12-30,81.8666
2014-12-31,65.9128
2015-01-02,44.2718
2015-01-05,22.0022
2015-01-06,9.5738
2015-01-07,4.4093
2015-01-08,6.6581
2015-01-09,10.6781
2015-01-12,16.3511
2015-01-13,20.8458
2015-01-14,30.733
2015-01-15,45.9597
2015-01-16,65.7294
2015-01-20,78.2017
2015-01-21,85.747
2015-01-22,86.6065
2015-01-23,90.4771
2015-01-26,90.8719
2015-01-27,85.0537
2015-01-28,66.2002
2015-01-29,42.5548
2015-01-30,31.3564
2015-02-02,38.5225
2015-02-03,57.5864
2015-02-04,67.537
2015-02-05,67.3138
2015-02-06,60.9601
2015-02-09,56.366
2015-02-10,59.2013
2015-02-11,64.6856
2015-02-12,77.2076
2015-02-13,84.7309
2015-02-17,88.4822
2015-02-18,81.0471
2015-02-19,68.7663
2015-02-20,53.0489
2015-02-23,40.2222
2015-02-24,31.2562
2015-02-25,34.6829
2015-02-26,50.4858
2015-02-27,71.3135
2015-03-02,86.1959
2015-03-03,91.3554
2015-03-04,93.1356
2015-03-05,92.7265
2015-03-06,87.0985
2015-03-09,74.8786
2015-03-10,53.7691
2015-03-11,33.125
2015-03-12,16.3487
2015-03-13,10.591
2015-03-16,15.1489
2015-03-17,24.7223
2015-03-18,42.6965
2015-03-19,59.0186
2015-03-20,77.256
2015-03-23,83.5364
2015-03-24,86.242
2015-03-25,75.5854
2015-03-26,60.8516
2015-03-27,36.7557
2015-03-30,20.9471
2015-03-31,10.0426
2015-04-01,10.0536
2015-04-02,9.4119
2015-04-06,12.9344
2015-04-07,16.3325
2015-04-08,25.8251
2015-04-09,38.237
2015-04-10,53.9394
2015-04-13,62.8815
2015-04-14,59.1576
2015-04-15,47.4436
2015-04-16,38.0301
2015-04-17,35.607
2015-04-20,41.0214
2015-04-21,47.7598
2015-04-22,63.3278
2015-04-23,74.2181
2015-04-24,84.7426
2015-04-27,83.0719
2015-04-28,77.9451
2015-04-29,64.5088
2015-04-30,48.6137
2015-05-01,31.8924
2015-05-04,22.5033
2015-05-05,18.562
2015-05-06,18.2656
2015-05-07,17.7345
2015-05-08,25.801
2015-05-11,41.0101
2015-05-12,55.1854
