date,value
2014-04-08,16.7035
2014-04-09,37.1336
2014-04-10,41.5007
2014-04-11,33.0859
2014-04-14,17.721
2014-04-15,21.4099
2014-04-16,45.191
2014-04-17,55.307
2014-04-21,51.3182
2014-04-22,38.1853
2014-04-23,24.351
2014-04-24,19.2646
2014-04-25,6.2851
2014-04-28,18.7555
2014-04-29,41.7683
2014-04-30,68.1747
2014-05-01,85.8671
2014-05-02,86.0016
2014-05-05,80.0967
2014-05-06,48.6522
2014-05-07,29.0351
2014-05-08,15.7326
2014-05-09,35.6829
2014-05-12,61.4503
2014-05-13,83.3919
2014-05-14,86.7815
2014-05-15,70.2875
2014-05-16,48.3712
2014-05-19,46.574
2014-05-20,53.0453
2014-05-21,77.6519
2014-05-22,86.669
2014-05-23,96.1576
2014-05-27,96.4564
2014-05-28,93.3742
2014-05-29,84.6842
2014-05-30,73.7485
2014-06-02,58.4925
2014-06-03,37.8683
2014-06-04,23.3145
2014-06-05,33.2972
2014-06-06,56.6031
2014-06-09,81.0578
2014-06-10,87.9548
2014-06-11,86.5467
2014-06-12,60.6528
2014-06-13,42.8667
2014-06-16,21.9855
2014-06-17,21.5919
2014-06-18,35.2162
2014-06-19,64.1702
2014-06-20,89.306
2014-06-23,97.494
2014-06-24,88.3675
2014-06-25,89.2073
2014-06-26,82.5658
2014-06-27,85.7467
2014-06-30,75.9877
2014-07-01,79.6876
2014-07-02,78.2303
2014-07-03,87.3447
2014-07-07,78.4223
2014-07-08,60.843
2014-07-09,45.8768
2014-07-10,33.9497
2014-07-11,47.8625
2014-07-14,64.3006
2014-07-15,86.5145
2014-07-16,89.6165
2014-07-17,65.468
2014-07-18,65.0764
2014-07-21,64.5892
2014-07-22,84.026
2014-07-23,82.1187
2014-07-24,78.8881
2014-07-25,59.584
2014-07-28,43.2746
2014-07-29,26.208
2014-07-30,25.5945
2014-07-31,14.8821
2014-08-01,14.1334
2014-08-04,18.7775
2014-08-05,19.4566
2014-08-06,24.8204
2014-08-07,19.0509
2014-08-08,35.0459
2014-08-11,47.9875
2014-08-12,49.4746
2014-08-13,63.2629
2014-08-14,68.4979
2014-08-15,82.696
2014-08-18,79.8815
2014-08-19,85.3133
2014-08-20,90.2959
2014-08-21,85.7433
2014-08-22,72.4338
2014-08-25,49.5447
2014-08-26,28.295
2014-08-27,10.9881
2014-08-28,10.0516
2014-08-29,14.2583
2014-09-02,35.5009
2014-09-03,54.4014
2014-09-04,72.2336
2014-09-05,81.5442
2014-09-08,88.797
2014-09-09,74.488
2014-09-10,55.8047
2014-09-11,36.7309
2014-09-12,27.0188
2014-09-15,21.0133
2014-09-16,35.6682
2014-09-17,62.0208
2014-09-18,87.0918
2014-09-19,94.3595
2014-09-22,86.358
2014-09-23,57.8804
2014-09-24,40.6202
2014-09-25,21.3507
2014-09-26,21.8404
2014-09-29,15.6105
2014-09-30,25.4725
2014-10-01,22.5518
2014-10-02,26.812
2014-10-03,39.7524
2014-10-06,64.2013
2014-10-07,51.3614
2014-10-08,48.5253
2014-10-09,26.88
2014-10-10,26.4851
2014-10-13,5.2903
2014-10-14,4.4401
2014-10-15,11.3941
2014-10-16,17.6308
2014-10-17,15.8225
2014-10-20,19.3353
2014-10-21,37.897
2014-10-22,61.6271
2014-10-23,81.3359
2014-10-24,83.4445
2014-10-27,83.2513
2014-10-28,85.8799
2014-10-29,83.415
2014-10-30,84.0345
2014-10-31,83.442
2014-11-03,84.1684
2014-11-04,79.8649
2014-11-05,52.2582
2014-11-06,28.9205
2014-11-07,10.9758
2014-11-10,22.1899
2014-11-11,41.6366
2014-11-12,59.2837
2014-11-13,59.9227
2014-11-14,48.876
2014-11-17,31.7386
2014-11-18,16.8531
2014-11-19,18.2157
