date,value
2014-03-27,13100.0
2014-03-28,41100.0
2014-03-31,10800.0
2014-04-01,7900.0
2014-04-02,146700.0
2014-04-03,5085200.0
2014-04-04,6351900.0
2014-04-07,4389600.0
2014-04-08,3142600.0
2014-04-09,3321700.0
2014-04-10,4025800.0
2014-04-11,3914100.0
2014-04-14,2568000.0
2014-04-15,3844500.0
2014-04-16,4879900.0
2014-04-17,6790900.0
2014-04-21,2559700.0
2014-04-22,2358900.0
2014-04-23,2046700.0
2014-04-24,1878000.0
2014-04-25,2094600.0
2014-04-28,3326400.0
2014-04-29,2691700.0
2014-04-30,1746400.0
2014-05-01,1900300.0
2014-05-02,1683900.0
2014-05-05,1021300.0
2014-05-06,1684400.0
2014-05-07,3215500.0
2014-05-08,2015800.0
2014-05-09,2432800.0
2014-05-12,1907300.0
2014-05-13,1648900.0
2014-05-14,1188500.0
2014-05-15,1699700.0
2014-05-16,1481200.0
2014-05-19,1274300.0
2014-05-20,1779900.0
2014-05-21,1193000.0
2014-05-22,1611400.0
2014-05-23,1926900.0
2014-05-27,2098400.0
2014-05-28,1647500.0
2014-05-29,1350400.0
2014-05-30,1766300.0
2014-06-02,1431100.0
2014-06-03,1861500.0
2014-06-04,1811500.0
2014-06-05,1684500.0
2014-06-06,1732000.0
2014-06-09,1463500.0
2014-06-10,1348000.0
2014-06-11,1097100.0
2014-06-12,1454500.0
2014-06-13,1217200.0
2014-06-16,1697900.0
2014-06-17,1440600.0
2014-06-18,1737000.0
2014-06-19,2450100.0
2014-06-20,4496000.0
2014-06-23,1532600.0
2014-06-24,2201100.0
2014-06-25,1964000.0
2014-06-26,1737200.0
2014-06-27,2230800.0
2014-06-30,1310200.0
2014-07-01,1444000.0
2014-07-02,1053500.0
2014-07-03,712200.0
2014-07-07,1061700.0
2014-07-08,1904300.0
2014-07-09,1113700.0
2014-07-10,1353000.0
2014-07-11,1617300.0
2014-07-14,1849000.0
2014-07-15,1618600.0
2014-07-16,1393300.0
2014-07-17,3008300.0
2014-07-18,4003200.0
2014-07-21,2056500.0
2014-07-22,1694500.0
2014-07-23,1229800.0
2014-07-24,1032300.0
2014-07-25,929900.0
2014-07-28,984100.0
2014-07-29,1346200.0
2014-07-30,1013700.0
2014-07-31,2097000.0
2014-08-01,1949900.0
2014-08-04,1423400.0
2014-08-05,1547000.0
2014-08-06,1330700.0
2014-08-07,1107900.0
2014-08-08,1490700.0
2014-08-11,1211400.0
2014-08-12,1537800.0
2014-08-13,1437900.0
2014-08-14,982800.0
2014-08-15,1515000.0
2014-08-18,1280600.0
2014-08-19,976000.0
2014-08-20,1033900.0
2014-08-21,912300.0
2014-08-22,786900.0
2014-08-25,1357700.0
2014-08-26,1635200.0
2014-08-27,1698700.0
2014-08-28,1289400.0
2014-08-29,1080800.0
2014-09-02,1574100.0
2014-09-03,1211800.0
2014-09-04,1454200.0
2014-09-05,1627900.0
2014-09-08,1427100.0
2014-09-09,1283700.0
2014-09-10,974700.0
2014-09-11,1217700.0
2014-09-12,1597300.0
2014-09-15,1593200.0
2014-09-16,1476300.0
2014-09-17,1688200.0
2014-09-18,1440600.0
2014-09-19,3726400.0
2014-09-22,1684900.0
2014-09-23,1467400.0
2014-09-24,1721085.0
2014-09-25,1915643.0
2014-09-26,1439807.0
2014-09-29,1281204.0
2014-09-30,1618437.0
2014-10-01,1445027.0
2014-10-02,1175307.0
2014-10-03,1138636.0
2014-10-06,1211320.0
2014-10-07,1906427.0
2014-10-08,1987888.0
2014-10-09,2519693.0
2014-10-10,3078634.0
2014-10-13,2578676.0
2014-10-14,2217230.0
2014-10-15,3712536.0
2014-10-16,3698423.0
2014-10-17,5530674.0
2014-10-20,2605505.0
2014-10-21,2332531.0
2014-10-22,2917183.0
2014-10-23,2345296.0
2014-10-24,1972047.0
2014-10-27,1184973.0
2014-10-28,1273372.0
2014-10-29,1767107.0
2014-10-30,1451667.0
2014-10-31,2032887.0
2014-11-03,1378511.0
2014-11-04,1240761.0
2014-11-05,2026740.0
2014-11-06,1329604.0
2014-11-07,1629259.0
2014-11-10,1131546.0
2014-11-11,964866.0
2014-11-12,1126594.0
2014-11-13,1335719.0
2014-11-14,1285991.0
2014-11-17,1721282.0
2014-11-18,1957664.0
2014-11-19,1388440.0
2014-11-20,1559131.0
2014-11-21,2218249.0
2014-11-24,1701682.0
2014-11-25,1784967.0
2014-11-26,1519503.0
2014-11-28,1145231.0
2014-12-01,2109599.0
2014-12-02,1522481.0
2014-12-03,1279288.0
2014-12-04,1392208.0
2014-12-05,2558649.0
2014-12-08,2327127.0
2014-12-09,1871268.0
2014-12-10,1716835.0
2014-12-11,1610964.0
2014-12-12,1989117.0
2014-12-15,2812786.0
2014-12-16,3953371.0
2014-12-17,2875281.0
2014-12-18,2918730.0
2014-12-19,3680148.0
2014-12-22,2723599.0
2014-12-23,2191567.0
2014-12-24,704035.0
2014-12-26,1037727.0
2014-12-29,2276104.0
2014-12-30,873923.0
2014-12-31,1371819.0
2015-01-02,1446662.0
2015-01-05,2054238.0
2015-01-06,2891950.0
2015-01-07,2059366.0
2015-01-08,3344395.0
2015-01-09,2054956.0
2015-01-12,2320446.0
2015-01-13,2365687.0
2015-01-14,2229638.0
2015-01-15,2711355.0
2015-01-16,2292043.0
2015-01-20,2225922.0
2015-01-21,2262455.0
2015-01-22,2669558.0
2015-01-23,2275485.0
2015-01-26,1539524.0
2015-01-27,1898844.0
2015-01-28,1679230.0
2015-01-29,4174924.0
2015-01-30,5590977.0
2015-02-02,2841976.0
2015-02-03,2033085.0
2015-02-04,1659125.0
2015-02-05,1844687.0
2015-02-06,1758650.0
2015-02-09,1264276.0
2015-02-10,1745076.0
2015-02-11,1373970.0
2015-02-12,1615824.0
2015-02-13,1895126.0
2015-02-17,1612439.0
2015-02-18,1449089.0
2015-02-19,987478.0
2015-02-20,1441212.0
