date,value
2000-03-14,101.6342
2000-03-15,101.3885
2000-03-16,101.1525
2000-03-17,101.0826
2000-03-20,100.937
2000-03-21,101.0081
2000-03-22,101.096
2000-03-23,101.5185
2000-03-24,101.9174
2000-03-27,102.0015
2000-03-28,102.092
2000-03-29,102.2919
2000-03-30,102.3342
2000-03-31,102.4877
2000-04-03,102.0321
2000-04-04,101.5038
2000-04-05,100.9103
2000-04-06,100.3256
2000-04-07,99.8838
2000-04-10,99.3417
2000-04-11,98.735
2000-04-12,97.9756
2000-04-13,97.2412
2000-04-14,96.3345
2000-04-17,95.532
2000-04-18,94.9449
2000-04-19,94.3074
2000-04-20,93.7048
2000-04-24,92.6426
2000-04-25,91.73
2000-04-26,90.7994
2000-04-27,89.9763
2000-04-28,89.1831
2000-05-01,88.5657
2000-05-02,87.8325
2000-05-03,87.1552
2000-05-04,86.4997
2000-05-05,85.8966
2000-05-08,85.2657
2000-05-09,84.5812
2000-05-10,83.86
2000-05-11,83.2329
2000-05-12,82.6673
2000-05-15,82.1458
2000-05-16,81.6499
2000-05-17,81.1025
2000-05-18,80.5177
2000-05-19,79.9115
2000-05-22,79.295
2000-05-23,78.6634
2000-05-24,78.1495
2000-05-25,77.4966
2000-05-26,76.8669
2000-05-30,76.338
2000-05-31,75.7977
2000-06-01,75.357
2000-06-02,75.0022
2000-06-05,74.6833
2000-06-06,74.4848
2000-06-07,74.3285
2000-06-08,74.1121
2000-06-09,73.9042
2000-06-12,73.6283
2000-06-13,73.4025
2000-06-14,73.2887
2000-06-15,73.2527
2000-06-16,73.2255
2000-06-19,73.2437
2000-06-20,73.3102
2000-06-21,73.5996
2000-06-22,73.8455
2000-06-23,73.9963
2000-06-26,74.2121
2000-06-27,74.3924
2000-06-28,74.5708
2000-06-29,74.6735
2000-06-30,74.8824
2000-07-03,75.0831
2000-07-05,75.2171
2000-07-06,75.4415
2000-07-07,75.6987
2000-07-10,75.8454
2000-07-11,75.9738
2000-07-12,76.1439
2000-07-13,76.2927
2000-07-14,76.3965
2000-07-17,76.4669
2000-07-18,76.5466
2000-07-19,76.4122
2000-07-20,76.3494
2000-07-21,76.191
2000-07-24,75.9702
2000-07-25,75.6968
2000-07-26,75.3875
2000-07-27,75.1516
2000-07-28,74.9374
2000-07-31,74.7363
2000-08-01,74.4992
2000-08-02,74.298
2000-08-03,74.1393
2000-08-04,73.9425
2000-08-07,73.7879
2000-08-08,73.8009
2000-08-09,73.8185
2000-08-10,73.7715
2000-08-11,73.7193
2000-08-14,73.6593
2000-08-15,73.5793
2000-08-16,73.4782
2000-08-17,73.403
2000-08-18,73.3087
2000-08-21,73.2033
2000-08-22,73.1267
2000-08-23,73.0335
2000-08-24,72.9584
2000-08-25,72.8667
2000-08-28,72.8057
2000-08-29,72.7325
2000-08-30,72.6254
2000-08-31,72.515
2000-09-01,72.4238
2000-09-05,72.3334
2000-09-06,72.22
2000-09-07,72.1353
2000-09-08,72.0245
2000-09-11,71.8984
2000-09-12,71.7502
2000-09-13,71.613
2000-09-14,71.3854
2000-09-15,71.1032
2000-09-18,70.7855
2000-09-19,70.5586
2000-09-20,70.3112
2000-09-21,70.0711
2000-09-22,69.8036
2000-09-25,69.4682
2000-09-26,69.2024
2000-09-27,68.8662
2000-09-28,68.5699
2000-09-29,68.246
2000-10-02,67.8885
2000-10-03,67.4442
2000-10-04,66.9735
2000-10-05,66.5188
2000-10-06,66.0891
2000-10-09,65.6225
2000-10-10,65.1886
2000-10-11,64.8185
2000-10-12,64.4091
2000-10-13,63.9911
2000-10-16,63.4574
2000-10-17,62.9469
2000-10-18,62.5078
2000-10-19,62.4832
2000-10-20,62.5893
2000-10-23,62.5713
2000-10-24,62.5293
2000-10-25,62.4791
2000-10-26,62.556
2000-10-27,62.7574
2000-10-30,63.0045
2000-10-31,63.2345
2000-11-01,63.4849
2000-11-02,63.7526
2000-11-03,63.929
2000-11-06,64.1474
2000-11-07,64.3966
2000-11-08,64.5943
2000-11-09,64.8404
2000-11-10,64.9396
2000-11-13,64.9985
2000-11-14,65.1479
2000-11-15,65.3406
2000-11-16,65.4817
2000-11-17,65.6221
2000-11-20,65.6835
2000-11-21,65.7646
2000-11-22,65.862
2000-11-24,66.022
2000-11-27,66.205
2000-11-28,66.2362
2000-11-29,66.1901
2000-11-30,65.8446
2000-12-01,65.4832
2000-12-04,65.1286
2000-12-05,64.9228
2000-12-06,64.5999
2000-12-07,64.1501
2000-12-08,63.7693
2000-12-11,63.5454
2000-12-12,63.3429
2000-12-13,63.1039
2000-12-14,62.8057
2000-12-15,62.2718
2000-12-18,61.7047
2000-12-19,61.0421
2000-12-20,60.2758
2000-12-21,59.6155
2000-12-22,59.0988
2000-12-26,58.6197
2000-12-27,58.142
2000-12-28,57.6094
2000-12-29,57.0514
2001-01-02,56.5153
2001-01-03,56.179
2001-01-04,55.8755
2001-01-05,55.611
2001-01-08,55.3494
2001-01-09,55.2106
2001-01-10,55.1192
2001-01-11,55.1145
2001-01-12,55.0512
2001-01-16,54.9535
2001-01-17,54.8745
2001-01-18,54.8991
2001-01-19,55.1383
2001-01-22,55.3341
2001-01-23,55.539
2001-01-24,55.8292
2001-01-25,56.0638
2001-01-26,56.375
2001-01-29,56.6936
2001-01-30,56.9558
2001-01-31,57.1168
2001-02-01,57.3232
2001-02-02,57.4599
2001-02-05,57.6356
2001-02-06,57.8287
2001-02-07,58.0978
2001-02-08,58.2606
2001-02-09,58.2947
2001-02-12,58.3126
2001-02-13,58.3078
2001-02-14,58.3106
2001-02-15,58.3302
2001-02-16,58.2902
2001-02-20,58.1957
2001-02-21,58.1194
2001-02-22,58.0045
2001-02-23,57.9553
2001-02-26,58.0182
2001-02-27,58.0716
2001-02-28,58.108
2001-03-01,58.1571
2001-03-02,58.0996
2001-03-05,58.0737
2001-03-06,58.1273
2001-03-07,58.2278
2001-03-08,58.2679
2001-03-09,58.206
2001-03-12,57.9603
2001-03-13,57.8124
2001-03-14,57.6629
2001-03-15,57.5071
2001-03-16,57.3915
2001-03-19,57.2707
2001-03-20,57.0911
2001-03-21,56.8153
2001-03-22,56.7049
2001-03-23,56.6992
2001-03-26,56.6742
2001-03-27,56.736
2001-03-28,56.6899
2001-03-29,56.6385
2001-03-30,56.5621
2001-04-02,56.5326
2001-04-03,56.409
2001-04-04,56.2337
2001-04-05,56.254
2001-04-06,56.2514
2001-04-09,56.2867
2001-04-10,56.4198
2001-04-11,56.5617
2001-04-12,56.782
2001-04-16,56.9392
2001-04-17,57.1173
2001-04-18,57.4433
2001-04-19,57.8588
2001-04-20,58.2957
2001-04-23,58.6861
2001-04-24,59.0337
2001-04-25,59.4516
2001-04-26,59.8312
2001-04-27,60.117
2001-04-30,60.4163
2001-05-01,60.7988
2001-05-02,61.1502
2001-05-03,61.4396
2001-05-04,61.8048
2001-05-07,62.1803
2001-05-08,62.5677
2001-05-09,62.8748
2001-05-10,63.1543
2001-05-11,63.3992
2001-05-14,63.6079
2001-05-15,63.7907
2001-05-16,64.0012
2001-05-17,64.1647
2001-05-18,64.3187
2001-05-21,64.494
2001-05-22,64.7221
2001-05-23,64.9173
2001-05-24,65.1841
2001-05-25,65.4086
2001-05-29,65.602
2001-05-30,65.7427
2001-05-31,65.8775
2001-06-01,66.0525
2001-06-04,66.2379
2001-06-05,66.4874
2001-06-06,66.7177
2001-06-07,66.9907
2001-06-08,67.2338
2001-06-11,67.4254
2001-06-12,67.608
2001-06-13,67.7288
2001-06-14,67.7748
2001-06-15,67.7844
2001-06-18,67.7489
2001-06-19,67.7321
2001-06-20,67.7979
2001-06-21,67.878
2001-06-22,67.9153
2001-06-25,67.952
2001-06-26,68.0378
2001-06-27,68.1594
2001-06-28,68.3391
2001-06-29,68.5218
2001-07-02,68.6033
2001-07-03,68.6765
2001-07-05,68.67
2001-07-06,68.5677
2001-07-09,68.4548
2001-07-10,68.2989
2001-07-11,68.2284
2001-07-12,68.3606
2001-07-13,68.4774
2001-07-16,68.5834
2001-07-17,68.7104
2001-07-18,68.7833
2001-07-19,68.9318
2001-07-20,68.9415
2001-07-23,68.8689
2001-07-24,68.7689
2001-07-25,68.7184
2001-07-26,68.6349
2001-07-27,68.5108
2001-07-30,68.4045
2001-07-31,68.3177
2001-08-01,68.2452
2001-08-02,68.214
2001-08-03,68.1621
2001-08-06,68.0824
2001-08-07,68.0145
2001-08-08,67.8908
2001-08-09,67.7778
2001-08-10,67.6893
2001-08-13,67.6163
2001-08-14,67.5016
2001-08-15,67.3329
2001-08-16,67.2265
2001-08-17,67.0168
2001-08-20,66.8476
2001-08-21,66.6096
2001-08-22,66.3763
2001-08-23,66.0917
2001-08-24,65.9332
2001-08-27,65.7911
2001-08-28,65.5931
2001-08-29,65.3835
2001-08-30,65.0524
2001-08-31,64.7386
2001-09-04,64.3998
2001-09-05,64.1387
2001-09-06,63.8203
2001-09-07,63.4901
2001-09-10,63.2583
2001-09-17,62.8525
2001-09-18,62.5179
2001-09-19,62.1787
2001-09-20,61.731
2001-09-21,61.2595
2001-09-24,60.8968
2001-09-25,60.5205
2001-09-26,60.1185
2001-09-27,59.7201
2001-09-28,59.3848
2001-10-01,59.087
2001-10-02,58.8502
2001-10-03,58.7475
2001-10-04,58.657
2001-10-05,58.6202
2001-10-08,58.5975
2001-10-09,58.4392
2001-10-10,58.3243
2001-10-11,58.2457
2001-10-12,58.1725
2001-10-15,58.1681
2001-10-16,58.1792
2001-10-17,58.0949
2001-10-18,58.0421
2001-10-19,58.0366
2001-10-22,58.1198
2001-10-23,58.2104
2001-10-24,58.3324
2001-10-25,58.4982
2001-10-26,58.6433
2001-10-29,58.6824
2001-10-30,58.6902
2001-10-31,58.669
2001-11-01,58.7933
2001-11-02,58.8956
2001-11-05,59.0671
2001-11-06,59.2911
2001-11-07,59.4856
2001-11-08,59.6791
2001-11-09,59.896
2001-11-12,60.1272
2001-11-13,60.432
2001-11-14,60.6484
2001-11-15,60.8629
2001-11-16,61.0546
2001-11-19,61.2697
2001-11-20,61.4317
2001-11-21,61.5344
2001-11-23,61.6589
2001-11-26,61.7954
2001-11-27,61.8717
2001-11-28,61.9081
2001-11-29,62.023
2001-11-30,62.1088
2001-12-03,62.2132
2001-12-04,62.3617
2001-12-05,62.5867
2001-12-06,62.8245
2001-12-07,63.0208
2001-12-10,63.1792
2001-12-11,63.3416
2001-12-12,63.5223
2001-12-13,63.63
2001-12-14,63.7794
2001-12-17,63.9834
2001-12-18,64.1907
2001-12-19,64.3985
2001-12-20,64.4911
2001-12-21,64.6107
2001-12-24,64.715
2001-12-26,64.8313
2001-12-27,64.9496
2001-12-28,65.0642
2001-12-31,65.1107
2002-01-02,65.1863
2002-01-03,65.3449
2002-01-04,65.4843
2002-01-07,65.6049
2002-01-08,65.753
2002-01-09,65.8689
2002-01-10,66.0027
2002-01-11,66.1049
2002-01-14,66.1977
2002-01-15,66.3292
2002-01-16,66.3896
2002-01-17,66.5257
2002-01-18,66.509
2002-01-22,66.4286
2002-01-23,66.3232
2002-01-24,66.2556
2002-01-25,66.1593
2002-01-28,66.0676
2002-01-29,65.9206
2002-01-30,65.8002
2002-01-31,65.7182
2002-02-01,65.5983
2002-02-04,65.4227
2002-02-05,65.2551
2002-02-06,65.0647
2002-02-07,64.8583
2002-02-08,64.6932
2002-02-11,64.5535
2002-02-12,64.3804
2002-02-13,64.28
2002-02-14,64.1781
2002-02-15,64.0232
2002-02-19,63.8235
2002-02-20,63.6696
2002-02-21,63.4493
2002-02-22,63.2352
2002-02-25,63.0722
2002-02-26,62.8949
2002-02-27,62.7182
2002-02-28,62.5465
2002-03-01,62.5004
2002-03-04,62.5317
2002-03-05,62.5532
2002-03-06,62.5955
2002-03-07,62.6004
2002-03-08,62.6533
2002-03-11,62.7194
2002-03-12,62.7124
2002-03-13,62.6884
2002-03-14,62.6308
2002-03-15,62.6253
2002-03-18,62.6062
2002-03-19,62.5915
2002-03-20,62.4938
2002-03-21,62.4493
2002-03-22,62.3709
2002-03-25,62.2477
2002-03-26,62.1235
2002-03-27,62.0183
2002-03-28,61.9513
2002-04-01,61.8897
2002-04-02,61.7089
2002-04-03,61.498
2002-04-04,61.3
2002-04-05,61.0871
2002-04-08,60.9354
2002-04-09,60.6976
2002-04-10,60.5251
2002-04-11,60.3002
2002-04-12,60.1288
2002-04-15,59.9547
2002-04-16,59.8706
2002-04-17,59.7435
2002-04-18,59.6113
2002-04-19,59.5167
2002-04-22,59.3627
2002-04-23,59.152
2002-04-24,58.9115
2002-04-25,58.7083
2002-04-26,58.4257
2002-04-29,58.1831
2002-04-30,57.9508
2002-05-01,57.7469
2002-05-02,57.4905
2002-05-03,57.1795
2002-05-06,56.8438
2002-05-07,56.5547
2002-05-08,56.4925
2002-05-09,56.3211
2002-05-10,56.0751
2002-05-13,55.9424
2002-05-14,55.9007
2002-05-15,55.8556
2002-05-16,55.8511
2002-05-17,55.8581
2002-05-20,55.7856
2002-05-21,55.6446
2002-05-22,55.5679
2002-05-23,55.5386
2002-05-24,55.4493
2002-05-28,55.3265
2002-05-29,55.1981
2002-05-30,55.0977
2002-05-31,54.9335
2002-06-03,54.7173
2002-06-04,54.5315
2002-06-05,54.4189
2002-06-06,54.3201
2002-06-07,54.2284
2002-06-10,54.1731
2002-06-11,54.1103
2002-06-12,54.1663
2002-06-13,54.1684
2002-06-14,54.2108
2002-06-17,54.2685
2002-06-18,54.336
2002-06-19,54.3369
2002-06-20,54.3276
2002-06-21,54.2473
2002-06-24,54.2439
2002-06-25,54.1932
2002-06-26,54.1907
2002-06-27,54.2193
2002-06-28,54.2381
2002-07-01,54.1762
2002-07-02,54.0689
2002-07-03,53.9815
2002-07-05,54.0156
2002-07-08,53.9726
2002-07-09,53.9427
2002-07-10,53.8759
2002-07-11,53.8381
2002-07-12,53.7605
2002-07-15,53.6836
2002-07-16,53.5882
2002-07-17,53.5259
2002-07-18,53.4312
2002-07-19,53.2793
2002-07-22,53.0531
2002-07-23,52.6592
2002-07-24,52.4071
2002-07-25,52.0315
2002-07-26,51.7695
2002-07-29,51.6315
2002-07-30,51.493
2002-07-31,51.3553
2002-08-01,51.1354
2002-08-02,50.8717
2002-08-05,50.6018
2002-08-06,50.4084
2002-08-07,50.2783
2002-08-08,50.2246
2002-08-09,50.1421
2002-08-12,50.0765
2002-08-13,49.9582
2002-08-14,49.9485
2002-08-15,49.9415
2002-08-16,49.9438
2002-08-19,50.0244
2002-08-20,50.0642
2002-08-21,50.1511
2002-08-22,50.2719
2002-08-23,50.3483
2002-08-26,50.417
2002-08-27,50.4336
2002-08-28,50.3922
2002-08-29,50.3996
2002-08-30,50.3479
2002-09-03,50.2174
2002-09-04,50.1386
2002-09-05,49.9728
2002-09-06,49.8884
2002-09-09,49.8418
2002-09-10,49.8397
2002-09-11,49.7903
2002-09-12,49.6868
2002-09-13,49.6171
2002-09-16,49.5451
2002-09-17,49.4566
2002-09-18,49.3897
2002-09-19,49.3038
2002-09-20,49.2315
2002-09-23,49.0746
2002-09-24,48.9399
2002-09-25,48.8446
2002-09-26,48.7409
2002-09-27,48.604
2002-09-30,48.4133
2002-10-01,48.3277
2002-10-02,48.2211
2002-10-03,48.0869
2002-10-04,47.9176
2002-10-07,47.766
2002-10-08,47.6571
2002-10-09,47.5133
2002-10-10,47.4688
2002-10-11,47.5238
2002-10-14,47.5931
2002-10-15,47.7773
2002-10-16,47.8805
2002-10-17,47.9938
2002-10-18,48.196
2002-10-21,48.3652
2002-10-22,48.4948
2002-10-23,48.6793
2002-10-24,48.7793
2002-10-25,48.9323
