date,value
2000-02-18,-3.471
2000-02-22,-3.7013
2000-02-23,-3.8045
2000-02-24,-3.8021
2000-02-25,-4.0313
2000-02-28,-4.145
2000-02-29,-4.3616
2000-03-01,-4.3666
2000-03-02,-4.1166
2000-03-03,-3.6545
2000-03-06,-3.6895
2000-03-07,-3.4954
2000-03-08,-3.0889
2000-03-09,-2.381
2000-03-10,-1.7195
2000-03-13,-1.421
2000-03-14,-1.4006
2000-03-15,-1.3488
2000-03-16,-1.2928
2000-03-17,-0.9151
2000-03-20,-0.7683
2000-03-21,-0.2153
2000-03-22,0.2602
2000-03-23,1.3175
2000-03-24,2.1164
2000-03-27,2.1096
2000-03-28,2.1002
2000-03-29,2.2986
2000-03-30,2.1231
2000-03-31,2.1912
2000-04-03,0.9927
2000-04-04,-0.1419
2000-04-05,-1.204
2000-04-06,-2.0518
2000-04-07,-2.4486
2000-04-10,-2.9709
2000-04-11,-3.5209
2000-04-12,-4.2707
2000-04-13,-4.8191
2000-04-14,-5.603
2000-04-17,-6.0138
2000-04-18,-5.8929
2000-04-19,-5.8802
2000-04-20,-5.7834
2000-04-24,-6.6243
2000-04-25,-6.9884
2000-04-26,-7.3032
2000-04-27,-7.3223
2000-04-28,-7.2585
2000-05-01,-6.8315
2000-05-02,-6.7039
2000-05-03,-6.4725
2000-05-04,-6.227
2000-05-05,-5.9095
2000-05-08,-5.6978
2000-05-09,-5.6266
2000-05-10,-5.6359
2000-05-11,-5.445
2000-05-12,-5.1584
2000-05-15,-4.8303
2000-05-16,-4.5079
2000-05-17,-4.3483
2000-05-18,-4.2934
2000-05-19,-4.2916
2000-05-22,-4.3106
2000-05-23,-4.3562
2000-05-24,-4.1532
2000-05-25,-4.2708
2000-05-26,-4.3189
2000-05-30,-4.1527
2000-05-31,-4.0406
2000-06-01,-3.7471
2000-06-02,-3.3349
2000-06-05,-2.9292
2000-06-06,-2.3587
2000-06-07,-1.8146
2000-06-08,-1.5024
2000-06-09,-1.2407
2000-06-12,-1.1763
2000-06-13,-1.0327
2000-06-14,-0.6986
2000-06-15,-0.2797
2000-06-16,0.0669
2000-06-19,0.4277
2000-06-20,0.8053
2000-06-21,1.5507
2000-06-22,2.0515
2000-06-23,2.2467
2000-06-26,2.5184
2000-06-27,2.6475
2000-06-28,2.7288
2000-06-29,2.6218
2000-06-30,2.7323
2000-07-03,2.7877
2000-07-05,2.6797
2000-07-06,2.7592
2000-07-07,2.8746
2000-07-10,2.728
2000-07-11,2.5566
2000-07-12,2.4881
2000-07-13,2.3765
2000-07-14,2.1822
2000-07-17,1.9453
2000-07-18,1.7623
2000-07-19,1.1696
2000-07-20,0.8268
2000-07-21,0.3493
2000-07-24,-0.1684
2000-07-25,-0.6965
2000-07-26,-1.1972
2000-07-27,-1.4515
2000-07-28,-1.6086
2000-07-31,-1.7038
2000-08-01,-1.8483
2000-08-02,-1.8862
2000-08-03,-1.8242
2000-08-04,-1.845
2000-08-07,-1.7701
2000-08-08,-1.3625
2000-08-09,-1.0173
2000-08-10,-0.8653
2000-08-11,-0.7507
2000-08-14,-0.6723
2000-08-15,-0.6487
2000-08-16,-0.6722
2000-08-17,-0.6384
2000-08-18,-0.6492
2000-08-21,-0.6806
2000-08-22,-0.6472
2000-08-23,-0.6536
2000-08-24,-0.6216
2000-08-25,-0.6293
2000-08-28,-0.5732
2000-08-29,-0.5522
2000-08-30,-0.6044
2000-08-31,-0.6536
2000-09-01,-0.6544
2000-09-05,-0.6531
2000-09-06,-0.6989
2000-09-07,-0.6774
2000-09-08,-0.7126
2000-09-11,-0.772
2000-09-12,-0.8648
2000-09-13,-0.9172
2000-09-14,-1.1425
2000-09-15,-1.4352
2000-09-18,-1.7431
2000-09-19,-1.805
2000-09-20,-1.8927
2000-09-21,-1.9446
2000-09-22,-2.0381
2000-09-25,-2.2477
2000-09-26,-2.2714
2000-09-27,-2.4284
2000-09-28,-2.4695
2000-09-29,-2.5534
2000-10-02,-2.6841
2000-10-03,-2.9609
2000-10-04,-3.2334
2000-10-05,-3.4149
2000-10-06,-3.5037
2000-10-09,-3.6427
2000-10-10,-3.6806
2000-10-11,-3.5734
2000-10-12,-3.558
2000-10-13,-3.5556
2000-10-16,-3.782
2000-10-17,-3.9116
2000-10-18,-3.864
2000-10-19,-2.9746
2000-10-20,-1.9798
2000-10-23,-1.4219
2000-10-24,-1.0189
2000-10-25,-0.7115
2000-10-26,-0.2081
2000-10-27,0.448
2000-10-30,1.0662
2000-10-31,1.5232
2000-11-01,1.9237
2000-11-02,2.2707
2000-11-03,2.3523
2000-11-06,2.4891
2000-11-07,2.6477
2000-11-08,2.6573
2000-11-09,2.7485
2000-11-10,2.5095
2000-11-13,2.2195
2000-11-14,2.156
2000-11-15,2.1814
2000-11-16,2.0871
2000-11-17,1.999
2000-11-20,1.758
2000-11-21,1.5939
2000-11-22,1.487
2000-11-24,1.5211
2000-11-27,1.5903
2000-11-28,1.3321
2000-11-29,0.9598
2000-11-30,0.0446
2000-12-01,-0.7328
2000-12-04,-1.3487
2000-12-05,-1.5415
2000-12-06,-1.9294
2000-12-07,-2.4953
2000-12-08,-2.8058
2000-12-11,-2.7282
2000-12-12,-2.6109
2000-12-13,-2.5793
2000-12-14,-2.6648
2000-12-15,-3.2048
2000-12-18,-3.7014
2000-12-19,-4.2876
2000-12-20,-4.9621
2000-12-21,-5.2792
2000-12-22,-5.2282
2000-12-26,-5.0936
2000-12-27,-4.9651
2000-12-28,-4.9579
2000-12-29,-4.9898
2001-01-02,-4.958
2001-01-03,-4.5128
2001-01-04,-4.0727
2001-01-05,-3.6264
2001-01-08,-3.2506
2001-01-09,-2.6902
2001-01-10,-2.1351
2001-01-11,-1.5067
2001-01-12,-1.1169
2001-01-16,-0.8738
2001-01-17,-0.643
2001-01-18,-0.2506
2001-01-19,0.4984
2001-01-22,1.0101
2001-01-23,1.4338
2001-01-24,1.9393
2001-01-25,2.2231
2001-01-26,2.5949
2001-01-29,2.8964
2001-01-30,3.0103
2001-01-31,2.8802
2001-02-01,2.8507
2001-02-02,2.6699
2001-02-05,2.5879
2001-02-06,2.5437
2001-02-07,2.6499
2001-02-08,2.5083
2001-02-09,2.1199
2001-02-12,1.7611
2001-02-13,1.4153
2001-02-14,1.1434
2001-02-15,0.9516
2001-02-16,0.6709
2001-02-20,0.3292
2001-02-21,0.0872
2001-02-22,-0.1879
2001-02-23,-0.2768
2001-02-26,-0.1192
2001-02-27,-0.0087
2001-02-28,0.0477
2001-03-01,0.12
2001-03-02,-0.0377
2001-03-05,-0.101
2001-03-06,0.0101
2001-03-07,0.1968
2001-03-08,0.2259
2001-03-09,0.0419
2001-03-12,-0.4816
2001-03-13,-0.7068
2001-03-14,-0.8904
2001-03-15,-1.0487
2001-03-16,-1.0915
2001-03-19,-1.1325
2001-03-20,-1.2809
2001-03-21,-1.5924
2001-03-22,-1.504
2001-03-23,-1.2134
2001-03-26,-1.0118
2001-03-27,-0.6676
2001-03-28,-0.6049
2001-03-29,-0.5632
2001-03-30,-0.5792
2001-04-02,-0.4958
2001-04-03,-0.6186
2001-04-04,-0.8227
2001-04-05,-0.5895
2001-04-06,-0.4447
2001-04-09,-0.2497
2001-04-10,0.1078
2001-04-11,0.4154
2001-04-12,0.8223
2001-04-16,1.0209
2001-04-17,1.2199
2001-04-18,1.677
2001-04-19,2.2243
2001-04-20,2.7042
2001-04-23,2.9896
2001-04-24,3.1233
2001-04-25,3.3632
2001-04-26,3.4681
2001-04-27,3.3505
2001-04-30,3.2704
2001-05-01,3.3634
2001-05-02,3.3652
2001-05-03,3.2302
2001-05-04,3.2647
2001-05-07,3.3048
2001-05-08,3.3527
2001-05-09,3.2197
2001-05-10,3.0469
2001-05-11,2.8289
2001-05-14,2.5716
2001-05-15,2.3048
2001-05-16,2.1405
2001-05-17,1.9085
2001-05-18,1.6985
2001-05-21,1.5705
2001-05-22,1.5736
2001-05-23,1.5094
2001-05-24,1.603
2001-05-25,1.5935
2001-05-29,1.5224
2001-05-30,1.3576
2001-05-31,1.2123
2001-06-01,1.1771
2001-06-04,1.1712
2001-06-05,1.2985
2001-06-06,1.3642
2001-06-07,1.5055
2001-06-08,1.5599
2001-06-11,1.4994
2001-06-12,1.4317
2001-06-13,1.2515
2001-06-14,0.9533
2001-06-15,0.6385
2001-06-18,0.2937
2001-06-19,0.0553
2001-06-20,0.0347
2001-06-21,0.0524
2001-06-22,-0.0149
2001-06-25,-0.0659
2001-06-26,-0.0022
2001-06-27,0.1276
2001-06-28,0.3554
2001-06-29,0.5506
2001-07-02,0.5058
2001-07-03,0.4545
2001-07-05,0.2528
2001-07-06,-0.1035
2001-07-09,-0.411
2001-07-10,-0.7438
2001-07-11,-0.8349
2001-07-12,-0.4899
2001-07-13,-0.2348
2001-07-16,-0.045
2001-07-17,0.1553
2001-07-18,0.2107
2001-07-19,0.4113
2001-07-20,0.2933
2001-07-23,0.0308
2001-07-24,-0.2366
2001-07-25,-0.3509
2001-07-26,-0.5075
2001-07-27,-0.7137
2001-07-30,-0.8408
2001-07-31,-0.8997
2001-08-01,-0.9133
2001-08-02,-0.8353
2001-08-03,-0.8094
2001-08-06,-0.8404
2001-08-07,-0.8377
2001-08-08,-0.9448
2001-08-09,-1.006
2001-08-10,-1.0018
2001-08-13,-0.9624
2001-08-14,-1.0115
2001-08-15,-1.1573
2001-08-16,-1.145
2001-08-17,-1.341
2001-08-20,-1.4138
2001-08-21,-1.6079
2001-08-22,-1.7512
2001-08-23,-1.9664
2001-08-24,-1.8788
2001-08-27,-1.7681
2001-08-28,-1.7864
2001-08-29,-1.8195
2001-08-30,-2.0887
2001-08-31,-2.2671
2001-09-04,-2.4568
2001-09-05,-2.4466
2001-09-06,-2.5479
2001-09-07,-2.6477
2001-09-10,-2.5218
2001-09-17,-2.767
2001-09-18,-2.8151
2001-09-19,-2.8566
2001-09-20,-3.1046
2001-09-21,-3.3473
2001-09-24,-3.3159
2001-09-25,-3.3101
2001-09-26,-3.35
2001-09-27,-3.3678
2001-09-28,-3.2468
2001-10-01,-3.0656
2001-10-02,-2.7882
2001-10-03,-2.2854
2001-10-04,-1.8486
2001-10-05,-1.3833
2001-10-08,-0.9774
2001-10-09,-0.9259
2001-10-10,-0.7992
2001-10-11,-0.6262
2001-10-12,-0.4787
2001-10-15,-0.2237
2001-10-16,0.0097
2001-10-17,-0.0005
2001-10-18,0.0489
2001-10-19,0.1788
2001-10-22,0.4588
2001-10-23,0.6945
2001-10-24,0.9422
2001-10-25,1.2245
2001-10-26,1.403
2001-10-29,1.3226
2001-10-30,1.184
2001-10-31,1.0036
2001-11-01,1.1452
2001-11-02,1.208
2001-11-05,1.3926
2001-11-06,1.6418
2001-11-07,1.7761
2001-11-08,1.8746
2001-11-09,1.9935
2001-11-12,2.1101
2001-11-13,2.3458
2001-11-14,2.3481
2001-11-15,2.3368
2001-11-16,2.2718
2001-11-19,2.2579
2001-11-20,2.1304
2001-11-21,1.8986
2001-11-23,1.7479
2001-11-26,1.6443
2001-11-27,1.4326
2001-11-28,1.1755
2001-11-29,1.1234
2001-11-30,1.0195
2001-12-03,0.9712
2001-12-04,1.0204
2001-12-05,1.2148
2001-12-06,1.3972
2001-12-07,1.4587
2001-12-10,1.4289
2001-12-11,1.41
2001-12-12,1.4293
2001-12-13,1.2942
2001-12-14,1.2669
2001-12-17,1.3539
2001-12-18,1.4298
2001-12-19,1.4905
2001-12-20,1.3034
2001-12-21,1.2041
2001-12-24,1.091
2001-12-26,1.0227
2001-12-27,0.9711
2001-12-28,0.9212
2001-12-31,0.7424
2002-01-02,0.6568
2002-01-03,0.757
2002-01-04,0.8006
2002-01-07,0.7984
2002-01-08,0.8531
2002-01-09,0.8327
2002-01-10,0.8528
2002-01-11,0.8053
2002-01-14,0.7477
2002-01-15,0.7803
2002-01-16,0.6629
2002-01-17,0.7221
2002-01-18,0.4603
2002-01-22,0.1192
2002-01-23,-0.2069
2002-01-24,-0.3915
2002-01-25,-0.5954
2002-01-28,-0.7468
2002-01-29,-0.9765
2002-01-30,-1.1032
2002-01-31,-1.1212
2002-02-01,-1.2063
2002-02-04,-1.382
2002-02-05,-1.5016
2002-02-06,-1.638
2002-02-07,-1.7741
2002-02-08,-1.7926
2002-02-11,-1.7485
