date,value
2000-02-18,0.0048
2000-02-22,-0.1804
2000-02-23,-0.2269
2000-02-24,-0.1796
2000-02-25,-0.327
2000-02-28,-0.3526
2000-02-29,-0.4553
2000-03-01,-0.3683
2000-03-02,-0.0947
2000-03-03,0.294
2000-03-06,0.2072
2000-03-07,0.321
2000-03-08,0.582
2000-03-09,1.0319
2000-03-10,1.3547
2000-03-13,1.3226
2000-03-14,1.0744
2000-03-15,0.901
2000-03-16,0.7656
2000-03-17,0.9146
2000-03-20,0.8491
2000-03-21,1.1217
2000-03-22,1.2778
2000-03-23,1.868
2000-03-24,2.1336
2000-03-27,1.7014
2000-03-28,1.3536
2000-03-29,1.2416
2000-03-30,0.8529
2000-03-31,0.7368
2000-04-03,-0.3694
2000-04-04,-1.2032
2000-04-05,-1.8122
2000-04-06,-2.128
2000-04-07,-2.0199
2000-04-10,-2.0337
2000-04-11,-2.067
2000-04-12,-2.2535
2000-04-13,-2.2414
2000-04-14,-2.4203
2000-04-17,-2.2648
2000-04-18,-1.7152
2000-04-19,-1.362
2000-04-20,-1.0121
2000-04-24,-1.4825
2000-04-25,-1.4772
2000-04-26,-1.4336
2000-04-27,-1.1622
2000-04-28,-0.8787
2000-05-01,-0.3614
2000-05-02,-0.187
2000-05-03,0.0355
2000-05-04,0.2248
2000-05-05,0.4339
2000-05-08,0.5164
2000-05-09,0.4701
2000-05-10,0.3686
2000-05-11,0.4476
2000-05-12,0.5874
2000-05-15,0.7324
2000-05-16,0.8438
2000-05-17,0.8027
2000-05-18,0.6861
2000-05-19,0.5504
2000-05-22,0.425
2000-05-23,0.3036
2000-05-24,0.4052
2000-05-25,0.2302
2000-05-26,0.1456
2000-05-30,0.2495
2000-05-31,0.2893
2000-06-01,0.4662
2000-06-02,0.7027
2000-06-05,0.8867
2000-06-06,1.1658
2000-06-07,1.3679
2000-06-08,1.3441
2000-06-09,1.2846
2000-06-12,1.0792
2000-06-13,0.9783
2000-06-14,1.0499
2000-06-15,1.175
2000-06-16,1.2173
2000-06-19,1.2625
2000-06-20,1.3121
2000-06-21,1.6459
2000-06-22,1.7175
2000-06-23,1.5301
2000-06-26,1.4414
2000-06-27,1.2564
2000-06-28,1.0702
2000-06-29,0.7706
2000-06-30,0.7049
2000-07-03,0.6082
2000-07-05,0.4002
2000-07-06,0.3837
2000-07-07,0.3993
2000-07-10,0.2022
2000-07-11,0.0246
2000-07-12,-0.0352
2000-07-13,-0.1174
2000-07-14,-0.2493
2000-07-17,-0.389
2000-07-18,-0.4576
2000-07-19,-0.8402
2000-07-20,-0.9465
2000-07-21,-1.1391
2000-07-24,-1.3255
2000-07-25,-1.4828
2000-07-26,-1.5869
2000-07-27,-1.4729
2000-07-28,-1.304
2000-07-31,-1.1194
2000-08-01,-1.0111
2000-08-02,-0.8392
2000-08-03,-0.6218
2000-08-04,-0.5141
2000-08-07,-0.3513
2000-08-08,0.045
2000-08-09,0.3122
2000-08-10,0.3713
2000-08-11,0.3888
2000-08-14,0.3737
2000-08-15,0.3179
2000-08-16,0.2355
2000-08-17,0.2155
2000-08-18,0.1637
2000-08-21,0.1058
2000-08-22,0.1114
2000-08-23,0.084
2000-08-24,0.0928
2000-08-25,0.0681
2000-08-28,0.0994
2000-08-29,0.0963
2000-08-30,0.0353
2000-08-31,-0.0112
2000-09-01,-0.0095
2000-09-05,-0.0066
2000-09-06,-0.0419
2000-09-07,-0.0163
2000-09-08,-0.0413
2000-09-11,-0.0805
2000-09-12,-0.1386
2000-09-13,-0.1529
2000-09-14,-0.3025
2000-09-15,-0.4762
2000-09-18,-0.6273
2000-09-19,-0.5513
2000-09-20,-0.5112
2000-09-21,-0.4505
2000-09-22,-0.4352
2000-09-25,-0.5158
2000-09-26,-0.4316
2000-09-27,-0.4709
2000-09-28,-0.4096
2000-09-29,-0.3948
