date,value
2000-02-18,-3.4758
2000-02-22,-3.5209
2000-02-23,-3.5776
2000-02-24,-3.6225
2000-02-25,-3.7043
2000-02-28,-3.7924
2000-02-29,-3.9062
2000-03-01,-3.9983
2000-03-02,-4.022
2000-03-03,-3.9485
2000-03-06,-3.8967
2000-03-07,-3.8164
2000-03-08,-3.6709
2000-03-09,-3.4129
2000-03-10,-3.0743
2000-03-13,-2.7436
2000-03-14,-2.475
2000-03-15,-2.2498
2000-03-16,-2.0584
2000-03-17,-1.8297
2000-03-20,-1.6174
2000-03-21,-1.337
2000-03-22,-1.0176
2000-03-23,-0.5505
2000-03-24,-0.0172
2000-03-27,0.4082
2000-03-28,0.7466
2000-03-29,1.057
2000-03-30,1.2702
2000-03-31,1.4544
2000-04-03,1.3621
2000-04-04,1.0613
2000-04-05,0.6082
2000-04-06,0.0762
2000-04-07,-0.4287
2000-04-10,-0.9372
2000-04-11,-1.4539
2000-04-12,-2.0173
2000-04-13,-2.5777
2000-04-14,-3.1827
2000-04-17,-3.7489
2000-04-18,-4.1777
2000-04-19,-4.5182
2000-04-20,-4.7713
2000-04-24,-5.1419
2000-04-25,-5.5112
2000-04-26,-5.8696
2000-04-27,-6.1601
2000-04-28,-6.3798
2000-05-01,-6.4701
2000-05-02,-6.5169
2000-05-03,-6.508
2000-05-04,-6.4518
2000-05-05,-6.3434
2000-05-08,-6.2142
2000-05-09,-6.0967
2000-05-10,-6.0046
2000-05-11,-5.8927
2000-05-12,-5.7458
2000-05-15,-5.5627
2000-05-16,-5.3518
2000-05-17,-5.1511
2000-05-18,-4.9795
2000-05-19,-4.8419
2000-05-22,-4.7357
2000-05-23,-4.6598
2000-05-24,-4.5585
2000-05-25,-4.5009
2000-05-26,-4.4645
2000-05-30,-4.4022
2000-05-31,-4.3298
2000-06-01,-4.2133
2000-06-02,-4.0376
2000-06-05,-3.8159
2000-06-06,-3.5245
2000-06-07,-3.1825
2000-06-08,-2.8465
2000-06-09,-2.5253
2000-06-12,-2.2555
2000-06-13,-2.011
2000-06-14,-1.7485
2000-06-15,-1.4547
2000-06-16,-1.1504
2000-06-19,-0.8348
2000-06-20,-0.5068
2000-06-21,-0.0953
2000-06-22,0.3341
2000-06-23,0.7166
2000-06-26,1.077
2000-06-27,1.3911
2000-06-28,1.6586
2000-06-29,1.8513
2000-06-30,2.0275
2000-07-03,2.1795
2000-07-05,2.2796
2000-07-06,2.3755
2000-07-07,2.4753
2000-07-10,2.5259
2000-07-11,2.532
2000-07-12,2.5232
2000-07-13,2.4939
2000-07-14,2.4315
2000-07-17,2.3343
2000-07-18,2.2199
2000-07-19,2.0098
2000-07-20,1.7732
2000-07-21,1.4884
2000-07-24,1.1571
2000-07-25,0.7864
2000-07-26,0.3896
2000-07-27,0.0214
2000-07-28,-0.3046
2000-07-31,-0.5844
2000-08-01,-0.8372
2000-08-02,-1.047
2000-08-03,-1.2024
2000-08-04,-1.331
2000-08-07,-1.4188
2000-08-08,-1.4075
2000-08-09,-1.3295
2000-08-10,-1.2366
2000-08-11,-1.1395
2000-08-14,-1.046
2000-08-15,-0.9665
2000-08-16,-0.9077
2000-08-17,-0.8538
2000-08-18,-0.8129
2000-08-21,-0.7864
2000-08-22,-0.7586
2000-08-23,-0.7376
2000-08-24,-0.7144
2000-08-25,-0.6974
2000-08-28,-0.6725
2000-08-29,-0.6485
2000-08-30,-0.6397
2000-08-31,-0.6424
2000-09-01,-0.6448
2000-09-05,-0.6465
2000-09-06,-0.657
2000-09-07,-0.6611
2000-09-08,-0.6714
2000-09-11,-0.6915
2000-09-12,-0.7262
2000-09-13,-0.7644
2000-09-14,-0.84
2000-09-15,-0.959
2000-09-18,-1.1159
2000-09-19,-1.2537
2000-09-20,-1.3815
2000-09-21,-1.4941
2000-09-22,-1.6029
2000-09-25,-1.7319
2000-09-26,-1.8398
2000-09-27,-1.9575
2000-09-28,-2.0599
2000-09-29,-2.1586
2000-10-02,-2.2637
2000-10-03,-2.4032
2000-10-04,-2.5692
2000-10-05,-2.7383
2000-10-06,-2.8914
2000-10-09,-3.0417
2000-10-10,-3.1695
2000-10-11,-3.2503
2000-10-12,-3.3118
2000-10-13,-3.3606
2000-10-16,-3.4448
2000-10-17,-3.5382
2000-10-18,-3.6033
2000-10-19,-3.4776
