date,value
2000-03-15,41.437
2000-03-16,41.437
2000-03-17,43.3441
2000-03-20,42.6357
2000-03-21,45.0987
2000-03-22,45.3213
2000-03-23,48.9622
2000-03-24,48.8928
2000-03-27,46.0695
2000-03-28,46.1735
2000-03-29,47.3657
2000-03-30,45.9871
2000-03-31,47.17
2000-04-03,42.1408
2000-04-04,41.4632
2000-04-05,40.8282
2000-04-06,40.7207
2000-04-07,42.0094
2000-04-10,41.1152
2000-04-11,40.4735
2000-04-12,39.1909
2000-04-13,39.1571
2000-04-14,37.7388
2000-04-17,38.514
2000-04-18,40.5388
2000-04-19,40.0028
2000-04-20,40.1108
2000-04-24,36.7811
2000-04-25,37.9542
2000-04-26,37.5995
2000-04-27,38.3759
2000-04-28,38.3598
2000-05-01,39.9452
2000-05-02,38.956
2000-05-03,39.2527
2000-05-04,39.2189
2000-05-05,39.5203
2000-05-08,39.1388
2000-05-09,38.5589
2000-05-10,38.0925
2000-05-11,38.875
2000-05-12,39.3129
2000-05-15,39.5761
2000-05-16,39.6381
2000-05-17,39.0685
2000-05-18,38.5994
2000-05-19,38.2465
2000-05-22,37.9737
2000-05-23,37.6586
2000-05-24,38.8848
2000-05-25,37.5923
2000-05-26,37.5735
2000-05-30,38.5886
2000-05-31,38.3198
2000-06-01,39.3708
2000-06-02,40.2793
2000-06-05,40.5701
2000-06-06,41.9855
2000-06-07,42.4333
2000-06-08,41.8011
2000-06-09,41.8011
2000-06-12,41.0698
2000-06-13,41.6071
2000-06-14,43.0019
2000-06-15,43.9729
2000-06-16,44.0716
2000-06-19,44.6637
2000-06-20,45.3171
2000-06-21,48.1888
2000-06-22,47.8234
2000-06-23,46.8593
2000-06-26,47.7516
2000-06-27,47.4417
2000-06-28,47.5072
2000-06-29,46.7077
2000-06-30,48.1378
2000-07-03,48.1378
2000-07-05,47.4304
2000-07-06,48.6821
2000-07-07,49.2182
2000-07-10,47.983
2000-07-11,47.8299
2000-07-12,48.454
2000-07-13,48.2708
2000-07-14,47.7727
2000-07-17,47.3983
2000-07-18,47.5716
2000-07-19,44.9494
2000-07-20,45.9052
2000-07-21,44.7329
2000-07-24,43.9315
2000-07-25,43.2271
2000-07-26,42.6942
2000-07-27,43.6239
2000-07-28,43.8146
2000-07-31,43.8873
2000-08-01,43.3533
2000-08-02,43.7771
2000-08-03,44.3271
2000-08-04,43.7661
2000-08-07,44.326
2000-08-08,46.854
2000-08-09,46.9316
2000-08-10,46.0711
2000-08-11,45.9761
2000-08-14,45.8422
2000-08-15,45.5335
2000-08-16,45.1958
2000-08-17,45.5679
2000-08-18,45.2543
2000-08-21,45.0397
2000-08-22,45.4771
2000-08-23,45.1859
2000-08-24,45.4497
2000-08-25,45.1501
2000-08-28,45.6545
2000-08-29,45.4259
2000-08-30,44.8438
2000-08-31,44.7256
2000-09-01,45.0214
2000-09-05,44.9762
2000-09-06,44.5326
2000-09-07,45.0369
2000-09-08,44.5371
2000-09-11,44.2034
2000-09-12,43.7418
2000-09-13,43.8545
2000-09-14,42.2341
2000-09-15,41.2027
2000-09-18,40.462
2000-09-19,42.2426
2000-09-20,41.7646
2000-09-21,41.7261
2000-09-22,41.1195
2000-09-25,39.8614
2000-09-26,41.1835
2000-09-27,39.903
2000-09-28,40.5259
2000-09-29,39.9052
2000-10-02,39.1826
2000-10-03,37.6668
2000-10-04,37.0298
2000-10-05,36.9956
2000-10-06,37.1732
2000-10-09,36.3767
2000-10-10,36.7502
2000-10-11,37.9457
2000-10-12,37.1214
2000-10-13,36.7469
2000-10-16,34.8286
2000-10-17,34.8903
2000-10-18,36.2363
2000-10-19,45.1789
2000-10-20,47.6278
2000-10-23,45.7019
2000-10-24,45.3169
2000-10-25,45.1629
2000-10-26,47.4871
2000-10-27,49.7033
2000-10-30,50.6001
2000-10-31,50.4727
2000-11-01,50.9698
2000-11-02,51.4274
2000-11-03,50.0056
2000-11-06,50.847
2000-11-07,51.5132
2000-11-08,50.7689
2000-11-09,51.729
2000-11-10,49.3266
2000-11-13,48.7132
2000-11-14,50.3197
2000-11-15,51.1434
2000-11-16,50.3797
2000-11-17,50.4606
2000-11-20,49.1859
2000-11-21,49.5751
2000-11-22,49.9246
2000-11-24,51.0936
2000-11-27,51.6053
2000-11-28,49.0302
2000-11-29,47.7519
2000-11-30,43.202
2000-12-01,42.7956
2000-12-04,42.6918
2000-12-05,45.1497
2000-12-06,43.3888
2000-12-07,41.5438
2000-12-08,42.4625
2000-12-11,44.9041
2000-12-12,45.1142
2000-12-13,44.5027
2000-12-14,43.5695
2000-12-15,40.4488
2000-12-18,39.8124
2000-12-19,38.4698
2000-12-20,37.0627
2000-12-21,38.41
2000-12-22,40.4226
2000-12-26,40.7125
2000-12-27,40.5113
2000-12-28,39.657
2000-12-29,39.1284
2001-01-02,39.1284
2001-01-03,42.2266
2001-01-04,42.5537
2001-01-05,43.0081
2001-01-08,42.9128
2001-01-09,44.7997
2001-01-10,45.4852
2001-01-11,46.8204
2001-01-12,46.0069
2001-01-16,45.5013
2001-01-17,45.7472
2001-01-18,47.3795
2001-01-19,50.6356
2001-01-22,50.1349
2001-01-23,50.3823
2001-01-24,51.7351
2001-01-25,51.0607
2001-01-26,52.2907
2001-01-29,52.5684
2001-01-30,51.8781
2001-01-31,50.4771
2001-02-01,51.2416
2001-02-02,50.2993
2001-02-05,50.9616
2001-02-06,51.3248
2001-02-07,52.5565
2001-02-08,51.0466
2001-02-09,49.2022
2001-02-12,48.9822
2001-02-13,48.6551
2001-02-14,48.7735
2001-02-15,49.045
2001-02-16,48.1371
2001-02-20,47.2856
2001-02-21,47.5307
2001-02-22,46.8935
2001-02-23,47.9416
2001-02-26,49.7639
2001-02-27,49.6503
2001-02-28,49.4073
2001-03-01,49.6455
2001-03-02,47.9373
2001-03-05,48.4458
2001-03-06,49.7803
2001-03-07,50.5959
2001-03-08,49.6481
2001-03-09,48.0163
2001-03-12,45.2033
2001-03-13,46.7122
2001-03-14,46.6017
2001-03-15,46.4187
2001-03-16,47.0144
2001-03-19,46.8616
2001-03-20,45.8761
2001-03-21,44.3315
2001-03-22,47.0564
2001-03-23,48.7205
2001-03-26,48.4172
2001-03-27,49.8136
2001-03-28,48.1789
2001-03-29,48.0712
2001-03-30,47.6544
2001-04-02,48.3954
2001-04-03,46.9248
2001-04-04,46.0781
2001-04-05,49.2022
2001-04-06,48.8659
2001-04-09,49.4701
2001-04-10,51.0263
2001-04-11,51.2443
2001-04-12,52.5263
2001-04-16,51.6266
2001-04-17,52.0427
2001-04-18,54.3371
2001-04-19,55.764
2001-04-20,56.2769
2001-04-23,55.7615
2001-04-24,55.2794
2001-04-25,56.4539
2001-04-26,56.0608
2001-04-27,54.6665
2001-04-30,55.0243
2001-05-01,56.3737
2001-05-02,56.0828
2001-05-03,55.2107
2001-05-04,56.4577
2001-05-07,56.806
2001-05-08,57.1832
2001-05-09,55.9658
2001-05-10,55.6744
2001-05-11,55.2341
2001-05-14,54.7336
2001-05-15,54.4007
2001-05-16,54.9536
2001-05-17,54.2076
2001-05-18,54.147
2001-05-21,54.6002
2001-05-22,55.5733
2001-05-23,55.0898
2001-05-24,56.3725
2001-05-25,55.7213
2001-05-29,55.2629
2001-05-30,54.3426
2001-05-31,54.3345
2001-06-01,55.1194
2001-06-04,55.416
2001-06-05,56.6259
2001-06-06,56.4199
2001-06-07,57.2919
2001-06-08,56.8609
2001-06-11,55.9235
2001-06-12,55.8884
2001-06-13,54.6701
2001-06-14,53.1476
2001-06-15,52.4154
2001-06-18,51.4779
2001-06-19,51.8173
2001-06-20,53.3974
2001-06-21,53.716
2001-06-22,52.8499
2001-06-25,52.8653
2001-06-26,53.8544
2001-06-27,54.608
2001-06-28,55.7867
2001-06-29,55.9762
2001-07-02,53.8035
2001-07-03,53.6883
