date,value
2000-03-14,101.6342
2000-03-15,101.2104
2000-03-16,100.8654
2000-03-17,100.5766
2000-03-20,100.324
2000-03-21,100.1502
2000-03-22,99.9702
2000-03-23,100.0202
2000-03-24,100.1378
2000-03-27,100.0628
2000-03-28,99.904
2000-03-29,99.7416
2000-03-30,99.669
2000-03-31,99.674
2000-04-03,99.4164
2000-04-04,99.1626
2000-04-05,98.8338
2000-04-06,98.5664
2000-04-07,98.3726
2000-04-10,98.1288
2000-04-11,97.8488
2000-04-12,97.3774
2000-04-13,96.9462
2000-04-14,96.3562
2000-04-17,95.7424
2000-04-18,95.2212
2000-04-19,94.5962
2000-04-20,94.095
2000-04-24,93.3074
2000-04-25,92.696
2000-04-26,92.0636
2000-04-27,91.4886
2000-04-28,90.9312
2000-05-01,90.4076
2000-05-02,89.9038
2000-05-03,89.4388
2000-05-04,88.9626
2000-05-05,88.49
2000-05-08,88.06
2000-05-09,87.585
2000-05-10,87.1214
2000-05-11,86.6626
2000-05-12,86.1714
2000-05-15,85.6364
2000-05-16,85.214
2000-05-17,84.7104
2000-05-18,84.123
2000-05-19,83.4242
2000-05-22,82.688
2000-05-23,81.9918
2000-05-24,81.4006
2000-05-25,80.7232
2000-05-26,80.0446
2000-05-30,79.3248
2000-05-31,78.6286
2000-06-01,77.8648
2000-06-02,77.126
2000-06-05,76.226
2000-06-06,75.3846
2000-06-07,74.7134
2000-06-08,74.0034
2000-06-09,73.2358
2000-06-12,72.5058
2000-06-13,71.7382
2000-06-14,71.3308
2000-06-15,71.007
2000-06-16,70.7308
2000-06-19,70.4846
2000-06-20,70.2022
2000-06-21,70.0948
2000-06-22,70.0148
2000-06-23,69.9812
2000-06-26,69.9862
2000-06-27,70.08
2000-06-28,70.1414
2000-06-29,70.074
2000-06-30,70.1002
2000-07-03,70.1214
2000-07-05,70.359
2000-07-06,70.5904
2000-07-07,70.8704
2000-07-10,71.063
2000-07-11,71.2504
2000-07-12,71.3878
2000-07-13,71.5892
2000-07-14,71.7568
2000-07-17,71.9118
2000-07-18,72.0594
2000-07-19,72.1256
2000-07-20,72.2656
2000-07-21,72.388
2000-07-24,72.4418
2000-07-25,72.4456
2000-07-26,72.4144
2000-07-27,72.4118
2000-07-28,72.4518
2000-07-31,72.5242
2000-08-01,72.5968
2000-08-02,72.7004
2000-08-03,72.8416
2000-08-04,72.9128
2000-08-07,73.0828
2000-08-08,73.3364
2000-08-09,73.5538
2000-08-10,73.755
2000-08-11,73.9126
2000-08-14,74.0302
2000-08-15,74.1252
2000-08-16,74.1528
2000-08-17,74.174
2000-08-18,74.2178
2000-08-21,74.254
2000-08-22,74.3416
2000-08-23,74.3992
2000-08-24,74.4116
2000-08-25,74.3766
2000-08-28,74.3516
2000-08-29,74.2966
2000-08-30,74.1978
2000-08-31,73.9802
2000-09-01,73.7866
2000-09-05,73.6352
2000-09-06,73.434
2000-09-07,73.259
2000-09-08,73.0664
2000-09-11,72.8988
2000-09-12,72.6612
2000-09-13,72.4262
2000-09-14,72.1724
2000-09-15,71.8374
2000-09-18,71.4574
2000-09-19,71.1686
2000-09-20,70.8712
2000-09-21,70.5488
2000-09-22,70.215
2000-09-25,69.8612
2000-09-26,69.5512
2000-09-27,69.1938
2000-09-28,68.9576
2000-09-29,68.6676
2000-10-02,68.404
2000-10-03,68.124
2000-10-04,67.8528
2000-10-05,67.6042
2000-10-06,67.328
2000-10-09,67.018
2000-10-10,66.713
2000-10-11,66.4542
2000-10-12,66.1544
2000-10-13,65.8244
2000-10-16,65.4496
2000-10-17,65.0584
2000-10-18,64.611
2000-10-19,64.3636
2000-10-20,64.215
2000-10-23,64.0088
2000-10-24,63.795
2000-10-25,63.5876
2000-10-26,63.4564
2000-10-27,63.379
2000-10-30,63.3402
2000-10-31,63.3052
2000-11-01,63.2726
2000-11-02,63.2638
2000-11-03,63.2064
2000-11-06,63.184
2000-11-07,63.1678
2000-11-08,63.1378
2000-11-09,63.1552
