date,value
2000-01-13,31.4292
2000-01-14,35.6691
2000-01-18,51.0925
2000-01-19,65.1874
2000-01-20,66.4057
2000-01-21,49.1356
2000-01-24,29.5279
2000-01-25,15.6462
2000-01-26,11.4182
2000-01-27,12.3079
2000-01-28,11.7986
2000-01-31,14.8866
2000-02-01,25.3431
2000-02-02,43.4677
2000-02-03,64.8793
2000-02-04,77.0698
2000-02-07,85.6472
2000-02-08,88.1089
2000-02-09,85.539
2000-02-10,76.1833
2000-02-11,56.0094
2000-02-14,37.5697
2000-02-15,18.8155
2000-02-16,10.0186
2000-02-17,8.0318
2000-02-18,10.6734
2000-02-22,14.4809
2000-02-23,14.6817
2000-02-24,18.4917
2000-02-25,20.8205
2000-02-28,24.9944
2000-02-29,23.6853
2000-03-01,25.8555
2000-03-02,30.5708
2000-03-03,43.7617
2000-03-06,52.1252
2000-03-07,53.0411
2000-03-08,46.1196
2000-03-09,50.277
2000-03-10,63.4502
2000-03-13,77.8396
2000-03-14,75.932
2000-03-15,61.0108
2000-03-16,42.0176
2000-03-17,35.8884
2000-03-20,42.3292
2000-03-21,61.1348
2000-03-22,73.4748
2000-03-23,84.3544
2000-03-24,85.5145
2000-03-27,82.9648
2000-03-28,68.9989
2000-03-29,51.7217
2000-03-30,35.2255
2000-03-31,30.6901
2000-04-03,27.3076
2000-04-04,28.382
2000-04-05,19.5574
2000-04-06,14.4576
2000-04-07,10.8457
2000-04-10,14.2164
2000-04-11,17.7873
2000-04-12,15.7627
2000-04-13,11.4069
2000-04-14,6.7846
2000-04-17,7.2667
2000-04-18,17.5462
2000-04-19,34.1031
2000-04-20,53.8078
2000-04-24,56.9361
2000-04-25,49.8899
2000-04-26,32.5405
2000-04-27,25.7412
2000-04-28,28.6679
2000-05-01,45.1093
2000-05-02,59.6148
2000-05-03,65.0851
2000-05-04,56.4622
2000-05-05,47.9994
2000-05-08,39.8374
2000-05-09,34.1835
2000-05-10,23.6351
2000-05-11,17.5817
2000-05-12,20.2116
2000-05-15,34.7496
2000-05-16,52.4384
2000-05-17,63.253
2000-05-18,58.4704
2000-05-19,41.4801
2000-05-22,24.0643
2000-05-23,14.975
2000-05-24,18.5766
2000-05-25,22.6074
2000-05-26,26.7974
2000-05-30,25.0611
2000-05-31,28.107
2000-06-01,36.853
2000-06-02,51.3235
2000-06-05,67.207
2000-06-06,79.2234
2000-06-07,86.6572
2000-06-08,86.9667
2000-06-09,79.1312
2000-06-12,61.1838
2000-06-13,43.0804
2000-06-14,33.6402
2000-06-15,43.5484
2000-06-16,63.1431
2000-06-19,82.5549
2000-06-20,92.3052
2000-06-21,94.5223
2000-06-22,91.6748
2000-06-23,84.5775
2000-06-26,75.9309
2000-06-27,64.7803
2000-06-28,56.0442
2000-06-29,42.5158
2000-06-30,40.4941
2000-07-03,46.777
2000-07-05,65.244
2000-07-06,75.6684
2000-07-07,78.506
2000-07-10,72.9469
2000-07-11,61.3136
2000-07-12,47.4121
2000-07-13,39.134
2000-07-14,40.835
2000-07-17,42.7928
2000-07-18,40.6738
2000-07-19,31.6872
2000-07-20,26.1734
2000-07-21,19.034
2000-07-24,16.3111
2000-07-25,10.867
2000-07-26,8.7496
2000-07-27,8.8408
2000-07-28,16.1675
2000-07-31,28.8123
2000-08-01,39.5419
2000-08-02,44.7252
2000-08-03,44.6243
2000-08-04,44.249
2000-08-07,46.762
2000-08-08,52.8325
2000-08-09,65.0948
2000-08-10,75.6207
2000-08-11,78.1037
2000-08-14,69.1059
2000-08-15,53.1276
2000-08-16,37.0178
2000-08-17,24.9596
2000-08-18,21.9797
2000-08-21,24.3401
2000-08-22,29.481
2000-08-23,32.2368
2000-08-24,37.0412
2000-08-25,37.4376
2000-08-28,40.3894
2000-08-29,39.1028
2000-08-30,38.5895
2000-08-31,29.7494
2000-09-01,20.0611
2000-09-05,12.705
2000-09-06,11.1034
2000-09-07,12.8551
2000-09-08,13.0744
2000-09-11,14.7387
2000-09-12,13.4092
2000-09-13,15.1304
2000-09-14,13.4793
2000-09-15,13.8885
2000-09-18,11.1895
2000-09-19,14.8185
2000-09-20,20.1228
2000-09-21,31.5596
2000-09-22,38.998
2000-09-25,42.6856
2000-09-26,39.7569
2000-09-27,32.5648
2000-09-28,28.2224
2000-09-29,23.4923
2000-10-02,22.3016
2000-10-03,17.3996
2000-10-04,13.3604
2000-10-05,9.6942
2000-10-06,10.4559
2000-10-09,12.9069
2000-10-10,17.848
2000-10-11,26.34
2000-10-12,36.2558
2000-10-13,43.1927
2000-10-16,38.8516
2000-10-17,29.9936
2000-10-18,22.0872
2000-10-19,29.7618
2000-10-20,49.2049
2000-10-23,72.2159
2000-10-24,82.888
2000-10-25,78.2088
2000-10-26,68.598
2000-10-27,62.8117
2000-10-30,68.7228
2000-10-31,77.2661
2000-11-01,85.9531
2000-11-02,89.3314
2000-11-03,83.9673
2000-11-06,72.7023
2000-11-07,58.1493
2000-11-08,51.2985
2000-11-09,50.5221
2000-11-10,46.7976
2000-11-13,41.4019
2000-11-14,33.4221
2000-11-15,39.4181
2000-11-16,50.5074
2000-11-17,63.8976
2000-11-20,63.2594
2000-11-21,55.3529
2000-11-22,44.0456
2000-11-24,45.7111
2000-11-27,54.803
2000-11-28,62.8963
2000-11-29,56.3278
2000-11-30,37.0924
2000-12-01,19.7244
2000-12-04,8.8138
2000-12-05,10.2378
2000-12-06,15.0831
2000-12-07,21.422
2000-12-08,22.2512
2000-12-11,26.4444
2000-12-12,37.9789
2000-12-13,54.7166
2000-12-14,61.4724
2000-12-15,53.208
2000-12-18,35.0917
2000-12-19,18.5314
2000-12-20,8.2593
