date,value
2000-01-13,28.7309
2000-01-14,49.2564
2000-01-18,75.2902
2000-01-19,71.0157
2000-01-20,52.9111
2000-01-21,23.4801
2000-01-24,12.1926
2000-01-25,11.2658
2000-01-26,10.7963
2000-01-27,14.8615
2000-01-28,9.7378
2000-01-31,20.0606
2000-02-01,46.2309
2000-02-02,64.1117
2000-02-03,84.2953
2000-02-04,82.8025
2000-02-07,89.8439
2000-02-08,91.6801
2000-02-09,75.093
2000-02-10,61.7769
2000-02-11,31.1582
2000-02-14,19.7741
2000-02-15,5.5142
2000-02-16,4.7675
2000-02-17,13.8139
2000-02-18,13.4388
2000-02-22,16.1899
2000-02-23,14.4163
2000-02-24,24.8688
2000-02-25,23.1764
2000-02-28,26.938
2000-02-29,20.9414
2000-03-01,29.687
2000-03-02,41.0842
2000-03-03,60.514
2000-03-06,54.7775
2000-03-07,43.8319
2000-03-08,39.7495
2000-03-09,67.2495
2000-03-10,83.3517
2000-03-13,82.9177
2000-03-14,61.5264
2000-03-15,38.5883
2000-03-16,25.9381
2000-03-17,43.1389
2000-03-20,57.9107
2000-03-21,82.3548
2000-03-22,80.1589
2000-03-23,90.5495
2000-03-24,85.8351
2000-03-27,72.5098
2000-03-28,48.6519
2000-03-29,34.0036
2000-03-30,23.0212
2000-03-31,35.0457
2000-04-03,23.8558
2000-04-04,26.2444
2000-04-05,8.5719
2000-04-06,8.5565
2000-04-07,15.4088
2000-04-10,18.6839
2000-04-11,19.2691
2000-04-12,9.3351
2000-04-13,5.6165
2000-04-14,5.4022
2000-04-17,10.7813
2000-04-18,36.4552
2000-04-19,55.0729
2000-04-20,69.8954
2000-04-24,45.8399
2000-04-25,33.9343
2000-04-26,17.8473
2000-04-27,25.4419
2000-04-28,42.7144
2000-05-01,67.1716
2000-05-02,68.9584
2000-05-03,59.1252
2000-05-04,41.303
2000-05-05,43.5701
2000-05-08,34.6392
2000-05-09,24.3411
2000-05-10,11.9251
2000-05-11,16.4789
2000-05-12,32.2309
2000-05-15,55.5391
2000-05-16,69.5453
2000-05-17,64.6744
2000-05-18,41.1915
2000-05-19,18.5743
2000-05-22,12.4269
2000-05-23,13.9238
2000-05-24,29.3791
2000-05-25,24.5192
2000-05-26,26.494
2000-05-30,24.1699
2000-05-31,33.657
2000-06-01,52.732
2000-06-02,67.5816
2000-06-05,81.3073
2000-06-06,88.7812
2000-06-07,89.8829
2000-06-08,82.236
2000-06-09,65.2747
2000-06-12,36.0406
2000-06-13,27.9258
2000-06-14,36.9541
2000-06-15,65.7653
2000-06-16,86.7098
2000-06-19,95.1896
2000-06-20,95.0161
2000-06-21,93.3612
2000-06-22,86.6472
2000-06-23,73.724
2000-06-26,67.4215
2000-06-27,53.1954
2000-06-28,47.5157
2000-06-29,26.8363
2000-06-30,47.1304
2000-07-03,66.3642
2000-07-05,82.2374
