date,value
2000-01-03,38.6179
2000-01-04,37.3125
2000-01-05,37.7068
2000-01-06,36.4445
2000-01-07,36.9216
2000-01-10,37.1899
2000-01-11,36.2357
2000-01-12,35.0563
2000-01-13,35.7189
2000-01-14,37.1899
2000-01-18,38.2037
2000-01-19,35.4505
2000-01-20,35.1192
2000-01-21,34.3738
2000-01-24,33.5455
2000-01-25,34.0623
2000-01-26,32.9226
2000-01-27,32.7172
2000-01-28,32.5515
2000-01-31,32.4256
2000-02-01,34.1054
2000-02-02,33.3997
2000-02-03,34.3307
2000-02-04,35.3047
2000-02-07,35.3246
2000-02-08,36.4246
2000-02-09,34.4566
2000-02-10,35.1192
2000-02-11,33.1114
2000-02-14,33.0054
2000-02-15,32.6542
2000-02-16,32.3428
2000-02-17,33.0054
2000-02-18,31.4946
2000-02-22,31.0805
2000-02-23,31.2263
2000-02-24,31.3919
2000-02-25,30.2522
2000-02-28,30.335
2000-02-29,29.6095
2000-03-01,30.0866
2000-03-02,30.9347
2000-03-03,31.8458
2000-03-06,30.0236
2000-03-07,30.7691
2000-03-08,31.6603
2000-03-09,33.1313
2000-03-10,33.4626
2000-03-13,32.4687
2000-03-14,31.5145
2000-03-15,31.5973
2000-03-16,31.5973
2000-03-17,32.9226
2000-03-20,32.26
2000-03-21,34.0424
2000-03-22,34.2081
2000-03-23,37.064
2000-03-24,37.0044
2000-03-27,34.4765
2000-03-28,34.5593
2000-03-29,35.5135
2000-03-30,34.2479
2000-03-31,35.202
2000-04-03,30.1064
2000-04-04,29.3411
2000-04-05,28.6155
2000-04-06,28.4929
2000-04-07,29.5068
2000-04-10,28.5128
2000-04-11,27.7872
2000-04-12,26.2963
2000-04-13,26.2566
2000-04-14,24.5569
2000-04-17,25.1367
2000-04-18,26.6906
2000-04-19,26.071
2000-04-20,26.1539
2000-04-24,22.0721
2000-04-25,22.9832
2000-04-26,22.5293
2000-04-27,23.129
2000-04-28,23.1091
2000-05-01,24.3316
2000-05-02,23.1489
2000-05-03,23.3775
2000-05-04,23.3377
2000-05-05,23.563
2000-05-08,23.129
2000-05-09,22.4664
2000-05-10,21.9296
2000-05-11,22.4862
2000-05-12,22.7977
2000-05-15,22.9832
2000-05-16,23.0263
2000-05-17,22.4266
2000-05-18,21.9296
2000-05-19,21.5552
2000-05-22,21.267
2000-05-23,20.9357
2000-05-24,21.7209
2000-05-25,20.3758
2000-05-26,20.3559
2000-05-30,20.9986
2000-05-31,20.727
2000-06-01,21.3896
2000-06-02,21.9694
2000-06-05,22.1549
2000-06-06,23.066
2000-06-07,23.3576
2000-06-08,22.7977
2000-06-09,22.7977
2000-06-12,22.1549
2000-06-13,22.4862
2000-06-14,23.3576
2000-06-15,23.9771
2000-06-16,24.0401
2000-06-19,24.4145
2000-06-20,24.8286
2000-06-21,26.7337
2000-06-22,26.462
2000-06-23,25.7397
2000-06-26,26.3394
