date,value
2000-01-03,112.0
2000-01-04,112.25
2000-01-05,109.37
2000-01-06,108.37
2000-01-07,107.31
2000-01-10,111.37
2000-01-11,108.69
2000-01-12,104.44
2000-01-13,101.5
2000-01-14,105.75
2000-01-18,111.75
2000-01-19,106.0
2000-01-20,105.87
2000-01-21,103.25
2000-01-24,100.81
2000-01-25,99.56
2000-01-26,99.12
2000-01-27,97.25
2000-01-28,97.25
2000-01-31,94.87
2000-02-01,97.69
2000-02-02,100.5
2000-02-03,100.12
2000-02-04,104.14
2000-02-07,104.25
2000-02-08,106.44
2000-02-09,103.87
2000-02-10,102.5
2000-02-11,99.12
2000-02-14,99.06
2000-02-15,98.12
2000-02-16,97.12
2000-02-17,97.14
2000-02-18,94.87
2000-02-22,92.81
2000-02-23,92.06
2000-02-24,92.0
2000-02-25,90.5
2000-02-28,88.12
2000-02-29,88.87
2000-03-01,88.94
2000-03-02,91.12
2000-03-03,93.87
2000-03-06,90.12
2000-03-07,91.94
2000-03-08,91.0
2000-03-09,95.0
2000-03-10,99.5
2000-03-13,97.5
2000-03-14,95.12
2000-03-15,93.69
2000-03-16,93.25
2000-03-17,94.5
2000-03-20,96.5
2000-03-21,96.5
2000-03-22,101.12
2000-03-23,106.62
2000-03-24,109.56
2000-03-27,103.94
2000-03-28,102.37
2000-03-29,105.12
2000-03-30,102.5
2000-03-31,104.12
2000-04-03,90.0
2000-04-04,84.94
2000-04-05,85.87
2000-04-06,85.27
2000-04-07,85.0
2000-04-10,86.0
2000-04-11,83.5
2000-04-12,78.75
2000-04-13,79.0
2000-04-14,73.25
2000-04-17,73.0
2000-04-18,75.87
2000-04-19,78.12
2000-04-20,77.5
2000-04-24,65.0
2000-04-25,67.62
2000-04-26,67.37
2000-04-27,67.37
2000-04-28,68.25
2000-05-01,71.69
2000-05-02,69.5
2000-05-03,68.81
2000-05-04,69.31
2000-05-05,69.87
2000-05-08,69.69
2000-05-09,67.5
2000-05-10,65.75
2000-05-11,65.75
2000-05-12,68.25
2000-05-15,68.0
2000-05-16,69.06
2000-05-17,67.25
2000-05-18,65.87
2000-05-19,64.5
2000-05-22,62.44
2000-05-23,63.06
2000-05-24,63.0
2000-05-25,61.13
2000-05-26,60.38
2000-05-30,62.0
2000-05-31,62.06
2000-06-01,63.81
2000-06-02,65.0
2000-06-05,66.0
2000-06-06,67.81
2000-06-07,67.12
2000-06-08,68.25
2000-06-09,68.31
2000-06-12,66.37
2000-06-13,66.12
2000-06-14,69.5
2000-06-15,70.62
2000-06-16,71.5
2000-06-19,72.0
2000-06-20,73.75
2000-06-21,76.94
2000-06-22,79.31
2000-06-23,77.0
2000-06-26,77.5
2000-06-27,78.37
2000-06-28,78.62
2000-06-29,77.06
2000-06-30,76.69
2000-07-03,79.37
2000-07-05,78.25
2000-07-06,78.5
2000-07-07,80.56
2000-07-10,79.37
2000-07-11,78.5
2000-07-12,77.19
2000-07-13,77.37
2000-07-14,78.44
2000-07-17,77.5
2000-07-18,77.44
2000-07-19,72.81
2000-07-20,73.12
2000-07-21,71.87
2000-07-24,70.0
2000-07-25,68.37
2000-07-26,67.25
2000-07-27,67.5
2000-07-28,69.62
2000-07-31,69.25
2000-08-01,68.19
2000-08-02,68.5
2000-08-03,68.12
2000-08-04,68.19
2000-08-07,69.75
2000-08-08,70.0
2000-08-09,73.12
2000-08-10,71.75
2000-08-11,71.62
2000-08-14,71.37
2000-08-15,71.5
2000-08-16,70.56
2000-08-17,70.56
2000-08-18,70.0
2000-08-21,70.06
2000-08-22,70.22
2000-08-23,70.37
2000-08-24,69.94
2000-08-25,70.56
2000-08-28,70.12
2000-08-29,70.87
2000-08-30,69.69
2000-08-31,69.69
2000-09-01,69.69
2000-09-05,69.81
2000-09-06,69.31
2000-09-07,69.44
2000-09-08,69.19
2000-09-11,68.06
2000-09-12,67.62
2000-09-13,67.19
2000-09-14,65.69
2000-09-15,63.31
2000-09-18,62.19
2000-09-19,63.38
2000-09-20,63.19
2000-09-21,63.56
2000-09-22,61.0
2000-09-25,60.44
2000-09-26,60.44
2000-09-27,59.81
2000-09-28,60.63
2000-09-29,58.63
2000-10-02,58.25
2000-10-03,56.5
2000-10-04,54.5
2000-10-05,55.25
2000-10-06,54.75
2000-10-09,53.0
2000-10-10,53.81
2000-10-11,54.0
2000-10-12,53.81
2000-10-13,52.13
2000-10-16,49.56
2000-10-17,50.25
2000-10-18,48.44
2000-10-19,58.0
2000-10-20,61.13
2000-10-23,60.69
2000-10-24,60.19
2000-10-25,60.44
2000-10-26,60.81
2000-10-27,64.62
2000-10-30,67.37
2000-10-31,68.0
2000-11-01,68.44
2000-11-02,69.62
2000-11-03,68.06
2000-11-06,68.25
2000-11-07,69.5
2000-11-08,68.0
2000-11-09,68.44
2000-11-10,66.81
2000-11-13,64.41
2000-11-14,67.31
2000-11-15,68.69
2000-11-16,68.94
2000-11-17,67.8
2000-11-20,65.56
2000-11-21,67.37
2000-11-22,66.0
2000-11-24,68.5
2000-11-27,70.62
2000-11-28,66.81
2000-11-29,63.25
2000-11-30,57.0
2000-12-01,56.06
2000-12-04,55.19
2000-12-05,58.25
2000-12-06,56.06
2000-12-07,52.25
2000-12-08,53.44
2000-12-11,55.0
2000-12-12,56.75
2000-12-13,56.81
2000-12-14,55.38
2000-12-15,47.75
2000-12-18,47.0
2000-12-19,44.5
2000-12-20,41.38
2000-12-21,40.31
2000-12-22,44.75
2000-12-26,45.88
2000-12-27,45.0
2000-12-28,43.88
2000-12-29,43.0
2001-01-02,42.88
2001-01-03,43.13
2001-01-04,46.88
2001-01-05,47.56
2001-01-08,46.69
2001-01-09,49.75
2001-01-10,50.75
2001-01-11,52.31
2001-01-12,52.5
2001-01-16,51.13
2001-01-17,52.56
2001-01-18,52.63
2001-01-19,58.88
2001-01-22,59.0
2001-01-23,58.94
2001-01-24,60.75
2001-01-25,61.56
2001-01-26,61.0
2001-01-29,63.5
2001-01-30,62.88
2001-01-31,61.0
2001-02-01,60.38
2001-02-02,60.75
2001-02-05,60.25
2001-02-06,61.69
2001-02-07,61.81
2001-02-08,62.0
2001-02-09,58.5
2001-02-12,57.19
2001-02-13,58.13
2001-02-14,56.38
2001-02-15,57.88
2001-02-16,56.13
2001-02-20,55.38
2001-02-21,55.19
2001-02-22,53.88
2001-02-23,54.31
2001-02-26,57.38
2001-02-27,58.67
2001-02-28,58.19
2001-03-01,56.25
2001-03-02,56.44
2001-03-05,56.56
2001-03-06,58.38
2001-03-07,59.31
2001-03-08,58.44
2001-03-09,54.88
2001-03-12,51.63
2001-03-13,52.0
2001-03-14,52.19
2001-03-15,53.5
2001-03-16,52.48
2001-03-19,53.13
2001-03-20,52.63
2001-03-21,49.75
2001-03-22,50.5
2001-03-23,54.38
2001-03-26,55.56
2001-03-27,55.88
2001-03-28,55.38
2001-03-29,54.56
2001-03-30,53.88
2001-04-02,54.63
2001-04-03,52.75
2001-04-04,51.06
2001-04-05,53.5
2001-04-06,55.06
2001-04-09,55.66
2001-04-10,57.78
2001-04-11,59.7
2001-04-12,59.35
2001-04-16,60.12
2001-04-17,60.04
2001-04-18,63.0
2001-04-19,65.75
2001-04-20,68.5
2001-04-23,66.9
2001-04-24,67.14
2001-04-25,67.25
2001-04-26,68.25
